成就ID,前置ID1,前置ID2,前置ID3,前置ID4,跟踪任务（完成该任务后下一个跟踪的任务）,图标ID,X轴,Y轴,名称,描述(加上@1会显示任务计数),追踪,组（1新手2主线3生产4战斗5其他6极限）,类型（1普通2账号）,目标（1拾取物品2制作物品3冶炼物品4使用物品5损耗物品6开采物品7击败生物8繁殖生物9驯服生物10行走距离11游泳距离12摔落距离13攀爬距离14飞行距离15水下移动距离16坐轨道车距离17坐船距离18骑墩墩距离19骑马距离20跳跃次数21失败次数22物品掉落次数23造成伤害24受到伤害25好友数26转发数27分享地图28星星29获得玫瑰30获得钨金31获得赞32获得皮肤33附魔34激活传送门35进入区域36NPC交易37存活天数38到达某个世界(0=主世界1=烈焰星2=萌眼星)39与方块交互40镶嵌符文石41激活祭坛）,组（0不为组1为组）,"对象ID（点击描述会弹出这个对象的tips,只会弹出道具的）",数值,奖励1类型（0道具1星星2迷你币）,奖励ID1,数量,奖励2类型（0道具1星星2钨金）,奖励ID2,数量,成就点数,指引图片（读取bin\res\ui\achievement目录下的文件名）,奖励发放类型（1=自动发放 2=手动领取）
ID,FrontID1,FrontID2,FrontID3,FrontID4,NextTrack,IconID,GridX,GridY,Name,Desc,TrackDesc,Group,Type,Goal,IsGroup,GoalId,GoalNum,RewardType1,RewardID1,RewardNum1,RewardType2,RewardID2,RewardNum2,Point,GuidePicture,RewardDistributionType
1000,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,
