"类型[0=生物模型，1=方块模型，2=道具模型，3=生物模版，4=坐骑模版，5=方块模版，6=道具模版]	",ID,
Type,ID,
"0	",100001,
"0	",100007,
"0	",100008,
"0	",100009,
"0	",100017,
"0	",100040,
"0	",100041,
"0	",100042,
"0	",100044,
"0	",100053,
"0	",100054,
"0	",100055,
"0	",130004,
"0	",140001,
"0	",140002,
"0	",140003,
"0	",140004,
"0	",140005,
"0	",140006,
"0	",140007,
"0	",140008,
"0	",140009,
"0	",140010,
"0	",140011,
"0	",140012,
"0	",140013,
"0	",140014,
"0	",140015,
"0	",140016,
"0	",140017,
"0	",140018,
"0	",140019,
"0	",140020,
"0	",140021,
"0	",140022,
"0	",140023,
"0	",140024,
"0	",140025,
"0	",140026,
"0	",140027,
"0	",140028,
"0	",140029,
"0	",150001,
"0	",150002,
"0	",150003,
"0	",150004,
"0	",150005,
"3	",3417,熊猫
"3	",3430,普通化石龙
"3	",3431,化石龙
"3	",3432,超级化石龙
"3	",3433,小飞鼠
"3	",3434,敏捷飞鼠
"3	",3435,机灵飞鼠
"3	",3436,普通麒麟
"3	",3437,麒麟
"3	",3438,祥瑞麒麟
"3	",3439,小陆行鸟
"3	",3440,迅捷陆行鸟
"3	",3441,跃动陆行鸟
"3	",3609,黄绿呆呆鱼
"3	",3610,粉色呆呆鱼
"3	",3611,灰色呆呆鱼
"3	",3612,淡灰呆呆鱼
"3	",3613,青色呆呆鱼
"3	",3614,紫色呆呆鱼
"3	",3615,蓝色呆呆鱼
"3	",3616,棕色呆呆鱼
"3	",3617,绿色呆呆鱼
"3	",3618,红色呆呆鱼
"3	",3619,黑色呆呆鱼
"3	",4200,哮天犬
"3	",4201,小黄鸡
"4	",3430,普通化石龙
"4	",3431,化石龙
"4	",3432,超级化石龙
"4	",3433,小飞鼠
"4	",3434,敏捷小飞鼠
"4	",3435,机灵小飞鼠
"4	",3436,普通麒麟
"4	",3437,麒麟
"4	",3438, 祥瑞麒麟
"4	",3439,陆行鸟
"4	",3440,大陆行鸟
"4	",3441,跃动陆行鸟
3,10001,小泡沫
3,10002,泡泡团子
3,10003,圆泡团
3,10004,小孢子
3,10005,嫩叶团子
3,10006,豪华团
3,10007,小石子
3,10008,岩石团
3,10009,巨岩团
3,10010,小火星
3,10011,暖暖团
3,10012,爆火团
3,10013,小蝌丁
3,10014,跳跳蛙
3,10015,忍忍蛙
3,10016,小兔叽
3,10017,兔叽
3,10018,玉兔叽
3,10019,迷你汪
3,10020,汪汪
3,10021,汪汪警长
3,10022,小龙蛋
3,10023,黑龙蛋
3,10024,黑龙崽
3,10025,小雏鹦
3,10026,球鹦鹉
3,10027,金羽鹦鹉
3,10028,小灵球
3,10029,幽幽球
3,10030,幽灵王球
3,10031,小黑猫
3,10032,黑炭猫
3,10033,黑黝黝
3,10034,小球豹
3,10035,球球豹
3,10036,球豹王子
5,1550,简约床
5,1551,简约沙发
5,1552,简约书桌
5,1553,简约餐桌
5,1554,简约茶几
