对话ID,对话内容（DisplayType=0时，可使用@item_道具id# 添加道具名和icon）,对话内容备注,头像icon（Assetruntime\Art\miniuidesign\universe\assets\BotConversationsAtlas\bot_icons）,对话触发类型（0直接调用或上句自动跳转，1待机随机，2任务完成，3任务被追踪）,触发参数,显示类型（0对话框，1地图聊天框）,对话框存在时长（控制单句对话展示后存在的时间，DisplayType=0时使用，数值为秒，1s=20tick）,跳转条件（DisplayType=0时使用，0点任意处，1点对话框）,跳转对话id（DisplayType=0时使用，不填或找不到id则结束对话）,横坐标X（DisplayType=0时使用，对话框在屏幕上的位置）,纵坐标Y（对话框在屏幕上的位置）,备注
ID,Content,,ICON,TriggerType,Parameter,DisplayType,DisplayTimer,NextCondition,NextID,GridX,GridY,
1000000,别睡啦！快醒一醒卟！,,cry,0,,0,60,0,,150,400,苏醒前
1000001,你终于醒过来了卟！真是吓死我了！,,cry,0,,0,60,0,1000002,150,400,游戏开始
1000002,本来都挺顺利的，结果在抵达迷拉星前星链里突然凝聚了大量的虚空之力卟！,,cry,0,,0,60,0,1000003,150,400,游戏开始
1000003,一瞬间大伙全被打散了卟，目前看来只有我们勉强抵达了迷拉星。不知道其他人怎么样了……,,cry,0,,0,60,0,1000004,150,400,游戏开始
1000004,你还好么，我们最好先检查一下状态卟。,,normal,0,,0,60,0,,150,400,游戏开始
1000011,看看这个，这块展示的是生命值和体力值。,,normal,0,,0,60,0,1000012,150,250,玩家属性介绍
1000012,红色这条表示的是你目前的健康程度，如果太低的话会非常危险，请时刻关注卟！,,angry,0,,0,60,0,1000013,150,200,玩家属性介绍
1000013,黄色这条呢，则是你目前剩余的体力了卟。,,normal,0,,0,60,0,,150,200,玩家属性介绍
1000014,如果太低的话就会非常累卟，效率会降低，一旦遇到危险很可能会应接不暇，所以也请时刻关注！,,angry,0,,0,60,0,,150,200,玩家属性介绍
1000021,下方这块是称为“快捷栏”的区域卟。点击这些格子的话就能快速切换手上拿的道具了。,,smile,0,,0,60,0,1000022,750,250,移动端快捷栏介绍
1000022,你现在的状态不是很好，我们吃点东西恢复一下卟！,,cry,0,,0,60,0,1000023,750,250,移动端快捷栏介绍
1000023,点一下这格，把它拿在手上卟。,,smile,0,,0,60,1,,750,250,移动端快捷栏介绍
1000031,下方这块是称为“快捷栏”的区域卟。通过按对应的“数字键”就能快速切换手上拿的道具了。,,smile,0,,0,60,0,1000032,750,250,Pc端快捷栏介绍
1000032,你现在的状态不是很好，我们吃点东西恢复一下卟！,,cry,0,,0,60,0,1000033,750,250,Pc端快捷栏介绍
1000033,找到对应的“数字键”切换到这一格，把它拿在手上卟。,,smile,0,,0,99,1,,750,250,Pc端快捷栏介绍
1000041,看吧！食物拿到手了卟嘿嘿。现在长按这个“使用按钮”吃东西吧。,,smile,0,,0,99,1,,750,250,移动端吃东西介绍
1000051,看吧！食物拿到手了卟嘿嘿。现在长按“鼠标右键”吃东西吧。,,smile,0,,0,99,1,,750,250,Pc端吃东西介绍
1000061,这下状态好多了卟，我们检查一下身体状况吧。,,smile,0,,0,60,0,,750,200,移动端移动介绍
1000062,跟着我，往前走两步卟。点击摇杆向前推就能前进了。,,smile,0,,0,99,1,,750,200,移动端移动介绍
1000063,前进没问题，现在我们后退一下卟。点击摇杆向后推就能后退了。,,smile,0,,0,99,1,,750,200,移动端移动介绍
1000064,很好，现在我们往左走走卟。试着把摇杆往左推吧。,,smile,0,,0,99,1,,750,200,移动端移动介绍
1000065,没错卟，最后是往右。向右推摇杆吧。,,smile,0,,0,99,1,,750,200,移动端移动介绍
1000071,这下状态好多了卟，我们检查一下身体状况吧。,,smile,0,,0,60,0,,750,200,Pc端移动介绍
1000072,跟着我，往前走走卟。点击键盘的“W”键就能前进了。,,smile,0,,0,99,1,,750,200,Pc端移动介绍
1000073,前进没问题，现在我们后退一下卟。点击键盘的“S”键就能后退了。,,smile,0,,0,99,1,,750,200,Pc端移动介绍
