id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,大海啊大海,啊~~大海~~都是水~~~啊~~沙漠~~都是沙~~~,沙漠商人,
2,很高兴认识你,这位捡到我漂流瓶的朋友，我想你一定是个勇敢、积极、好看的人！也许还有一些不服输的韧性。如果我没猜错的话，我一定是猜对了。,卡卡,
3,废话文学,"我最近接触到了一些废话文学，比如这句：但凡你这话有点道理，也不至于一点道理也没有。听说适度地使用能打破一些尴尬的沉默起到活跃气氛的作用，我还听说鲁迅先生也曾用“废话”来营造氛围，比如这句：在我的后园,可以看见墙外有两株树,一株是枣树,还有一株也是枣树。——《秋夜》",卡卡,
4,相信自己,如果你愿意多花点时间了解，你就会发现其实我们都有很多优点，如果你愿意多花时间照照镜子，你就发现你其实长得很好看！自信一点，相信自己，你可以的！,卡卡,
5,做更好的自己,台上一分钟，台下十年功！人生在世，最容易获得的除了衰老，没有其他，哪怕是长胖还要努力吃呢！所以如果有了目标，一定要努力努力再努力！想要拥有强健的体魄，就要不停锻炼；想要拥有智慧的大脑，就要不停学习！与君共勉~,妮妮,
6,海洋风格家具,一日不见，如隔三秋。近来无恙否？上次你说，有空了就来看我，你现在有空了吗？我这两天新进了一批奇珍异宝，物美价廉，而且种类繁多，其中有一套海洋风格的家具，记得抽空过来呀，我在珊瑚岛等你呀~,海岛商人,
7,星辰花的味道,前两天我在海上遇到了一位乘坐着皮筏出海的小哥，哎呀呀，就是看不起我们啊！居然坐着小皮筏就敢来，这等挑衅，我等岂能放过。虽说小哥的载具有点拿不出手，但战利品却是很丰富的，其中最让我爱不释手的，就是一种名叫星辰花的植物，那味道那颜色，简直和我梦想中星辰大海的一模一样，可惜这花不能久放，如果能有花种子就完美了…,假装匿名的海盗猎手,
8,就等你来！,你来我船，成就梦想！这里是穿越过海上风暴，找到了深海宝藏的航海时代先驱——黑帽子船长发布的招聘广告，我们船上人才多，能文能武还做得一手美食，现在就等你来，有意者请联系我！,甜心玛丽,
9,征服星辰大海,迈出你的第一步，不惧困难，不怕挫折，和我们一起，征服大海！我们的船队现在停在渔村附近的浅海，在这里暂时休整，如果你要来，要尽快！我们即将出发，开启大航海时代！等你来，一起征服星辰大海！,黑帽子船长蒂奇,
10,,我需要更多黄沙、黄沙、黄沙…,某不原透露姓名的沙人,
11,无语！,一个晚霞漫天的黄昏，我想砍棵椰子树，回家装饰一下地板，结果被掉下来的椰子砸中，直接错睡了一整夜，再睁眼的时候，太阳正高高挂在头顶，哎，真是太丢人了，就不署名了吧~捡到我漂流瓶的有缘人，记得吸取我的教训啊~,,1
12,三生万色,调色板好好玩，拿2种颜色，就可以调和出丰富多彩的色彩来，让我有了一生二，二生三，三生万物的感悟，如果你还没玩过，一定要感受一下呀，真是太有意思了。,妮妮,
13,沃沃兽,沃沃兽太可爱了，好想驯服一只，再用点颜料给它也画上图腾，一定非常霸气！,妮妮,
14,,我妈只让我玩一个小时，我也太惨了，好想快点长大！,,1
15,,新版本好好玩，爱了爱了,,1
16,,作业终于做完了……有一起玩的友友吗？,,1
17,鲨鱼！大鲨鱼！,嘿！我今天钓到了一条大鲨鱼哟，超级大，比我们村的海神像都大，想要来看看吗？我摆在村中央的晒鱼架上了！,胜过传奇的钓手,
18,,我爸双十一给我买了少女团手办呜呜呜，好开心好开心,,1
19,巨大的红杉树,有一位遇到的冒险家送了我一棵树的种子，我把它种下了，你猜它长成后有多大？它有红色的叶子，特征很明显了吧！你猜到了吗？简直是比我们家门口的井还要大！十个人都合抱不过来！,沙漠村民,
20,更多形状,新出的三角形方块挺有意思的，我尝试搭了一些建筑，看起来还不错呀，的确是突破了原来的方块的感觉，希望官方能再多出一些其他的多边形,,1
21,,距离寒假还有几十天倒计时，噢耶噢耶！,,1
22,,发现学校图书馆里有迷你联盟大冒险，绝绝子,,1
23,,在网上和黑子对骂，气死我了，不管怎么样迷你yyds!,,1
24,,关注迷你星工厂以来第一次中奖得皮肤，开心到中午吃了两碗饭,,1
25,,最喜欢月无双姐姐啦，表白表白,,1
26,,《龙响》能不能更快点啊，不够看的……求迷你给黑叔加鸡腿！,,1
27,沙漠和海洋相比,我还是觉得沙漠更有性价比，我这里的货物每样都有大来头，想要了解更详细吗？来找我吧，我当面和你讲。,沙漠商人,
28,,妮妮总说三思而后行，但我的身体总能抢先一步动起来。,卡卡,
29,,寒假之前是期末考试。嗯，果然日子总是先苦后甜。,,1
30,,为什么数学不能像语文一样简单明了呢？,,1
31,,生存还是考试，嗯，这是个问题。,,1
32,,如果能有时光机就好了啊，我要过一百遍暑假。,,1
33,,大家长大后想成为什么？我想当一名作家！,,1
34,,英语和数学的区别是：一个看不懂，一个看懂了也写不出来。,,1
35,,我不喜欢熬夜，早睡早起身体好。,,1
