箱子ID,钥匙ID,子组ID,子组概率，默认概率随机，需要只掉一组的话写死在程序中,概率控制方式，0概率随机，1只掉1个,道具1ID,道具1数量,道具1几率,品质1（0无品质，1普通，2高级，3稀有，4神话）,道具2ID,道具2数量,道具2几率,品质2（0无品质，1普通，2高级，3稀有，4神话）,道具3ID,道具3数量,道具3几率,品质3（0无品质，1普通，2高级，3稀有，4神话）,道具4ID,道具4数量,道具4几率,品质4（0无品质，1普通，2高级，3稀有，4神话）,道具5ID,道具5数量,道具5几率,品质5（0无品质，1普通，2高级，3稀有，4神话）,道具6ID,道具6数量,道具6几率,品质6（0普通，1高级，2稀有，3神话，null无品质）,道具7ID,道具7数量,道具7几率,品质7（0无品质，1普通，2高级，3稀有，4神话）,道具8ID,道具8数量,道具8几率,品质8（0无品质，1普通，2高级，3稀有，4神话）,道具9ID,道具9数量,道具9几率,品质9（0无品质，1普通，2高级，3稀有，4神话）,道具10ID,道具10数量,道具10几率,品质10（0无品质，1普通，2高级，3稀有，4神话）,备注
ID,Key,GroupID,GroupOdds,OddsMethod,ItemID1,ItemNum1,ItemOdds1,ItemQuality1,ItemID2,ItemNum2,ItemOdds2,ItemQuality2,ItemID3,ItemNum3,ItemOdds3,ItemQuality3,ItemID4,ItemNum4,ItemOdds4,ItemQuality4,ItemID5,ItemNum5,ItemOdds5,ItemQuality5,ItemID6,ItemNum6,ItemOdds6,ItemQuality6,ItemID7,ItemNum7,ItemOdds7,ItemQuality7,ItemID8,ItemNum8,ItemOdds8,ItemQuality8,ItemID9,ItemNum9,ItemOdds9,ItemQuality9,ItemID10,ItemNum10,ItemOdds10,ItemQuality10,
580,,1,10000,1,11207,3,10000,,12231,1,500,,12241,1,100,,671,8,1800,,11596,3,1000,,12222,1,1100,,112,1,500,,12221,1,2000,,796,1,1500,,12292,9,1500,,
580,,2,10000,1,11204,2,10000,,11015,1,500,,126,8,2000,,8,3,1300,,12562,1,1500,,445,1,800,,446,1,100,,,,,,,,,,,,,,
580,,3,10000,1,11203,1,10000,,11205,1,100,,11205,2,500,,12005,1,1000,,12241,1,1000,,11594,1,500,,12283,1,1200,,12051,10,1700,,,,,,,,,,
580,,4,8000,1,11570,3,10000,,11596,2,2500,,11593,1,2500,,11571,1,500,,11573,1,500,,796,1,1500,,12206,1,750,,11574,1,500,,11600,3,500,,796,1,750,,
598,,1,10000,1,,,,,,,,,,,,,,,,,,,,,11078,1,10000,,11079,1,10000,,11080,1,2000,,,,,,,,,,萌眼星化石
801,,1,10000,1,710,5,5000,,11306,2,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,2,10000,1,12502,2,5000,,817,5,5000,,11307,5,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,3,10000,1,11209,2,2000,,11207,1,2000,,12051,5,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,4,10000,,241,1,2000,,236,1,2000,,11310,1,5000,,12500,1,2000,,11205,1,10000,,,,,,,,,,,,,,,,,,,,,,
801,,5,8000,1,13414,1,500,,12576,2,1000,,12287,2,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,,1,10000,1,12211,1,2500,,12212,1,2500,,12213,1,2500,,12214,1,2500,,,,,,,,,,,,,,,,,,,,,,,,,,
734,,2,10000,1,300,1,2000,,301,1,2000,,302,1,2000,,303,1,2000,,304,1,2000,,305,1,2000,,306,1,2000,,312,1,2000,,11515,1,200,,,,,,
734,,3,10000,,11203,1,500,,11013,1,3500,,12003,1,3500,,12050,1,2500,,12004,1,2500,,11205,2,10000,,,,,,,,,,,,,,,,,,
734,,4,8000,1,13414,1,300,,12576,2,500,,12287,2,200,,12616,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,
733,,1,10000,,732,1,10000,,11331,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黑龙宝罐
733,,2,10000,,410,1,10000,,410,1,10000,,410,1,7500,,410,1,5000,,410,1,2000,,408,1,10000,,408,1,5000,,408,1,2000,,,,,,,,,,黑龙宝罐
737,,1,5000,1,241,1,2000,,236,1,1500,,12500,1,1000,,12502,1,600,,12508,1,1000,,12516,1,1000,,12518,1,1000,,228,1,1000,,12522,1,1000,,,,,,
737,,2,3000,1,710,1,1000,,11201,2,500,,11303,1,1000,,11307,1,1000,,11401,1,1000,,11402,1,1000,,12600,1,1000,,,,,,,,,,,,,,
737,,3,2000,1,11515,1,1000,,11500,1,1000,,11514,1,1000,,11504,1,1000,,11532,1,1000,,,,,,,,,,,,,,,,,,,,,,
737,,4,1000,1,13414,1,200,,12576,2,500,,12287,2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,,1,2000,1,12602,1,1000,,241,1,1000,,236,1,1000,,12500,1,1000,,12502,1,1000,,12508,2,1000,,12516,1,1000,,12518,1,1000,,12522,1,1000,,600,1,1000,,
738,,2,1000,1,710,1,1000,,11201,2,1000,,,,,,11303,1,1000,,,,,,11307,1,1000,,11310,1,200,,11306,1,1000,,11205,1,100,,11515,1,500,,
739,,1,2000,1,12602,1,1000,,241,1,1000,,236,1,1000,,12500,1,1000,,12502,1,1000,,12508,2,1000,,12516,1,1000,,12518,1,1000,,12522,1,1000,,600,1,1000,,
739,,2,1000,1,11206,1,1000,,11210,1,1000,,12051,2,1000,,11201,2,1000,,,,,,11209,1,1000,,11207,1,200,,710,1,1000,,11203,1,100,,11515,1,200,,
1000,,1,3000,1,13411,1,100,,13412,1,100,,13413,1,40,,11315,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,助教彼得特长1级
1000,,2,7000,1,300,1,100,,301,1,100,,302,1,100,,303,1,100,,304,1,100,,305,1,100,,306,1,100,,311,1,100,,312,1,100,,313,1,100,,助教彼得特长1级
1001,,1,3000,1,13411,1,100,,13412,1,100,,13413,1,40,,11315,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,助教彼得特长2级
