颜料瓶id,名称,颜色,红,黄,蓝,橙,紫,绿,白,黑,灰,红橙,黄橙,红紫,蓝紫,黄绿,蓝绿,浅红,浅黄,浅蓝,浅橙,浅紫,浅绿,深红,深黄,深蓝,深橙,深紫,深绿,淡灰
ID,Name,RGB,mix11514,mix11504,mix11532,mix11501,mix11510,mix11513,mix11500,mix11515,mix11507,mix11536,mix11537,mix11502,mix11538,mix11539,mix11509,mix11506,mix11540,mix11503,mix11541,mix11542,mix11505,mix11512,mix11543,mix11544,mix11545,mix11546,mix11547,mix11508
11514,红（赫赤红）,d50000,11514,11501,11510,11536,11502,11515,11506,11512,11514,11514,11501,11514,11510,11543,11544,11514,11541,11542,11536,11502,11507,11512,11545,11546,11536,11502,11515,11506
11504,黄（鹅毛黄）,ffff00,11501,11504,11513,11537,11515,11539,11540,11543,11504,11501,11504,11512,11544,11504,11513,11541,11504,11505,11537,11507,11539,11545,11543,11547,11537,11515,11539,11540
11532,蓝（宝石蓝）,0d47a1,11510,11513,11532,11515,11538,11509,11503,11544,11532,11512,11543,11510,11532,11513,11532,11542,11505,11532,11507,11538,11509,11546,11547,11544,11515,11538,11509,11503
11501,橙（朱砂橙）,e65100,11536,11537,11515,11501,11512,11543,11541,11545,11501,11536,11537,11512,11544,11543,11547,11536,11537,11507,11501,11514,11504,11536,11537,11515,11545,11512,11543,11541
11510,紫（青莲紫）,512da8,11502,11515,11538,11512,11510,11544,11542,11546,11510,11512,11545,11502,11538,11547,11544,11502,11507,11538,11514,11510,11532,11502,11515,11538,11512,11546,11544,11542
11513,绿（翡翠绿）,43a047,11515,11539,11509,11543,11544,11513,11505,11547,11513,11545,11543,11546,11544,11539,11509,11507,11539,11509,11504,11532,11513,11515,11539,11509,11543,11544,11547,11505
11500,白（象牙白）,ffffff,11506,11540,11503,11541,11542,11505,11500,11507,11508,11536,11537,11502,11538,11539,11509,11500,11500,11500,11500,11500,11500,11514,11504,11532,11501,11510,11513,11500
11515,黑（煤乌黑）,0,11512,11543,11544,11545,11546,11547,11507,11515,11515,11515,11515,11515,11515,11515,11515,11514,11504,11532,11501,11510,11513,11515,11515,11515,11515,11515,11515,11507
11507,灰（苍石灰）,424242,11514,11504,11532,11501,11510,11513,11508,11515,11507,11536,11537,11502,11538,11539,11509,11506,11540,11503,11541,11542,11505,11512,11543,11544,11545,11546,11547,11507
11536,红橙（落日橙）,ff3d00,11514,11501,11512,11536,11512,11545,11536,11515,11536,11536,11501,11512,11546,11541,11515,11506,11541,11514,11536,11514,11501,11512,11545,11512,11536,11512,11545,11536
11537,黄橙（秋叶橙）,ffab40,11501,11504,11543,11537,11545,11543,11537,11515,11537,11501,11537,11545,11515,11543,11547,11541,11540,11504,11537,11501,11504,11545,11543,11543,11537,11545,11543,11537
11502,红紫（胭脂红）,e91e63,11514,11512,11510,11512,11502,11546,11502,11515,11502,11512,11545,11502,11510,11515,11546,11506,11514,11542,11514,11502,11510,11512,11512,11546,11512,11502,11546,11502
11538,蓝紫（花青紫）,311b92,11510,11544,11532,11544,11538,11544,11538,11515,11538,11546,11515,11510,11538,11547,11544,11542,11532,11503,11532,11538,11532,11546,11544,11544,11544,11538,11544,11538
11539,黄绿（杨柳绿）,aeea00,11543,11504,11513,11543,11547,11539,11539,11515,11539,11541,11543,11515,11547,11539,11547,11504,11540,11505,11504,11513,11539,11543,11543,11547,11543,11547,11539,11539
11509,蓝绿（青碧绿）,00796b,11544,11513,11532,11547,11544,11509,11509,11515,11509,11515,11547,11546,11544,11547,11509,11532,11505,11503,11513,11532,11509,11544,11547,11544,11547,11544,11509,11509
11506,浅红（海棠红）,ff8a80,11514,11541,11542,11536,11502,11507,11500,11514,11506,11506,11541,11506,11542,11504,11532,11506,11541,11542,11536,11502,11508,11514,11501,11510,11536,11502,11507,11506
11540,浅黄（柠檬黄）,fff176,11541,11504,11505,11537,11507,11539,11500,11504,11540,11541,11540,11514,11532,11540,11505,11541,11540,11505,11537,11508,11539,11501,11504,11513,11537,11507,11539,11540
11503,浅蓝（天青蓝）,82b1ff,11542,11505,11532,11507,11538,11509,11500,11532,11503,11514,11504,11542,11503,11505,11503,11542,11505,11503,11508,11538,11509,11510,11513,11532,11507,11538,11509,11503
11541,浅橙（肉桂橙）,ffcc80,11536,11537,11507,11501,11514,11504,11500,11501,11541,11536,11537,11514,11532,11504,11513,11536,11537,11508,11541,11506,11540,11536,11537,11507,11501,11512,11543,11541
11542,浅紫（丁香紫）,b39ddb,11502,11507,11538,11514,11510,11532,11500,11510,11542,11514,11501,11502,11538,11513,11532,11502,11508,11538,11514,11542,11503,11502,11507,11538,11512,11510,11544,11542
11505,浅绿（松花绿）,81c784,11507,11539,11509,11504,11532,11513,11500,11513,11505,11501,11504,11510,11532,11539,11509,11508,11539,11509,11504,11503,11505,11507,11539,11509,11543,11544,11513,11505
11512,深红（深栗红）,4e342e,11512,11545,11546,11536,11502,11515,11514,11515,11512,11512,11545,11512,11546,11543,11544,11514,11501,11510,11536,11502,11507,11512,11545,11546,11536,11502,11515,11514
11543,深黄（琥珀黄）,827717,11545,11543,11547,11537,11515,11539,11504,11515,11543,11545,11543,11512,11544,11543,11547,11501,11504,11513,11537,11507,11539,11545,11543,11547,11537,11515,11539,11504
