ID,名称,文件名称,类别【1=图标|2=标签|3=按钮4=底板|5=背景图|6=文字|7=边框 8 = 天空盒】,上级,文件夹,开关(0:关 1:开),排序
ID,Name,Resource,Type,Pack,Dir,Open,Order
10001,图标2,icon_08,1,common,,1,2
10002,图标1,npchat_icon_attack,1,c_miniwork,,1,1
10003,图标3,icon_bean,1,common,,1,3
10004,图标4,icon_blood,1,common,,1,4
10005,图标183,icon_box,1,common,,1,585
10006,图标184,icon_camera,1,common,,1,586
10007,图标185,icon_card,1,common,,1,587
10008,图标26,icon_Certified_Studio,1,common,,1,26
10009,图标186,icon_chat,1,common,,1,588
10010,图标27,icon_coin,1,common,,1,27
10011,标签2,btn_returnhome,2,common,,1,29
10012,标签1,label_information_bg,2,common,,1,28
10013,标签3,label_information_download,2,common,,1,30
10014,标签4,label_information_green,2,common,,1,31
10015,标签5,label_information_purple,2,common,,1,32
10016,标签6,label_information_red,2,common,,1,33
10017,标签7,label_information_share,2,common,,1,34
10018,标签8,label_notice_aqua,2,common,,1,35
10019,标签9,label_notice_aqua_b,2,common,,1,36
10020,标签10,label_notice_blue,2,common,,1,37
10021,按钮3,btn_bigsquare_yellow,3,common,,1,41
10022,底板59,btn_circle_blue,4,common,,1,131
10023,底板88,btn_circle_gray,4,common,,1,160
10024,按钮46,btn_close_banner,3,common,,1,161
10025,按钮47,close_button,3,common,,1,162
10026,按钮48,btn_help,3,common,,1,163
10027,标签62,btn_mini_gray_r,2,common,,1,549
10028,按钮4,btn_middle_blue,3,common,,1,42
10029,按钮5,btn_square_blue1,3,common,,1,43
10030,按钮6,btn_superbig_yellow,3,common,,1,44
10031,底板30,img_icon_lignt,4,common,,1,101
10032,底板40,img_icon_shortcut,4,common,,1,111
10033,底板41,tab_book_left_h,4,common,,1,112
10034,底板42,tab_clip_left_h,4,common,,1,113
10035,底板43,tab_book_left_n,4,common,,1,114
10036,底板44,tab_right_h,4,common,,1,115
10037,底板45,btn_entry_develop,4,common,,1,116
10038,底板46,board_activity_box_blue,4,common,,1,117
10039,底板47,btn_price,4,common,,1,118
10040,底板48,img_icon_green,4,common,,1,119
10041,标签11,need,2,c_ingame,,1,164
10042,背景图1,board_activity_box_white,5,common,,1,165
10043,底板69,img_board_scoring_sel,4,c_ingame,,1,141
