工具材料类型,货币类型(STAR星星 JEWEL钻石),附魔花费,合并花费1,合并花费2,合并花费3,合并花费4,合并花费5,1条属性权重,2条属性权重,3条属性权重,4条属性权重,5条属性权重,1级权重,2级权重,3级权重,4级权重,5级权重,Npc1条属性权重,Npc2条属性权重,Npc3条属性权重,Npc4条属性权重,Npc5条属性权重,Npc1级权重,Npc2级权重,Npc3级权重,Npc4级权重,Npc5级权重,,类型名称备注,材料加成
StuffType,CurrencyType,Cost,MergeCost1,MergeCost2,MergeCost3,MergeCost4,MergeCost5,AttrWeight1,AttrWeight2,AttrWeight3,AttrWeight4,AttrWeight5,LevelWeight1,LevelWeight2,LevelWeight3,LevelWeight4,LevelWeight5,NpcAttrWeight1,NpcAttrWeight2,NpcAttrWeight3,NpcAttrWeight4,NpcAttrWeight5,NpcLevelWeight1,NpcLevelWeight2,NpcLevelWeight3,NpcLevelWeight4,NpcLevelWeight5,,,
0,STAR,1,1,2,3,4,5,91,8,1,,,900,100,8,2,,60,30,15,5,1,600,300,150,50,10,,木,-20%
1,STAR,1,1,2,3,4,5,90,8,2,,,840,140,20,8,1,60,30,15,5,1,600,300,150,50,10,,皮,10%
2,STAR,2,2,3,4,5,6,90,8,2,,,900,100,16,2,1,60,30,15,5,1,600,300,150,50,10,,石,-10%
3,STAR,3,3,4,5,6,7,90,8,2,,,859,120,17,5,1,60,30,15,5,1,600,300,150,50,10,,链,
4,STAR,3,3,6,9,12,15,90,8,2,,,859,120,17,5,1,60,30,15,5,1,600,300,150,50,10,,铁,
5,STAR,3,2,3,4,5,6,90,16,4,1,,840,150,25,8,2,60,60,60,15,5,600,450,300,150,50,,金,20%
6,STAR,5,5,10,15,20,25,90,8,2,,,859,120,17,5,1,60,30,15,5,1,600,300,150,50,10,,钻,
7,STAR,10,5,10,15,25,40,,,,,,,,,,,,,,,,,,,,,,备用,
8,STAR,10,5,10,15,25,40,,,,,,,,,,,,,,,,,,,,,,备用,
9,STAR,10,5,10,15,25,40,,,,,,,,,,,,,,,,,,,,,,备用,
10,STAR,10,5,10,15,25,40,,,,,,,,,,,,,,,,,,,,,,备用,
