特长ID,特长等级,特长名称,特长图片id,特长描述,特长类型【0强壮，10倔强，11炸弹鬼才，17狩猎能手，18勤劳，30博学，31野外求生，32意外发现，33预感，34超级跳跃】,特长值1,特长值2,特长值3,解锁消耗类型/1道具,解锁消耗道具1ID：迷你豆-10000，迷你币-10002，迷你点-10009，特长碎片-10043,解锁消耗道具数量,解锁消耗道具2ID：：迷你豆-10000，迷你币-10002，迷你点-10009，特长碎片-10043,解锁消耗道具数量
ID,GeniusLv,GeniusName,GeniusID,GeniusDesc,GeniusType,GeniusValue1,GeniusValue2,GeniusValue3,ULConsumeType,ULConsume1ID,ULConsume1Num,ULConsume2ID,ULConsume2Num
1,0,强壮,Genius_icon01,增加基础伤害（未激活）,0,,,,1,10043,0,10000,0
2,1,强壮1,Genius_icon01,基础伤害增加5点,0,5,,,1,10043,90,10000,100
3,2,强壮2,Genius_icon02,基础伤害增加10点,0,10,,,1,10043,180,10000,300
4,0,狩猎能手,Genius_icon03,增加狩猎收获（未激活）,17,,,,1,10043,0,10000,0
5,1,狩猎能手1,Genius_icon03,打怪有25%几率获得2倍掉落,17,0.25,,,1,10043,234,10000,100
6,2,狩猎能手2,Genius_icon04,打怪有25/15%几率获得2/3倍掉落,17,0.25,0.15,,1,10043,468,10000,300
7,0,倔强,Genius_icon05,降低受到的远程伤害（未激活）,10,,,,1,10043,0,10000,0
8,1,倔强1,Genius_icon05,受到的远程伤害降低20%,10,0.2,,,1,10043,135,10000,100
9,2,倔强2,Genius_icon06,受到的远程伤害降低40%,10,0.4,,,1,10043,270,10000,300
10,0,勤劳,Genius_icon07,提高采集速度（未激活）,18,,,,1,10043,0,10000,0
11,1,勤劳1,Genius_icon08,采集速度提高50%,18,0.5,,,1,10043,135,10000,100
12,2,勤劳2,Genius_icon08,采集速度提高100%,18,1,,,1,10043,270,10000,300
13,0,炸弹鬼才,Genius_icon09,降低受到的爆炸伤害（未激活）,11,,,,1,10043,0,10000,0
14,1,炸弹鬼才1,Genius_icon09,受到的爆炸伤害降低20%,11,0.2,,,1,10043,180,10000,100
15,2,炸弹鬼才2,Genius_icon10,受到的爆炸伤害降低40%,11,0.4,,,1,10043,540,10000,300
16,0,野外求生,Genius_icon11,增强食物效果和水下呼吸（未激活）,31,,,,1,10043,0,10000,0
17,1,野外求生1,Genius_icon12,食物回复的体力/生命、水下氧气消耗降低各增加10%,31,0.1,0.1,0.1,1,10043,540,10000,300
18,2,野外求生2,Genius_icon13,食物回复的体力/生命、水下氧气消耗降低各增加20%,31,0.2,0.2,0.2,1,10043,1080,10000,900
19,0,预感,Genius_icon14,免疫一次致命伤害（未激活）,33,,,,1,10043,0,10000,0
20,1,预感1,Genius_icon14,受到的伤害大于45点并导致死亡时，以25%的生命值立刻重生，触发间隔5分钟,33,45,0.25,105001,1,10043,540,10000,300
21,2,预感2,Genius_icon15,受到的伤害大于25点并导致死亡时，以50%的生命值立刻重生，触发间隔3分钟,33,25,0.5,105002,1,10043,1080,10000,900
22,0,超级跳跃,Genius_icon16,增强跳跃能力，2级时可以二段跳（未激活）,34,,,,1,10043,0,10000,0
23,1,超级跳跃1,Genius_icon16,跳跃高度+50%，摔落伤害-10,34,0.5,,10,1,10043,1440,10000,300
24,2,超级跳跃2,Genius_icon17,跳跃高度+50%，摔落伤害-20，可以二段跳,34,0.5,1,20,1,10043,2880,10000,900
25,0,意外发现,Genius_icon18,击碎罐子有几率发现各种东西（未激活）,32,,,,1,10043,0,10000,0
26,1,意外发现1,Genius_icon18,击碎罐子有18%几率发现稀有材料,32,0.18,1000,,1,10043,360,10000,300
27,2,意外发现2,Genius_icon19,击碎罐子有27%几率发现更多稀有材料和特殊方块,32,0.27,1001,,1,10043,720,10000,900
28,0,博学,Genius_icon20,挖掘石头的时候有几率发现各种东西（未激活）,30,,,,1,10043,0,10000,0
29,1,博学1,Genius_icon20,挖掘石头有4%几率发现稀有矿石和材料,30,0.04,1002,,1,10043,360,10000,300
30,2,博学2,Genius_icon21,挖掘石头有6%几率发现更多稀有矿石、材料和特殊方块,30,0.06,1003,,1,10043,720,10000,900
