道具ID,名称,枪械类型,攻击力,射击间隔（ms）,最大准心上扬,准心上扬速度,准心上扬恢复速度,准心半径,最大准心半径,准心扩散速度,准心恢复速度,射程,射击模式[0=半自动，1=全自动，2=手动],拉栓延迟时间[从开火到拉栓，单位ms],拉栓时间[从开火到拉栓结束，单位ms],弹夹子弹数,换弹夹时间/ms,重量/g,瞄准放大倍数,是否显示准心,子弹要求：0/换子弹无消耗，1/换子弹有消耗，2/射击无消耗,消耗道具（填itemid，不填默认是子弹列填的id）,子弹,射击特效,射击音效,空枪射击音效,换弹夹音效,拉栓音效,FPS待机,FPS射击,FPS换子弹,FPS换枪,FPS瞄准,FPS瞄准射击,FPS拉栓,TPS待机,TPS射击,TPS换子弹,初速度加成,自动瞄准(0关闭自瞄 1允许自瞄并默认开启)
ID,Name,GunType,Attack,FireInterval,MaxRecoil,RecoilSpeed,RecoilRecoverySpeed,InitSpread,MaxSpread,SpreadSpeed,SpreadRecoverySpeed,Range,ContinuousFire,ManualDelayTime,ManualTime,Magazines,ReloadTime,Weight,Aim,Crosshair,NeedBullet,CostItemID,BulletID,ShootEffect,ShootSound,EmptyShootSound,ReloadSound,ManualSound,IdleAnimFps,ShootAnimFps,ReloadAnimFps,DrawAnimFps,AimAnimFps,AimShootAnimFps,ManualAnimFps,IdleAnimTps,ShootAnimTps,ReloadAnimTps,SpeedAdd,AutoAim
10100,,10105,30,300,2,0.015,0.05,6,18,0.4,15,32,0,220,1200,6,1750,500,0,1,1,,15003,item_15002_1,item.15002.fire,item.15002.empty,item.15002.reload,item.15004.load,101117,101108,101112,101114,101116,101119,101141,100136,100127,100138,,1
10104,,10105,30,300,2,0.015,0.05,6,18,0.4,15,32,0,220,1200,6,1750,500,0,1,1,,15003,item_15002_1,item.15002.fire,item.15002.empty,item.15002.reload,item.15004.load,101117,101108,101112,101114,101116,101119,101141,100136,100127,100138,,1
10105,手枪模板,10105,30,300,2,0.015,0.056,6,18,0.4,15,32,0,220,1200,6,1750,500,0,1,1,,15003,item_15002_1,item.15002.fire,item.15002.empty,item.15002.reload,item.15004.load,101117,101108,101112,101114,101116,101119,101141,100136,100127,100138,,1
10106,冲锋枪模板,10106,20,150,2.5,0.012,0.076,12,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
10107,狙击枪模板,10107,100,2000,3,0.03,0.1,25,60,0.4,15,32,0,420,1400,6,1750,7000,40,0,1,,15003,item_15004_1,item.15004.fire,item.15004.empty,item.15004.reload,item.15004.load,101124,101125,101142,101115,101116,101119,101141,100137,100154,100139,,1
10108,重机枪模板,10108,20,100,4,0.015,0.095,25,60,0.4,15,32,1,120,1100,100,2100,12000,0,1,1,,15003,item_15005_1,item.15005.fire,item.15005.empty,item.15005.reload,item.15004.load,101126,101127,101128,101115,101116,101119,101141,100144,100145,100146,,1
10109,霰弹枪模板,10109,50,500,2,0.02,0.1,14,42,0.4,25,32,0,420,1400,6,1680,5000,0,1,1,,15003,item_15006_1,item.15006.fire,item.15006.empty,item.15006.reload,item.15004.load,101124,101136,101113,101115,101116,101119,101141,100137,100154,100139,,1
15000,冲锋枪,10106,20,150,2.5,0.012,0.076,12,36,0.4,25,32,1,120,1100,30,1680,4000,0,1,1,,15003,item_15000_1,item.15000.fire,item.15000.empty,item.15000.reload,item.15004.load,101118,101109,101113,101115,101116,101119,101141,100137,100129,100139,,1
15001,左轮手枪,10105,30,300,2,0.015,0.056,6,18,0.4,15,32,0,220,1200,6,1750,500,0,1,1,,15003,item_15002_1,item.15002.fire,item.15002.empty,item.15002.reload,item.15004.load,101117,101108,101112,101114,101116,101119,101141,100136,100127,100138,,1
