制作物ID,物品名称（仅用于备注）,分类ID（是显示的页签分类不是物品分类）,制作产出数量,获得经验下限,获得经验上限,制作消耗类型（0=免费，1=迷你币，2=家园币，3=迷你豆，4=迷你点）,制作消耗货币,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量,解锁方式（0不用解锁，1家园等级解锁，2道具解锁）,解锁值（解锁方式=1时为家园等级）
ItemID,Name,ItemType,ProduceNUM,ExpMin,ExpMax,CostType,CostNum,Material1_ID,Material1_Num,Material2_ID,Material2_Num,Material3_ID,Material3_Num,Material4_ID,Material4_Num,UnlockType,UnlockVal
1550,简约床,1001,1,0,0,2,100,75008,10,75022,5,,,,,,
1551,简约沙发,1001,1,0,0,2,100,75008,10,,,,,,,,
1552,简约书桌,1001,1,0,0,2,100,75008,10,,,,,,,,
1553,简约餐桌,1001,1,0,0,2,100,75008,10,,,,,,,,
1554,简约茶几,1001,1,0,0,2,100,75008,10,,,,,,,,
1555,简约洗手台,1001,1,0,0,2,50,75008,8,75003,10,,,,,,
1556,简约椅子,1001,1,0,0,2,50,75008,8,,,,,,,,
1557,简约马桶,1001,1,0,0,2,50,75003,12,,,,,,,,
1558,简约浴缸,1001,1,0,0,2,100,75003,12,,,,,,,,
1559,简约衣柜,1001,1,0,0,2,100,75008,10,,,,,,,,
1560,简约橱柜,1001,1,0,0,2,100,75008,10,,,,,,,,
1561,简约半格橱柜,1001,1,0,0,2,50,75008,8,,,,,,,,
1562,简约组合柜,1001,1,0,0,2,50,75008,8,,,,,,,,
1563,简约屏风,1001,1,0,0,2,50,75008,8,75004,5,,,,,,
1564,简约立体灯,1001,1,0,0,2,100,75008,10,75004,1,,,,,,
1565,简约吊灯,1001,1,0,0,2,100,75008,10,75004,1,,,,,,
1566,简约壁灯,1001,1,0,0,2,100,75008,10,75004,1,,,,,,
1567,简约门,1002,1,0,0,2,100,75008,3,,,,,,,,
1568,简约窗,1002,1,0,0,2,50,75008,2,75004,1,,,,,,
1569,简约楼梯,1002,1,0,0,2,50,75008,2,,,,,,,,
1570,简约墙砖,1002,1,0,0,2,5,75021,2,,,,,,,,
1571,简约砖,1002,1,0,0,2,5,75021,2,,,,,,,,
1572,简约半砖,1002,1,0,0,2,5,75021,2,,,,,,,,
1573,简约围栏,1002,1,0,0,2,50,75008,2,,,,,,,,
1574,中式床,1001,1,0,0,2,100,75011,10,75022,5,,,,,0,
1575,中式沙发,1001,1,0,0,2,150,75011,12,75022,2,75016,2,,,0,
1576,中式书桌,1001,1,0,0,2,150,75011,12,,,,,,,0,
1577,中式餐桌,1001,1,0,0,2,100,75011,10,,,,,,,0,
1578,中式茶几,1001,1,0,0,2,100,75011,10,,,,,,,0,
1579,中式洗手台,1001,1,0,0,2,50,75011,8,,,,,,,0,
1580,中式椅子,1001,1,0,0,2,50,75011,8,,,,,,,0,
1581,中式马桶,1001,1,0,0,2,50,75011,8,75003,5,,,,,0,
1582,中式浴缸,1001,1,0,0,2,100,75011,10,75016,5,,,,,1,1
1583,中式衣柜,1001,1,0,0,2,100,75011,10,,,,,,,1,2
