农作物种子ID,农作物名称（仅用于备注）,对应农作物ID,成熟时间（秒）,收获道具1ID,收获道具1数量,收获奖励包ID,收获经验下限,收获经验上限,变异几率（万分率）,变异农作物种子ID
CropsSeedID,Name,CropsBlockID,GrowthTime,HarvestItem1_ID,HarvestItem1_Num,AwardPackID,ExpMin,ExpMax,ChangeProb,ChangeID
62001,向阳花种子,1493,600,62413,2,,5,5,,
62002,红色龙舌兰种子,1494,28800,62414,2,,216,216,,
62003,龙血花种子,1498,28800,62418,2,,216,216,,
62004,野蔷薇种子,1499,28800,62419,2,,216,216,,
62005,小白菊种子,1500,14400,62420,2,,114,114,,
62006,茶树种子,1457,600,62404,2,,5,5,,
62007,香蕉种子,1458,14400,62405,2,,114,114,,
62008,西瓜种子,1501,14400,62423,2,,114,114,,
62009,芒果种子,1460,14400,62406,2,,114,114,,
62010,梨子种子,1461,14400,62407,2,,114,114,,
62011,柑橘种子,1462,14400,62408,2,,114,114,,
62012,桃子种子,1463,14400,62409,2,,114,114,,
62013,水稻种子,1464,14400,62430,2,,114,114,,
62014,麦子种子,1465,60,62431,1,,1,1,,
62015,土豆种子,1466,14400,62432,2,,114,114,,
62016,南瓜种子,1502,14400,62433,2,,114,114,,
62017,甘蔗种子,1468,14400,62434,2,,114,114,,
62018,蜂巢种子,1469,600,62435,2,,5,5,,
62019,辣椒树种子,1470,14400,62411,2,,114,114,,
62020,棉花树种子,1471,14400,62410,2,,114,114,,
62021,果树种子,1503,28800,62424,2,,216,216,,
62022,落叶松种子,1504,28800,62425,2,,216,216,,
62023,白杨树种子,1505,28800,62426,2,,216,216,,
62026,胡桃树种子,1506,28800,62429,2,,216,216,,
62027,小蘑菇种子,1478,14400,62421,2,,114,114,,
62028,小红菇种子,1479,14400,62422,2,,114,114,,
62029,咖啡豆种子,1480,14400,62401,2,,114,114,,
62030,球球豆种子,1481,14400,62402,2,,114,114,,
62031,氧气果种子,1482,14400,62403,2,,114,114,,
62032,胡萝卜种子,1486,600,62412,2,,5,5,,
62033,橙色龙舌兰种子,1495,28800,62415,2,,216,216,,
62034,灰色龙舌兰种子,1496,28800,62416,2,,216,216,,
62035,粉色龙舌兰种子,1497,28800,62417,2,,216,216,,
62036,胡杨树苗,1508,28800,62437,2,,216,216,,
62037,芦荟种子,1509,60,62438,1,,1,1,,
62038,花生种子,1510,60,62439,1,,1,1,,
62039,大麦种子,1511,1800,62440,12,,15,15,,
62040,芝麻种子,1512,1800,62441,16,,15,15,,
62041,生菜种子,1513,3600,62442,13,,29,29,,
62042,甜菜种子,1514,43200,62443,16,,318,318,,
62043,西红柿种子,1515,86400,62444,16,,610,610,,
62044,高丹草种子,1516,7200,62445,16,,58,58,,
62045,甘蓝种子,1517,64800,62446,18,,462,462,,
62046,玉米种子,1518,172800,62447,18,,1200,1200,,
62047,青椒种子,1519,3600,62448,19,,29,29,,
62048,萝卜种子,1521,129600,62449,20,,912,912,,
62049,小地星种子,1520,259200,62450,20,,1740,1740,,
62050,花椰菜种子,1522,1800,62451,21,,15,15,,
62051,韭菜种子,1523,36000,62452,20,,265,265,,
62052,红枣树种子,1524,3600,62453,23,,29,29,,
62053,黄瓜种子,1525,57600,62454,24,,416,416,,
62054,油菜花种子,1526,86400,62455,20,,610,610,,
62055,青稞种子,1527,7200,62456,16,,58,58,,
62056,椰树种子,1528,64800,62457,18,,462,462,,
62057,覆盆子种子,1529,172800,62458,24,,1200,1200,,
62058,蛋黄果树种子,1530,3600,62459,19,,29,29,,
62059,红高粱种子,1531,129600,62460,20,,912,912,,
62060,圆椒种子,1532,259200,62461,20,,1740,1740,,
62061,豌豆种子,1533,1800,62462,20,,15,15,,
62062,蓝莓树种子,1534,36000,62463,20,,265,265,,
62063,草莓种子,1535,3600,62464,20,,29,29,,
62064,菠萝树种子,1536,57600,62465,17,,416,416,,
62065,葡萄树种子,1537,86400,62466,20,,610,610,,
62066,樱桃树种子,1538,7200,62467,18,,58,58,,
62067,灵芝种子,1539,64800,62468,20,,462,462,,
62068,火龙果树种子,1540,172800,62469,20,,1200,1200,,
62069,五彩椒种子,1541,3600,62470,19,,29,29,,
62070,网盖红褶伞种子,1542,129600,62471,20,,912,912,,
62071,人参种子,1543,259200,62472,20,,1740,1740,,
