农田ID,需要家园等级,解锁消耗类型（0=免费，1=迷你币，2=家园币，3=迷你豆，4=迷你点）,解锁花费,消耗道具ID,消耗道具数量
FarmlandID,NeedHomeLv,CostType,CostNum,CostItemID,CostItemNum
0,1,2,0,,
1,1,2,0,,
2,1,2,0,,
3,1,2,0,,
4,1,2,0,,
5,1,2,0,,
6,3,2,500,75018,1
7,5,2,2000,75018,2
8,7,2,3800,75018,3
9,8,2,4600,75018,4
10,9,2,5400,75018,5
11,10,2,6200,75018,6
12,11,2,10000,75018,6
13,12,2,13800,75018,7
14,13,2,17600,75018,7
15,14,2,21400,75018,8
16,15,2,25200,75018,8
17,16,2,30000,75018,9
18,17,2,34800,75018,9
19,18,2,39600,75018,10
20,19,2,44400,75018,11
21,20,2,49200,75018,12
22,21,2,60000,75018,14
23,22,2,70800,75018,16
24,23,2,81600,75018,18
25,24,2,92400,75018,20
26,25,2,103200,75018,25
27,26,2,120000,75018,30
28,27,2,136800,75018,35
29,28,2,153600,75018,40
30,29,2,170400,75018,45
31,30,2,187200,75018,50
