物品ID,物品名称（仅备注用）,分类ID,界面分类ID(控制在哪个UI分类下显示的字段，支持填多个ID),品质（-1糟糕，0普通，1稀有，2珍贵，3传说）,需要家园等级（一般用于购买限制）,系列（填stringid）,品牌（填文件夹.文件名，路径在res/ui下）,家园评分,图鉴评分,出售类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）编辑背包回收,出售价格,功能数量（用到几个功能就填几）,功能1ID,功能1值1,功能1值2,功能1值3,功能1值4,功能2ID,功能2值1,功能2值2,功能2值3,功能2值4,功能3ID,功能3值1,功能3值2,功能3值3,功能3值4,界面模型大小,占地大小(512=半格砖 1024=4分之1砖),替代描述（对应stringID，屏蔽原描述和合成配方，显示本表配置描述）
ItemID,Name,ItemType,UiType,Quality,HomeLv,Series,Brand,HomeScore,HandBookScore,SellType,SellNum,FunctionNum,Function1_ID,Function1_val1,Function1_val2,Function1_val3,Function1_val4,Function2_ID,Function2_val1,Function2_val2,Function2_val3,Function2_val4,Function3_ID,Function3_val1,Function3_val2,Function3_val3,Function3_val4,ModelSize,AreaSize,ReplaceString
3,静态水,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,
4,水,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,
100,草块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
101,土块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
104,石头,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
105,苔石,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
106,细沙块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
107,碎石堆,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
108,沙砖,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,,,,,,,,,,,,40904
109,砂土,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
112,黑晶石,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
114,灰砂土,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
115,积雪,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
116,萌眼星石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
117,萌眼星草块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
118,萌眼星云团,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
119,旱土,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
122,雪堆,1004,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
123,冰块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
124,硫黄岩,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
125,灼沙,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
126,魔古岩,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
127,泡沫块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
128,红沙,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
132,硫黄晶砂,1003,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
200,果木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
201,落叶松木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
202,白杨木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
203,红杉木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
204,楠木,1002,1101|1105,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
