奖励包ID（填到需要产出奖励的地方）,子包ID（每个子包的奖励都会抽到）,备注,奖励模式（0=随机获取一个，1=每个奖励概率独立）,道具1ID（如果填的是货币道具ID，则产出货币）,道具1几率（万分率）,道具1最小数量,道具1最大数量,道具2ID,道具2几率,道具2最小数量,道具2最大数量,道具3ID,道具3几率,道具3最小数量,道具3最大数量,道具4ID,道具4几率,道具4最小数量,道具4最大数量,道具5ID,道具5几率,道具5最小数量,道具5最大数量,道具6ID,道具6几率,道具6最小数量,道具6最大数量,道具7ID,道具7几率,道具7最小数量,道具7最大数量,道具8ID,道具8几率,道具8最小数量,道具8最大数量,道具9ID,道具9几率,道具9最小数量,道具9最大数量,道具10ID,道具10几率,道具10最小数量,道具10最大数量,道具11ID,道具11几率,道具11最小数量,道具11最大数量,道具12ID,道具12几率,道具12最小数量,道具12最大数量,道具13ID,道具13几率,道具13最小数量,道具13最大数量,道具14ID,道具14几率,道具14最小数量,道具14最大数量,道具15ID,道具15几率,道具15最小数量,道具15最大数量,道具16ID,道具16几率,道具16最小数量,道具16最大数量,道具17ID,道具17几率,道具17最小数量,道具17最大数量,道具18ID,道具18几率,道具18最小数量,道具18最大数量,道具19ID,道具19几率,道具19最小数量,道具19最大数量,道具20ID,道具20几率,道具20最小数量,道具20最大数量
AwardPackID,SubPackID,Remarks,RewardMode,Item1_ID,Item1_Prob,Item1_MixNum,Item1_MaxNum,Item2_ID,Item2_Prob,Item2_MixNum,Item2_MaxNum,Item3_ID,Item3_Prob,Item3_MixNum,Item3_MaxNum,Item4_ID,Item4_Prob,Item4_MixNum,Item4_MaxNum,Item5_ID,Item5_Prob,Item5_MixNum,Item5_MaxNum,Item6_ID,Item6_Prob,Item6_MixNum,Item6_MaxNum,Item7_ID,Item7_Prob,Item7_MixNum,Item7_MaxNum,Item8_ID,Item8_Prob,Item8_MixNum,Item8_MaxNum,Item9_ID,Item9_Prob,Item9_MixNum,Item9_MaxNum,Item10_ID,Item10_Prob,Item10_MixNum,Item10_MaxNum,Item11_ID,Item11_Prob,Item11_MixNum,Item11_MaxNum,Item12_ID,Item12_Prob,Item12_MixNum,Item12_MaxNum,Item13_ID,Item13_Prob,Item13_MixNum,Item13_MaxNum,Item14_ID,Item14_Prob,Item14_MixNum,Item14_MaxNum,Item15_ID,Item15_Prob,Item15_MixNum,Item15_MaxNum,Item16_ID,Item16_Prob,Item16_MixNum,Item16_MaxNum,Item17_ID,Item17_Prob,Item17_MixNum,Item17_MaxNum,Item18_ID,Item18_Prob,Item18_MixNum,Item18_MaxNum,Item19_ID,Item19_Prob,Item19_MixNum,Item19_MaxNum,Item20_ID,Item20_Prob,Item20_MixNum,Item20_MaxNum
1006,1,保底测试1,0,1556,1000,1,1,1557,1000,1,1,1558,1000,1,1,1559,1000,1,1,1580,1000,1,1,1581,1000,1,1,1628,1000,1,1,1629,1000,1,1,1652,1000,1,1,1653,1000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,2,保底测试2,0,863,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,3,保底测试3,0,864,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,1,子包测试1,0,862,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,2,子包测试1,0,863,10000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,1,模式测试1,1,862,5000,1,1,863,5000,1,1,864,5000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,2,模式测试2,1,865,5000,1,1,866,5000,1,1,867,5000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,1,宠物抽奖1,0,68501,500,1,1,68506,500,1,1,68511,500,1,1,68516,500,1,1,68521,500,1,1,68526,500,1,1,68531,500,1,1,68536,500,1,1,68541,500,1,1,68546,500,1,1,68551,500,1,1,68556,500,1,1,68561,500,1,1,68565,500,1,1,68569,500,1,1,68573,500,1,1,68577,500,1,1,68581,500,1,1,68585,500,1,1,68589,500,1,1
1502,1,宠物抽奖2,0,68593,625,1,1,68597,625,1,1,68601,625,1,1,68605,625,1,1,68562,625,1,1,68566,625,1,1,68570,625,1,1,68574,625,1,1,68578,625,1,1,68582,625,1,1,68586,625,1,1,68590,625,1,1,68594,625,1,1,68598,625,1,1,68602,625,1,1,68606,625,1,1,,,1,1,,500,1,1,,500,1,1,,500,1,1
1503,1,宠物抽奖3,0,68563,834,1,1,68567,834,1,1,68571,834,1,1,68575,834,1,1,68579,834,1,1,68583,834,1,1,68587,834,1,1,68591,834,1,1,68595,834,1,1,68599,834,1,1,68603,834,1,1,68607,826,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
1504,1,宠物抽奖1,0,68501,500,1,1,68506,500,1,1,68511,500,1,1,68516,500,1,1,68521,500,1,1,68526,500,1,1,68531,500,1,1,68536,500,1,1,68541,500,1,1,68546,500,1,1,68551,500,1,1,68556,500,1,1,68531,500,1,1,68536,500,1,1,68541,500,1,1,68546,500,1,1,68551,500,1,1,68546,500,1,1,68551,500,1,1,68551,500,1,1
1505,1,宠物抽奖1,0,68562,500,1,1,68566,500,1,1,68570,500,1,1,68574,500,1,1,68578,500,1,1,68582,500,1,1,68586,500,1,1,68590,500,1,1,68594,500,1,1,68598,500,1,1,68602,500,1,1,68606,500,1,1,68598,500,1,1,68602,500,1,1,68606,500,1,1,68598,500,1,1,68602,500,1,1,68606,500,1,1,68602,500,1,1,68606,500,1,1
5001,1,牧场奖励1,0,62101,2000,1,1,62102,2000,1,1,62103,2000,1,1,62104,2000,1,1,62105,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,1,牧场奖励2,0,62101,2000,1,1,62102,2000,1,1,62103,2000,1,1,62104,2000,1,1,62105,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,1,牧场奖励3,0,62101,2000,1,1,62102,2000,1,1,62103,2000,1,1,62104,2000,1,1,62105,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004,1,牧场奖励4,1,62101,2000,1,1,62102,2000,1,1,62103,2000,1,1,62104,2000,1,1,62105,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5005,1,牧场奖励5,1,62101,2000,1,1,62102,2000,1,1,62103,2000,1,1,62104,2000,1,1,62105,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,1,宠物探险1_1,0,75015,1000,1,1,75013,2500,2,4,75014,2500,2,4,75016,1500,1,3,75027,2000,1,3,68004,500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,1,宠物探险1_2,0,62018,2000,3,5,62027,2000,3,5,62007,2000,3,5,62019,2000,3,5,62036,2000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,1,宠物探险1_3,0,68101,2000,1,1,68004,2000,1,1,62020,2000,3,5,62026,2000,3,5,68115,2000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,1,宠物探险1_4,0,62106,1000,1,1,75007,2000,1,2,75001,2000,1,2,62028,2000,3,5,75020,1500,1,1,75021,1500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,1,宠物探险1_5,0,68101,4000,1,3,68004,3000,1,3,75015,3000,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7006,1,宠物探险2_1,0,75015,1000,2,2,75013,2500,4,6,75014,2500,4,6,75016,1500,2,4,75027,1500,1,3,68004,1000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,1,宠物探险2_2,0,62018,2500,4,6,62029,2500,4,6,62030,2500,4,6,62031,2500,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7008,1,宠物探险2_3,0,68102,2000,2,2,68004,2000,2,2,62020,1000,4,6,62023,1000,4,6,68116,2000,1,1,75015,2000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,1,宠物探险2_4,0,62106,1000,2,2,75007,2000,2,3,75001,2000,2,3,62035,2000,4,6,75020,1500,1,1,75021,1500,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010,1,宠物探险2_5,0,68102,4000,2,4,68004,3000,2,4,75015,3000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7011,1,宠物探险3_1,0,75015,1000,3,3,75013,2500,6,8,75014,2500,6,8,75016,1500,3,5,75027,1500,2,3,68004,1000,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7012,1,宠物探险3_2,0,62018,2500,5,7,62003,2500,5,7,62004,2500,5,7,62002,2500,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
