界面（1创造背包，2玩法背包，3物品制作，4图鉴，5农场商人-商店，6家园商店，7神秘商人，8灶台，9牧场商人-商店，10牧场商人-饲料制作，11牧场商人-扩建牧场，12农场商人-肥料制作，13农场商人-拓展耕地，14家园厨师-商店，15家园工匠-商店；仅用于客户端）,一级分类,名称备注,一级分类名称,一级分类图标,二级分类类型（0全部+二级，1无全部有二级，2只有全部但不显示全部标签）,二级分类1ID（0或空为所有）,二级分类1名称备注,二级分类1名称,二级分类1图标,二级分类2ID（0或空为所有）,二级分类2名称备注,二级分类2名称,二级分类2图标,二级分类3ID（0或空为所有）,二级分类3名称备注,二级分类3名称,二级分类3图标,二级分类4ID（0或空为所有）,二级分类4名称备注,二级分类4名称,二级分类4图标,二级分类5ID（0或空为所有）,二级分类5名称备注,二级分类5名称,二级分类5图标
InterfaceID,FirstTab_ID,,FirstTab_Name,FirstTab_Icon,SecondTabType,SecondTab1_TypeID,,SecondTab1_Name,SecondTab1_Icon,SecondTab2_TypeID,,SecondTab2_Name,SecondTab2_Icon,SecondTab3_TypeID,,SecondTab3_Name,SecondTab3_Icon,SecondTab4_TypeID,,SecondTab4_Name,SecondTab4_Icon,SecondTab5_TypeID,,SecondTab5_Name,SecondTab5_Icon
1,1,方块建材,40001,icon11213,0,1102,方块,40006,,1103,建材,40003,,1104,装饰,40005,,1105,环境,40007,icon948,,,,
1,2,家园家具,40301,,0,1202,装饰,40005,icon948,1203,功能,40004,icon1054,1204,家居,40002,icon828,,,,,,,,
1,3,蓝图,40021,icon1064,2,2001,蓝图子类1,40022,icon1064,2002,蓝图子类2,40023,icon1064,,,,,,,,,,,,
2,1,材料,40121,icon11323,0,5003,农场-农作物,40084,icon229,5001,农场-种子,40082,icon229,5002,农场-生物蛋,40083,icon229,5005,养殖产物,40087,icon229,5007,功能道具,40122,icon229
2,2,道具,40307,icon881,0,3000,互动道具,40041,icon881,6000,食物,40101,icon229,4000,环境,40061,icon229,9000,配方,40161,icon11081,7001,资源,40121,icon229
2,3,宠物,40141,icon881,0,8001,培养道具,40142,icon12514,8002,进化道具,40143,icon12514,8003,探险道具,40144,icon12514,8004,碎片道具,40145,icon12514,8005,获取道具,40146,icon229
2,4,蓝图,40021,icon1064,2,2001,蓝图子类1,40022,icon1064,2002,蓝图子类2,40023,icon1064,,,,,,,,,,,,
2,5,建筑,40312,,0,1101,建造方块-家具,40006,icon812,1201,建造方块-建材,40002,icon828,1203,建造方块-功能,40004,icon1054,,,,,,,,
3,1,方块建材,40001,icon11213,0,1001,建造方块-家具,40002,icon828,1002,建造方块-建材,40003,icon812,,,,,,,,,,,,
3,2,资源,40121,icon11323,1,7001,材料,40126,icon11323,7002,工具,40127,icon11022,,,,,,,,,,,,
4,1,方块建材,40001,icon11213,1,1001,建造方块-家具,40002,icon828,1002,建造方块-建材,40003,icon812,1003,建造方块-功能,40004,icon1054,1004,建造方块-装饰,40005,icon948,,,,
4,2,资源,40121,icon229,1,5003,农作物,40084,,,,,,,,,,,,,,,,,
4,3,宠物,40141,icon12514,2,8006,宠物,40141,,,,,,,,,,,,,,,,,
4,4,食物,40101,icon2540,1,6001,主食,40102,icon2540,6002,点心,40103,icon2540,6003,饮料,40104,icon2540,6004,食物子类4,40105,icon2540,,,,
5,1,购买,3045,icon229,1,5001,农场-种子,40082,icon229,5004,肥料,40308,,,,,,,,,,,,,
5,2,出售,538,icon229,1,5003,农场-农作物,40084,icon229,,,,,,,,,,,,,,,,
6,1,家园家具,40301,,0,1202,装饰,40005,icon948,1203,功能,40004,icon1054,1204,家居,40002,icon828,,,,,,,,
6,2,建筑图纸,40302,,2,2001,蓝图子类1,40022,icon1064,,,,,,,,,,,,,,,,
6,3,扩展家园,40303,,,,,,,,,,,,,,,,,,,,,,
6,4,系列家具,40304,,,,,,,,,,,,,,,,,,,,,,
6,5,宠物购买,40308,,,,,,,,,,,,,,,,,,,,,,
6,6,敦煌系列,40305,,,,,,,,,,,,,,,,,,,,,,
6,7,方块建材,40001,,0,1102,方块,40006,,1103,建材,40003,,1104,装饰,40005,,1105,环境,40007,,,,,
7,1,农作物出售,40306,,2,5003,农场-农作物,,,,,,,,,,,,,,,,,,
8,1,主食,40102,icon2540,2,6001,主食,40102,icon2540,,,,,,,,,,,,,,,,
8,2,点心,40103,icon2540,2,6002,点心,40103,icon2540,,,,,,,,,,,,,,,,
8,3,饮料,40104,icon2540,2,6003,饮料,40104,icon2540,,,,,,,,,,,,,,,,
8,4,食材,40105,icon2540,2,6004,食材,40105,icon2540,,,,,,,,,,,,,,,,
9,1,购买,3045,icon13400,1,5002,牧场-生物蛋,40083,icon13400,5009,饲料,40309,,,,,,,,,,,,,
9,2,出售,538,icon13400,1,5005,牧场-生物,40086,icon13400,,,,,,,,,,,,,,,,
10,1,饲料制作,40309,,2,5009,饲料制作,40309,,,,,,,,,,,,,,,,,
11,1,扩建牧场,40311,,2,7003,扩建牧场,,,,,,,,,,,,,,,,,,
12,1,肥料制作,40308,,2,5004,肥料制作,40308,,,,,,,,,,,,,,,,,
13,1,学习耕种,40310,,2,7002,学习耕种,,,,,,,,,,,,,,,,,,
14,1,购买,3045,icon75017,1,6004,厨房-食材,40106,icon75017,,,,,,,,,,,,,,,,
14,2,出售,538,icon64074,1,6001,厨房-菜品,40107,icon64074,,,,,,,,,,,,,,,,
15,1,购买,3045,icon75020,1,7002,工匠-材料,40126,icon75020,,,,,,,,,,,,,,,,
