任务id,任务名称（stringdef,多少级显示,是否显示进度（0=不显示，1=显示）,任务类型(1:新手引导任务，2：其它）,任务难度（1普通，2困难，3挑战),任务权重（1~10）,更新版本,完成类型,完成次数,任务额外条件id,任务额外条件图标是否显示（0=不显示，1=显示）,任务额外条件参数,前置任务id,经验奖励,任务奖励类型type(2:家园币，5：道具),任务奖励1ID,奖励1数量,任务奖励类型type(2:家园币，5：道具),任务奖励2ID,奖励2数量,任务奖励类型type(2:家园币，5：道具),任务奖励3ID,奖励3数量,任务奖励类型type(2:家园币，5：道具),任务奖励4ID,奖励4数量,任务奖励类型type(2:家园币，5：道具),任务奖励5ID,奖励5数量,任务奖励类型type(2:家园币，5：道具),任务奖励6ID,奖励6数量,任务标题文本id（stringdef,任务描述文本id（stringdef,剧情ID（stringdef,npcID,npcID类型,位置坐标x,位置坐标y,位置坐标z,备注
ID,name,appearLevel,appearprocess,taskType,difficult,difficult_rate,version,completeType,completeTimes,cond_id,appear_icon,cond_num,pretask,reward_exp,reward1_type,reward1_id,reward1_num,reward2_type,reward2_id,reward2_num,reward3_type,reward3_id,reward3_num,reward4_type,reward4_id,reward4_num,reward5_type,reward5_id,reward5_num,reward6_type,reward6_id,reward6_num,TaskTitleTextID,TasDescriptionText,PlotID,npcID,npcIDtype,Location_x,Location_y,Location_z,desc
1,,1,0,1,,,,11,1,,,,0,,,,,,,,,,,,,,,,,,,,,,100618|100619|100620,100665,,,,,前置剧情
2,100613,1,1,1,,,,12,1,,,,1,,0,,,,,,,,,,,,,,,,,,100625,,100621,39206,2,-16,30,-38,农场商人对话
3,100613,1,1,1,,,,13,3,62014,,,2,,2,,100,,,,,,,,,,,,,,,,100626,100655,,,,-16,30,-38,在农场商人处买三个麦子种子
4,100613,1,1,1,,,,14,3,62014,,,3,,2,,100,,,,,,,,,,,,,,,,100627,100656,,,,-23,30,-38,去农场种三个麦子
5,100613,1,1,1,,,,15,3,62431,,,4,,2,,100,,,,,,,,,,,,,,,,100628,100657,,,,,,,收获三个麦子后出售给农场商人
6,100614,1,1,1,,,,16,1,,,,5,,5,62101,2,,,,,,,,,,,,,,,,100631,,100629|100630,39218,9,-19,30,-21,与养殖场商人对话
7,100614,1,1,1,,,,17,2,62101,,,6,,2,,100,,,,,,,,,,,,,,,,100632,100658,,,,-26,30,-22,去养殖场养两只鸡
8,100615,1,1,1,,,,18,1,,,,7,,2,,100,,,,,,,,,,,,,,,,100633,0,100637|100638,39216,7,-12,30,-44,与宠物探险队长对话
9,100615,1,1,1,,,,19,1,,,,8,,2,,3000,5,68004,3,5,64010,3,5,64022,3,5,64035,3,,,,100634,100659,,,,,,,拥有一只宠物
11,100615,1,1,1,,,,21,1,,,,9,,5,68101,1,5,68102,1,5,68103,1,5,68105,1,5,68111,1,5,68112,1,100636,100661,,,,-12,30,-44,出发去探险一次
12,100616,1,1,1,,,,22,1,,,,11,,5,64003,20,,,,,,,,,,,,,,,,100644,,100641|100642,39220,11,-10,30,-36,与家园厨师对话
13,100616,1,1,1,,,,23,1,64007,,,12,,2,,100,5,64007,5,,,,,,,,,,,,,100645,,,,,-8,28,-35,制作一个小麦面包
14,100617,1,1,1,,,,24,1,,,,13,,5,75008,10,,,,,,,,,,,,,,,,100646,,100650|100651,39219,10,-5,30,-31,与家园工匠对话
15,100617,1,1,1,,,,25,1,,,,14,,5,75013,10,5,75014,10,5,75015,10,,,,,,,,,,100647,100662,,,,-7,28,-32,制作任意一个家具
16,100617,1,1,1,,,,26,1,,,,15,,2,,100,,,,,,,,,,,,,,,,100648,100663,,,,,,,进入编辑家园模式将刚制作的家具放进去看看吧
17,100617,1,1,1,,,,27,1,,,,16,,2,,1000,,,,,,,,,,,,,,,,100649,,,,,,,,保存编辑好的家园返回家园玩法模式
18,,1,0,1,,,,28,1,,,,17,,,,,,,,,,,,,,,,,,,,,,100664,100665,,,,,结束语
101,101094,1,1,2,1,1,1.2.5,14,6,62014,1,,18,100,2,,1000,5,75027,2,,,,,,,,,,,,,101041,,,,,,,,在农场种植麦子
102,101094,31,1,2,1,1,1.5.0,14,3,62013,1,,18,50,2,,1000,,,,,,,,,,,,,,,,101042,,,,,,,,在农场种植水稻
103,101094,1,1,2,1,1,1.2.5,50,6,62431,1,,18,100,2,,1000,5,75027,3,,,,,,,,,,,,,101043,,,,,,,,在农场收获小麦
104,101094,31,1,2,1,1,1.5.0,50,6,62412,1,,18,50,2,,1000,,,,,,,,,,,,,,,,101044,,,,,,,,在农场种植并收获胡萝卜
105,101094,3,1,2,1,1,1.2.5,17,1,62103,1,,18,100,2,,1500,5,75020,5,,,,,,,,,,,,,101045,,,,,,,,在牧场养牛
106,101094,31,1,2,1,1,1.5.0,17,2,62105,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101046,,,,,,,,在牧场养猪
107,101094,1,1,2,2,1,1.2.5,52,2,,,,18,150,2,,1500,5,75025,3,,,,,,,,,,,,,101047,,,,,,,,在牧场喂养小动物
108,101094,1,1,2,2,1,1.2.5,53,1,62101,1,,18,150,2,,1500,5,63002,1,,,,,,,,,,,,,101048,,,,,,,,去牧场放下并收获鸡
109,101094,1,1,2,1,1,1.2.5,23,1,64006,1,,18,100,2,,1500,5,75012,2,,,,,,,,,,,,,101049,,,,,,,,去灶台制作米饭
110,101094,3,1,2,1,1,1.2.5,23,1,64037,1,,18,100,2,,1500,5,75021,5,,,,,,,,,,,,,101050,,,,,,,,去灶台制作西瓜汁
111,101094,3,1,2,2,1,1.2.5,23,1,75008,1,,18,150,2,,1500,5,75008,2,,,,,,,,,,,,,101051,,,,,,,,去工具台使用果树原木制作果木板
112,101094,1,1,2,1,1,1.2.5,23,1,75007,1,,18,100,2,,1500,5,75012,3,,,,,,,,,,,,,101052,,,,,,,,在工具台使用甘蔗制作纸
113,101094,1,1,2,1,1,1.2.5,26,2,,,,18,100,2,,1000,5,75015,1,,,,,,,,,,,,,101053,,,,,,,,进入编辑家园模式，摆放家具
114,101094,31,1,2,2,1,1.5.0,58,1,2,,,18,50,2,,1000,,,,,,,,,,,,,,,,101054,,,,,,,,出发去森林地图探险
115,101094,1,1,2,2,1,1.2.5,58,1,1,,,18,150,2,,1500,5,62106,1,,,,,,,,,,,,,101055,,,,,,,,出发去平原地图探险
116,101094,1,1,2,1,1,1.2.5,54,3,,,,18,100,2,,1000,5,75015,1,,,,,,,,,,,,,101056,,,,,,,,去好友的家园逛一逛
117,101094,3,1,2,1,1,1.2.5,51,1,62103,1,,18,100,2,,1500,5,75022,3,,,,,,,,,,,,,101057,,,,,,,,找力哥购买牛
118,101094,2,1,2,1,1,1.2.5,15,1,62408,1,,18,100,2,,1000,5,75001,3,,,,,,,,,,,,,101058,,,,,,,,在任意商人处卖出柑橘
119,101094,31,1,2,1,1,1.5.0,15,2,62908,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101059,,,,,,,,在力哥的商店里出售牛奶
120,101094,3,1,2,1,1,1.2.5,51,1,62008,1,,18,100,2,,1500,5,75007,1,,,,,,,,,,,,,101060,,,,,,,,找大山购买西瓜种子
121,101094,1,1,2,1,1,1.2.5,51,1,75017,1,,18,100,2,,1500,5,75004,2,,,,,,,,,,,,,101061,,,,,,,,找刘婶购买些盐
122,101094,1,0,2,2,1,1.2.5,55,300,,,,18,150,2,,1500,5,63001,1,,,,,,,,,,,,,101062,,,,,,,,在家园游玩5分钟吧
123,101094,31,0,2,1,1,1.5.0,55,600,,,,18,50,2,,1000,,,,,,,,,,,,,,,,101063,,,,,,,,在家园游玩10分钟吧
124,101094,1,1,2,3,1,1.2.5,20,1,68004,1,,18,200,2,,2000,5,68004,2,,,,,,,,,,,,,101064,,,,,,,,使用精灵糖帮助宠物培养属性
125,101094,31,1,2,3,1,1.5.0,20,2,68004,1,,18,100,2,,2000,,,,,,,,,,,,,,,,101065,,,,,,,,使用精灵糖帮助宠物培养属性
126,101094,31,1,2,2,1,1.5.0,14,2,62021,1,,18,150,2,,1500,,,,,,,,,,,,,,,,101066,,,,,,,,在农场种植果树
127,101094,31,1,2,2,1,1.5.0,14,5,62017,1,,18,100,2,,2000,,,,,,,,,,,,,,,,101067,,,,,,,,在农场种植甘蔗
128,101094,31,1,2,2,1,1.5.0,50,6,62423,1,,18,100,2,,2000,,,,,,,,,,,,,,,,101068,,,,,,,,在农场种植并收获西瓜
129,101094,31,1,2,2,1,1.5.0,50,1,62424,1,,18,150,2,,1500,,,,,,,,,,,,,,,,101069,,,,,,,,在农场种植并收获果树原木
130,101094,31,1,2,1,1,1.5.0,51,1,62105,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101070,,,,,,,,找力哥买猪
131,101094,31,1,2,1,1,1.5.0,17,4,62105,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101071,,,,,,,,在牧场养猪
132,101094,31,1,2,1,1,1.5.0,52,4,62431,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101072,,,,,,,,喂养牧场中的小动物
133,101094,31,1,2,1,1,1.5.0,53,4,62102,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101073,,,,,,,,帮厨师去牧场收获飞鸡
134,101094,3,1,2,2,1,1.2.5,23,1,64011,1,,18,150,2,,1500,5,75026,1,,,,,,,,,,,,,101074,,,,,,,,在灶台制作烤牛排
135,101094,1,1,2,3,1,1.2.5,23,1,75004,1,,18,200,2,,2000,5,75015,2,,,,,,,,,,,,,101075,,,,,,,,在工具台使用砂土制作玻璃片
136,101094,31,1,2,1,1,1.5.0,26,3,,,,18,100,2,,1000,,,,,,,,,,,,,,,,101076,,,,,,,,进入编辑家园模式，摆放家具
137,101094,31,1,2,2,1,1.5.0,58,1,3,,,18,100,2,,1000,,,,,,,,,,,,,,,,101077,,,,,,,,出发去山丘地图探险
138,101094,31,1,2,1,1,1.5.0,54,3,,,,18,100,2,,1000,,,,,,,,,,,,,,,,101078,,,,,,,,去好友的家园逛一逛
139,101094,31,1,2,1,1,1.5.0,51,10,62008,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101079,,,,,,,,找大山购买西瓜种子
140,101094,31,1,2,1,1,1.5.0,51,8,75017,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101080,,,,,,,,力哥拜托你帮他购买些盐
141,101094,31,0,2,1,1,1.5.0,55,900,,,,18,100,2,,1000,,,,,,,,,,,,,,,,101081,,,,,,,,在家园游玩15分钟
142,101094,31,1,2,2,1,1.5.0,15,4,62902,1,,18,100,2,,1000,,,,,,,,,,,,,,,,101083,,,,,,,,出售生牛排给力哥
143,101094,1,1,2,3,1,1.2.5,56,1,,,,18,200,2,,2000,5,68101,2,,,,,,,,,,,,,101084,,,,,,,,收养一只新的宠物伙伴吧！
144,101094,31,1,2,1,1,1.5.0,57,1,,,,18,200,2,,3000,,,,,,,,,,,,,,,,101086,,,,,,,,在家园商店购买一件家具
145,101094,31,1,2,3,1,1.5.0,23,1,64048,1,,18,100,2,,3000,,,,,,,,,,,,,,,,101090,,,,,,,,大山想喝咖啡，帮他在灶台制作一杯吧
146,101094,31,1,2,3,1,1.5.0,25,1,,,,18,200,2,,1000,,,,,,,,,,,,,,,,101091,,,,,,,,制作任意两件家居/建材
147,101094,31,1,2,1,1,1.5.0,13,3,62012,1,,18,300,,,,,,,,,,,,,,,,,,,110171,,,,,,,,购买3个桃子树苗
148,101094,31,1,2,2,1,1.5.0,13,5,62042,1,,18,300,,,,,,,,,,,,,,,,,,,110172,,,,,,,,购买5个甜菜种子
149,101094,31,1,2,3,1,1.5.0,13,10,62043,1,,18,300,,,,,,,,,,,,,,,,,,,110173,,,,,,,,购买10个西红柿种子
150,101094,31,1,2,1,1,1.5.0,14,2,62012,1,,18,300,,,,,,,,,,,,,,,,,,,110174,,,,,,,,种植2个桃子树苗
151,101094,31,1,2,2,1,1.5.0,14,1,62042,1,,18,300,,,,,,,,,,,,,,,,,,,110175,,,,,,,,种植5个甜菜种子
152,101094,31,1,2,3,1,1.5.0,14,1,62043,1,,18,300,,,,,,,,,,,,,,,,,,,110176,,,,,,,,种植10个西红柿种子
153,101094,31,1,2,1,1,1.5.0,15,1,62409,1,,18,300,,,,,,,,,,,,,,,,,,,110177,,,,,,,,出售3个桃子
154,101094,31,1,2,2,1,1.5.0,15,1,62445,1,,18,300,,,,,,,,,,,,,,,,,,,110178,,,,,,,,出售80个高丹草
155,101094,31,1,2,3,1,1.5.0,15,1,62908,1,,18,300,,,,,,,,,,,,,,,,,,,110179,,,,,,,,出售10个牛奶
156,101094,31,1,2,1,1,1.5.0,17,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110180,,,,,,,,养两头牛
157,101094,31,1,2,2,1,1.5.0,17,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110181,,,,,,,,养4头猪
158,101094,31,1,2,3,1,1.5.0,17,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110182,,,,,,,,养12只鸡
159,101094,31,1,2,1,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110183,,,,,,,,给任一宠物培养属性1次
160,101094,31,1,2,3,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110184,,,,,,,,给任一宠物培养属性3次
161,101094,31,1,2,1,1,1.5.0,21,1,1,,,18,300,,,,,,,,,,,,,,,,,,,110185,,,,,,,,出发去平原探险
162,101094,31,1,2,2,1,1.5.0,21,1,2,,,18,300,,,,,,,,,,,,,,,,,,,110186,,,,,,,,出发去森林探险
163,101094,31,1,2,3,1,1.5.0,21,1,3,,,18,300,,,,,,,,,,,,,,,,,,,110187,,,,,,,,出发去山丘探险
164,101094,31,1,2,1,1,1.5.0,23,1,64007,1,,18,300,,,,,,,,,,,,,,,,,,,110188,,,,,,,,在灶台制作小麦面包
165,101094,31,1,2,2,1,1.5.0,23,1,64031,1,,18,300,,,,,,,,,,,,,,,,,,,110189,,,,,,,,在灶台制作一个奶酪
166,101094,31,1,2,3,1,1.5.0,23,1,64048,1,,18,300,,,,,,,,,,,,,,,,,,,110190,,,,,,,,在灶台制作一杯咖啡
167,101094,31,1,2,1,1,1.5.0,25,1,75008,1,,18,300,,,,,,,,,,,,,,,,,,,110191,,,,,,,,在制作台制作一个果木板
168,101094,31,1,2,2,1,1.5.0,25,1,75012,1,,18,300,,,,,,,,,,,,,,,,,,,110192,,,,,,,,在制作台制作3个小木棍
169,101094,31,1,2,3,1,1.5.0,25,1,75005,1,,18,300,,,,,,,,,,,,,,,,,,,110193,,,,,,,,在制作台制作一个粗制石砖
170,101094,31,1,2,1,1,1.5.0,50,1,62409,1,,18,300,,,,,,,,,,,,,,,,,,,110194,,,,,,,,收获4个桃子
171,101094,31,1,2,2,1,1.5.0,50,1,62042,1,,18,300,,,,,,,,,,,,,,,,,,,110195,,,,,,,,收获90个甜菜
172,101094,31,1,2,3,1,1.5.0,50,1,62044,1,,18,300,,,,,,,,,,,,,,,,,,,110196,,,,,,,,收获200个高丹草
173,101094,31,1,2,1,1,1.5.0,51,1,75017,1,,18,300,,,,,,,,,,,,,,,,,,,110197,,,,,,,,购买3个食盐
174,101094,31,1,2,2,1,1.5.0,51,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110198,,,,,,,,购买4头牛
175,101094,31,1,2,3,1,1.5.0,51,1,64244,1,,18,300,,,,,,,,,,,,,,,,,,,110199,,,,,,,,购买20瓶能量水
176,101094,31,1,2,1,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110200,,,,,,,,喂养牧场中的小动物4次
177,101094,31,1,2,2,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110201,,,,,,,,喂养牧场中的小动物8次
178,101094,31,1,2,3,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110202,,,,,,,,喂养牧场中的小动物12次
179,101094,31,1,2,1,1,1.5.0,53,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110203,,,,,,,,收获2个生鸡腿
180,101094,31,1,2,2,1,1.5.0,53,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110204,,,,,,,,收获两块生猪肉
181,101094,31,1,2,1,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110205,,,,,,,,去好友家园逛3次
182,101094,31,1,2,2,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110206,,,,,,,,去好友家园逛5次
183,101094,31,0,2,1,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110207,,,,,,,,在家园游玩6分钟
184,101094,31,0,2,2,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110208,,,,,,,,在家园游玩15分钟
185,101094,31,0,2,3,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110209,,,,,,,,在家园游玩30分钟
186,101094,31,1,2,3,1,1.5.0,56,1,,,,18,300,,,,,,,,,,,,,,,,,,,110210,,,,,,,,收养一只新的宠物伙伴吧！
187,101094,31,1,2,1,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110211,,,,,,,,在家园商店购买任意一个方块建材
