交易ID,商人类型（0家园四个商人的商店，1神秘商人，2家园商店家园家具，3家园商店建筑图纸，4家园建造方块）,交易类型（0购买，1出售，相对玩家来说的）,分类（填道具的类型，跟HomeTabDef的SecondTab1_TypeID系列字段对应）,道具id,道具名称（仅备注用）,价格类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点，5道具）,花费道具ID,价格,数量限制,随机权重,开启版本号（例如：0.49.0）
TradeID,TraderType,TradeType,Type,ItemID,Name,CostType,CostItemID,CostNum,NumLimit,Odds,OpenVersion
1,0,0,5001,62014,麦子种子,0,,,,100,0.52.0
2,0,0,5001,62013,水稻种子,2,,115,,100,0.52.0
3,0,0,5001,62015,土豆种子,2,,115,,100,0.52.0
4,0,0,5001,62016,南瓜种子,2,,115,,100,0.52.0
5,0,0,5001,62001,向阳花种子,2,,5,,100,0.52.0
6,0,0,5001,62005,小白菊种子,2,,115,,100,0.52.0
7,0,0,5001,62006,茶树种子,2,,5,,100,0.52.0
8,0,0,5001,62011,柑橘种子,2,,115,,100,0.52.0
9,0,0,5001,62012,桃子种子,2,,115,,100,0.52.0
10,0,0,5001,62008,西瓜种子,2,,115,,100,0.52.0
11,0,0,5001,62009,芒果种子,2,,115,,100,0.52.0
12,0,0,5001,62010,梨子种子,2,,115,,100,0.52.0
13,0,0,5001,62021,果树种子,2,,215,,100,0.52.0
14,0,0,5002,62101,鸡,2,,25,,100,0.52.0
15,0,0,5002,62102,飞鸡,2,,25,,100,0.52.0
16,0,0,5002,62103,牛,2,,540,,100,0.52.0
17,0,0,5002,62104,羊,2,,540,,100,0.52.0
18,0,0,5002,62105,墩墩,2,,285,,100,0.52.0
19,0,1,5003,62401,咖啡豆,2,,172,,100,0.52.0
20,0,1,5003,62402,球球豆,2,,172,,100,0.52.0
21,0,1,5003,62403,氧气果,2,,172,,100,0.52.0
22,0,1,5003,62404,茶叶,2,,8,,100,0.52.0
23,0,1,5003,62405,香蕉,2,,172,,100,0.52.0
24,0,1,5003,62406,芒果,2,,172,,100,0.52.0
25,0,1,5003,62407,梨子,2,,172,,100,0.52.0
26,0,1,5003,62408,柑橘,2,,172,,100,0.52.0
27,0,1,5003,62409,桃子,2,,172,,100,0.52.0
28,0,1,5003,62410,棉花,2,,172,,100,0.52.0
29,0,1,5003,62411,辣椒,2,,172,,100,0.52.0
30,0,1,5003,62412,胡萝卜,2,,8,,100,0.52.0
31,0,1,5003,62413,向阳花,2,,8,,100,0.52.0
32,0,1,5003,62414,红色龙舌兰,2,,324,,100,0.52.0
33,0,1,5003,62415,橙色龙舌兰,2,,324,,100,0.52.0
34,0,1,5003,62416,灰色龙舌兰,2,,324,,100,0.52.0
