iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）"
ID,,RideHeight,UIScale,ShopUIScale,MinHP,MaxHP,MinLandSpeed,MaxLandSpeed,MinFlySpeed,MaxFlySpeed,MinSwimSpeed,MaxSwimSpeed,MinJumpHeight,MaxJumpHeight,EggBlock,EggGenTicks,ChangeFPS,SaddleModel,BornSaddle,BornArmor,ArmorSlotProb,BornSkill1,BornSkill2,BornSkill3,HorseType,RidingBindID,PlayerCenterPosition
3245,虚空团子,290,0.9,,250,300,150,150,,,,,70,80,,,,,11810,,,,,,2,,
3247,虚空角鹿,190,0.7,,70,100,300,300,,,,,50,50,,,,1,11810,,,,,,2,,
3262,虚空沃沃兽,190,0.7,,70,100,300,300,,,,,50,50,,,,1,11810,,,,,,2,,
3405,冰熊,290,0.7,,150,225,500,700,2horse456,,,,60,80,,,,1,11810,,1,,,,2,,
3406,迅猛龙,290,0.7,,100,150,550,750,,,,,80,120,,,,1,11810,,1,,,,2,,
3407,狼,290,0.9,,80,80,300,300,,,,,70,80,,,,3,11810,,,,,,2,,
3410,鸵鸟,290,0.7,,75,100,600,800,,,,,60,100,,,,1,11810,,1,,,,2,,
3415,团子,290,0.9,,250,300,150,150,,,,,70,80,,,,,11810,,,,,,2,,
3422,飞鸡,290,0.9,,100,150,300,300,,,,,60,80,,,,1,11810,,1,10,,,2,,
3430,普通化石龙,290,0.6,,200,200,700,900,,,,,80,120,,,,1,11810,,1,,,,3,,
3431,化石龙,290,0.6,,200,200,1000,1000,,,,,120,120,950,108000,,2,12271,,100,2,,,3,,
3432,超级化石龙,290,0.6,,200,200,1100,1100,,,,,130,130,950,72000,,3,12271,12272,100,2,3,,3,,
3433,小飞鼠,290,0.7,,200,200,500,700,,,,,120,150,,,,1,11810,,1,,,,3,,"-300, 20, -150"
3434,敏捷小飞鼠,290,0.7,,200,200,800,800,,,,,180,180,951,108000,,2,12273,,100,4,,,3,,"-300, 20, -150"
3435,机灵小飞鼠,290,0.7,,200,200,900,900,1200,1200,,,200,200,951,72000,,3,12273,12274,100,4,5,,3,,"-300, 20, -150"
3436,普通麒麟,290,0.7,,200,200,700,900,,,,,80,120,,,,1,11810,,1,,,,3,,
3437,麒麟,290,0.7,,200,200,1000,1000,,,,,120,120,952,108000,,2,12273,,100,6,,,3,,
3438,祥瑞麒麟,290,0.7,,200,200,1100,1100,,,,,130,130,952,72000,,3,12273,12274,100,6,7,,3,,
3439,陆行鸟,290,0.55,,200,200,700,900,,,,,80,120,,,,1,11810,,1,,,,3,,
