方块ID,孵化时间(游戏刻),加速价格(一天),需要地形,孵化坐骑1,概率1,孵化坐骑2,概率2,孵化坐骑3,概率3,孵化坐骑4,概率4,孵化坐骑5,概率5
ID,BroodAge,SpeedPrice,Terrain,Horse1,HorseProb1,Horse2,HorseProb2,Horse3,HorseProb3,Horse4,HorseProb4,Horse5,HorseProb5
950,108000,10,,3430,1000,,,,,,,,
951,108000,10,,3433,1000,,,,,,,,
952,108000,10,,3436,1000,,,,,,,,
953,108000,10,,3439,1000,,,,,,,,
954,108000,10,,3442,1000,,,,,,,,
955,108000,10,,3445,1000,,,,,,,,
956,108000,10,,3454,1000,,,,,,,,
957,108000,10,,3457,1000,,,,,,,,
958,108000,10,,3460,1000,,,,,,,,
1800,108000,10,,3469,1000,,,,,,,,
1801,108000,10,,3478,1000,,,,,,,,
1802,108000,10,,3483,1000,,,,,,,,
1803,108000,10,,3490,1000,,,,,,,,
1804,108000,10,,3495,1000,,,,,,,,
1805,108000,10,,4500,1000,,,,,,,,
1873,108000,10,,4623,1000,,,,,,,,
