图标ID,分类（1=状态图标bufficons  2=技能图标itemskillicons  3=行为图标aiicons  4=表情图标animact）,文件路径,状态编辑开放（1=开放  不填不开放）
ID,Classification,FilePath,BuffEditing
1001,1,addhpbuff_add,1
1002,1,armor_add,1
1003,1,armor_reduce,1
1004,1,attack_all_add,1
1005,1,attack_all_reduce,1
1006,1,attack_animal_add,1
1007,1,attack_animal_reduce,1
1008,1,attack_explode_add,1
1009,1,attack_explode_reduce,1
1010,1,attack_fire_add,1
1011,1,attack_fire_reduce,1
1012,1,attack_player_add,1
1013,1,attack_player_reduce,1
1014,1,attack_poison_add,1
1015,1,attack_poison_reduce,1
1016,1,attack_punch_add,1
1017,1,attack_punch_reduce,1
1018,1,attack_range_add,1
1019,1,attack_range_reduce,1
1020,1,attack_undead_add,1
1021,1,attack_undead_reduce,1
1022,1,attack_wither_add,1
1023,1,attack_wither_reduce,1
1024,1,ball_soccer_1,1
1025,1,ball_soccer_2,1
1026,1,basketball_dribble,1
1027,1,basketball_nonedribble,1
1028,1,clasp,1
1029,1,CRITICAL_HIT_1,1
1030,1,CRITICAL_HIT_2,1
1031,1,damage_absorb,1
1032,1,damagebuff_fire,1
1033,1,damagebuff_hunger,1
1034,1,damagebuff_poison,1
1035,1,damagebuff_wither,1
1036,1,damaged_all_add,1
1037,1,damaged_all_reduce,1
1038,1,damaged_explode_add,1
1039,1,damaged_explode_reduce,1
1040,1,DAMAGED_FALLING_ADD,1
1041,1,DAMAGED_FALLING_REDUCE,1
1042,1,damaged_fire_add,1
1043,1,damaged_fire_reduce,1
1044,1,damaged_poison_add,1
1045,1,damaged_poison_reduce,1
1046,1,damaged_punch_add,1
1047,1,damaged_punch_reduce,1
1048,1,damaged_range_add,1
1049,1,damaged_range_reduce,1
1050,1,damaged_wither_reduce,1
1051,1,dameged_wither_add,1
1052,1,dig_speed_add,1
1053,1,dig_speed_reduce,1
1054,1,fluorescence,1
1055,1,freeze,1
1056,1,Hamster_Ball,1
1057,1,jump_speed_add,1
1058,1,knock,1
1059,1,knock_resist,1
1060,1,luck_dig,1
1061,1,luck_killmob,1
1062,1,mask_black,
1063,1,MODEL_ADD,1
1064,1,model_ghost,1
1065,1,MODEL_REDUCE,1
1066,1,more,
1067,1,move_speed_add,1
1068,1,move_speed_reduce,1
1069,1,NO-OXY,1
1070,1,NO-OXY-Dying,1
1071,1,OXY-satable,1
1072,1,OXY-unsatable,1
1073,1,rotten_flesh,
1074,1,swim_speed_add,1
1075,1,swim_speed_reduce,1
1076,1,unknown,
1077,1,view_bright,1
1078,1,view_dim,1
1079,1,damagebuff_bleed,1
1080,1,hot_comfort,1
1081,1,hot_Uncomfortable,1
1082,1,sta_breakthrough,1
1083,1,sta_growthrate,1
1084,1,sta_perc_breakthrough,1
1085,1,sta_recovery,1
1086,1,sta_reducerate,1
1087,1,hp_recoveryrate,1
1088,1,exp_gainrate,1
1089,1,fast,1
1090,1,run_no,1
1091,1,stomach,1
1092,1,tired,1
1093,1,produce,1
1094,1,produce_continue,1
1095,1,cold,1
1096,1,strength_full,1
1097,1,nap,1
1098,1,cd,1
1099,1,blessing_Initial,1
1100,1,power_of_Hikari,1
1101,1,balala,1
1102,1,dust_storm,1
1103,1,resist_sandstorm,1
1104,1,viral_immunity,1
1105,1,bleed_immunity,1
1106,1,vigilance,1
1107,1,rank_poison,1
1108,1,neural_paralysis,1
1109,1,numbly,1
1110,1,defend,1
1111,1,physical_overdraft,1
1112,1,getupgas,1
1113,1,feet_quick,1
1114,1,absorbed,1
1115,1,sharpeyes,1
1116,1,stiffneck,1
1117,1,entwine_grass,1
1118,1,go_fish,1
1119,1,erupt_vice,1
1120,1,sea_spirit_guard,1
1121,1,poseidon_shelter,1
1122,1,riding_sea _horse,1
1123,1,tou_break,1
1124,1,guideAtk_poison,1
1125,1,buff_appetite,1
1126,1,void_arrival,1
2001,2,100,1
2002,2,101,1
2003,2,102,1
2004,2,103,1
2005,2,104,1
2006,2,105,1
2007,2,106,1
3001,3,3001,1
3002,3,3002,1
3003,3,3003,1
3004,3,3004,1
3005,3,3005,1
3006,3,3006,1
3007,3,3007,1
3008,3,3008,1
3009,3,3009,1
3010,3,3010,1
3011,3,3011,1
3012,3,3012,1
3013,3,3013,1
3014,3,3014,1
3015,3,3015,1
3016,3,3016,1
3017,3,3017,1
3018,3,3018,1
3019,3,3019,1
3020,3,3020,1
3021,3,3021,1
4001,4,icon100102,1
4002,4,icon100103,1
4003,4,icon100130,1
4004,4,icon100131,1
4005,4,icon100133,1
4006,4,icon100140,1
4007,4,icon100155,1
4008,4,icon100157,1
4009,4,icon100158,1
4010,4,icon100159,1
4011,4,icon100162,1
4012,4,icon100163,1
4013,4,icon100299,1
4014,1,AddModel,1
4015,1,BuildSnowman,1
4016,1,ChangeTemp,1
4017,1,DeepFreeze,1
4018,1,EndAttribute,1
4019,1,EndEffect,1
4020,1,HurtEnd,1
4021,1,IceDef,1
4022,1,IceSlow,1
4023,1,melt,1
4024,1,ScreenDecal,1
4025,1,StopAction,1
4026,1,cold1,1
4027,1,cold2,1
4028,1,ColdDef,1
4029,1,freeze,1
4030,1,hot1,1
4031,1,hot2,1
4032,1,HotDef,1
4033,1,ib_1,1
4034,1,ib_2,1
