功能操作ID,备注(自己看),UI名称（IDString）,分类(暂时没用上),UI描述（IDString）,图标,技能类型[0=点击目标，1=无目标，2=不主动释放],键位[0=左键/屏幕，1=右键/屏幕，2=右键/使用按钮],蓄力模式[0=不蓄力，1=蓄力中途可以释放，2=蓄满才能释放，3=蓄满自动释放],蓄力时间[单位0.1秒],蓄力移动速度[百分比],操作间隔[0.01秒]-暂时用不上,冷却时间[单位1秒],使用距离[单位厘米],目标类型[0=生物，1=方块，2=物理对象],目标种类[当目标类型为生物，-1=所有生物，0=怪物，1=动物，2=稀有动物，3=水生物，4=移动工具，5=村民，6=boss，7=Npc，8=飞行生物，9=除怪物以外的所有生物（包括玩家）][当目标类型为方块，0=所有方块，1=木头，2=石头，3=泥土，5=树叶羊毛],精确目标[ID],目标队伍[0=不限队伍，1=同队伍，2=不同队伍],特殊类型标记（暂时没用到）,"目标范围类型[0=单体，1=射线，2=立方体,3=圆柱体]",目标范围类型参数1[射线的长度 or 立体的长 or 圆柱体半径]（100=1格）,目标范围类型参数2[射线的半径 or 立体的宽 or 圆柱体角度]（100=1格）,目标范围类型参数3[立体的高 or 圆柱体的高]（100=1格）,第一人称启动动作,第一人称蓄力动作,第一人称释放动作,第三人称启动动作,第三人称蓄力动作,第三人称释放动作,启动音效,蓄力音效,释放音效,启动特效,蓄力特效,释放特效,目标地点特效(暂时没用上),目标特效,消耗[数组]（type：0=耐久，1=饥饿，2=弹药，3=体力）,"效果[数组，1=方块操作（Type：5：替换方块为指定方块），2=攻击，3=加状态，4=击飞，5=召唤，6=治疗，7=发射投掷物，8=图纸，9=变蛋，10=接剧情，11-13都被占用，14=加状态（自身），15=引雷，16=巴啦啦变身，17=清除某类型状态，18=给某类型生物加状态,19=Actor,20=架盾,21=穿刺投掷,22=削韧]"
OperationID,Reserve,Name,Class,Desc,Icon,SkillType,Key,ChargeType,ChargeTime,ChargeMove,ControlInterval,Cooldown,Distance,TargetType,TargetClass,TargetID,TargetCamp,SpecialTarget,RangeType,RangeVal1,RangeVal2,RangeVal3,FpsStartAct,FpsChargeAct,FpsAttackAct,TpsStartAct,TpsChargeAct,TpsAttackAct,StartSound,ChargeSound,AttackSound,StartEffect,ChargeEffect,AttackEffect,RangeEffect,EffectTarget,Costs,Functions
100,破坏方块,6500,,6501,100,1,2,0,1.5,0.7,,,500,1,0,,,,1,1000,300,,101130,101131,101132,,100148,100147,,item.12004.charge3,item.12004.charge4,,item_12004_3,,item_12253_2,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":1,""ActionType"":0,""DropOut"":1,""BlockID"":200}]"
107,放置方块,6500,,6501,100,1,2,2,1.5,0.7,,,500,1,0,,,,1,1000,300,,101130,101131,101132,,100148,100147,,item.12004.charge3,item.12004.charge4,,item_12004_3,,item_12253_2,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":200}]"
108,替换方块,6500,,6501,100,1,2,2,1.5,0.7,,,500,1,0,,,,1,1000,300,,101130,101131,101132,,100148,100147,,item.12004.charge3,item.12004.charge4,,item_12004_3,,item_12253_2,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":1,""ActionType"":2,""DropOut"":1,""BlockID"":200}]"
101,攻击,6500,,6501,101,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,,101133,101134,,100150,100151,,item.12004.charge3,item.12005.charge4,,item_12004_3,item_12005_Y,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":20},{""function_id"":4,""RepelPower"":300,""BlowUpPower"":200}]"
102,击飞,6500,,6501,102,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,,101133,101134,,100150,100151,,item.12004.charge3,item.12005.charge4,,item_12004_3,item_12005_Y,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":4,""RepelPower"":300,""BlowUpPower"":200}]"
103,召唤,6500,,6501,103,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":5,""MobID"":3407,""CallNum"":5,""IsFollow"":1,""Duration"":10}]"
104,加状态,6500,,6501,104,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,item_12004_4,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":3,""BuffID"":101005,""Duration"":5,""Odds"":100},{""function_id"":2,""AttackType"":1,""AttackVal"":0}]"
105,发射投掷物,6500,,6501,105,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,,,100149,100143,,item.12004.charge3,misc.throw,,item_12004_3,,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":7,""ProjectileID"":12051,""SpeedAdd"":0}]"
106,治疗,6500,,6501,106,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,BUFF_HP_R,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":6,""TreatType"":0,""TreatVal"":100}]"
