资源ID,资源分类（0=生物，1=角色，2=装扮，3=方块，4=道具）,对象ID,中文名称,资源路径,图片缩略图,后缀,下载模式,海外LITE（字段名：LITE+渠道号，目前的数字是随便填的，0=保留资源，1=去除资源）,教育版LITE（同左）,盒子版LITE（同左）
ResourceID,ResourceType,TargetID,备注用,ResourcePath,Encode,Ext,DownloadMode,LITE375,LITE501,LITE406
1,4,,,res/entity,2,.png|.ktx|.omod,1,,,
1,5,,,res/entity/player/player12,,.omod,1,,,
1,5,,,res/entity/player/playerAR,,.omod,1,,,
1,5,,,res/entity/player/share,,.omod,1,,,
1,3,100,长草土块,,2,,1,1,1,1
1,3,101,土块,,2,,1,1,1,1
1,3,102,耕地,,2,,1,1,1,1
1,3,103,土坑,,2,,1,1,1,1
1,3,104,岩石,,2,,1,1,1,1
1,3,105,青石,,2,,1,1,1,1
1,3,106,细黄沙,,2,,1,1,1,1
1,3,107,碎石堆,,2,,1,1,1,1
1,3,108,素纹黄砖,,2,,1,1,1,1
1,3,109,砂土,,2,,1,1,1,1
1,3,110,散落的石块,,2,,1,1,1,1
1,3,111,游戏版本过低,,2,,1,1,1,1
1,3,112,黑晶石,,2,,1,1,1,1
1,3,113,脆冰,,2,,1,1,1,1
1,3,114,淤泥,,2,,1,1,1,1
1,3,115,积雪,,2,,1,1,1,1
1,3,116,萌眼星石块,,2,,1,1,1,1
1,3,117,萌眼星草块,,2,,1,1,1,1
1,3,118,萌眼星云团,,2,,1,1,1,1
1,3,119,旱土,,2,,1,1,1,1
1,3,120,游戏版本过低,,2,,1,1,1,1
1,3,121,游戏版本过低,,2,,1,1,1,1
1,3,122,雪堆,,2,,1,1,1,1
1,3,123,自然冰,,2,,1,1,1,1
1,3,124,硫黄岩,,2,,1,1,1,1
1,3,125,灼沙,,2,,1,1,1,1
1,3,126,魔古岩,,2,,1,1,1,1
1,3,127,泡沫块,,2,,1,1,1,1
1,3,128,红沙,,2,,1,1,1,1
1,3,129,厚实的雪,,2,,1,1,1,1
1,3,130,厚实的雪堆,,2,,1,1,1,1
1,3,131,坚固的冰,,2,,1,1,1,1
1,3,132,硫黄晶砂,,2,,1,1,1,1
1,3,133,空的蜂巢,,2,,1,1,1,1
1,3,134,满的蜂巢,,2,,1,1,1,1
1,3,135,神秘图腾-大地,,2,,1,1,1,1
1,3,136,神秘图腾-天空,,2,,1,1,1,1
1,3,137,萌眼星土坑,,2,,1,1,1,1
1,3,138,污染方块,,2,,1,1,1,1
1,3,139,BOSS战使用方块,,2,,1,1,1,1
1,3,140,生命石座,,2,,1,1,1,1
1,3,141,勇气石座,,2,,1,1,1,1
1,3,142,智慧石座,,2,,1,1,1,1
1,3,143,破损的祭台,,2,,1,1,1,1
1,3,144,红薇蝶玻璃瓶,,2,,1,1,1,1
