索引,矿编号,出现地图/0迷拉星 1烈焰星 2萌眼星,名字,最小高度,最大高度,最小高度Falloff,最大高度Falloff,产生方式,（无效字段）出现概率（万分之),矿脉最大矿石数量(最小填3）,矿脉生成次数,替换方块,"生态生成（生态名+英文逗号分隔,MAX_BIOME_TYPE：全部生态）"
Index,ID,MapID,Name,MinHeight,MaxHeight,MinFalloff,MaxFalloff,GenMethod,Odds,MaxNum,Lode,ReplaceBlock,Genbiome
1,598,0,掩埋的机械,31,60,3,2,0,15,6,6,104,MAX_BIOME_TYPE
2,452,0,钛合金矿（生态1）,0,15,3,2,0,8,4,8,104,"OCEAN,PLAINS,DESERT,EXTREMEHILLS,FOREST,TAIGA,REDSOIL,RIVER,REDSOIL_SHORE,BEACH,DESERT_HILLS,FOREST_HILLS,TAIGA_HILLS,EXTREMEHILLS_EDGE,JUNGLE_HILLS,BASIN,BASIN_EDGE,BASIN_BAMBOO,BASIN_PEACH"
3,452,0,钛合金矿（生态2）,0,15,3,2,0,8,4,8,104,"SWAMPLAND,ICE_PLAINS,FROZEN_OCEAN,FROZEN_RIVER,ICE_MOUNTAINS,RAINFOREST"
4,452,0,钛合金矿（火山）,31,55,0,0,0,8,3,5,104,"VOLCANO,VOLCANO_PLAIN,VOLCANO_MOUNTAIN,VOLCANO_RIVER,VOLCANO_CORE"
5,453,0,攻击符文矿石（空岛）,100,120,0,0,0,32,3,8,100,"BIOME_AIR_PLAINS_H,BIOME_AIR_PLAINS"
6,452,0,钛合金矿（空岛）,100,120,0,0,0,8,4,7,100,"BIOME_AIR_PLAINS_H,BIOME_AIR_PLAINS"
7,403,0,缠丝玛瑙原石,0,31,3,16,1,8,4,7,104,MAX_BIOME_TYPE
8,401,0,秘银矿,0,30,4,2,0,48,4,10,104,MAX_BIOME_TYPE
9,401,0,秘银矿,31,60,4,2,0,48,3,6,104,MAX_BIOME_TYPE
10,406,0,琥珀原石,0,41,5,5,0,8,3,8,104,MAX_BIOME_TYPE
11,453,0,攻击符文矿石（生态1）,16,45,2,3,0,32,3,7,104,MAX_BIOME_TYPE
12,454,0,防御符文矿石（生态1）,16,45,2,3,0,32,3,10,104,MAX_BIOME_TYPE
13,455,0,效率符文矿石（生态1）,16,45,2,3,0,32,3,7,104,MAX_BIOME_TYPE
14,451,0,铜合金矿（地表）,61,90,0,0,0,72,3,6,100,MAX_BIOME_TYPE
15,451,0,铜合金矿,21,60,3,2,0,72,6,12,104,MAX_BIOME_TYPE
16,402,0,凝能矿（地表）,60,81,0,0,0,100,4,4,100,MAX_BIOME_TYPE
17,402,0,凝能矿,0,127,5,20,0,100,12,22,104,MAX_BIOME_TYPE
18,101,0,土块,0,127,10,32,0,100,33,10,104,MAX_BIOME_TYPE
19,107,0,碎石堆（旧版沙砾）,0,127,10,32,0,100,33,8,104,MAX_BIOME_TYPE
20,448,0,石油块,40,50,3,2,0,100,3,6,106,MAX_BIOME_TYPE
21,598,1,掩埋的机械,31,80,3,2,0,20,3,12,124,MAX_BIOME_TYPE
22,400,1,炽炎矿,0,80,4,0,0,15,9,2,124,MAX_BIOME_TYPE
23,405,1,星能矿,5,80,4,2,0,100,9,14,124,MAX_BIOME_TYPE
24,536,1,曙光石块,32,127,5,5,0,20,9,10,124,MAX_BIOME_TYPE
25,407,1,云母矿,0,127,5,5,0,30,12,20,124,MAX_BIOME_TYPE
26,6,1,动态岩浆,0,127,5,5,0,8,4,1,124,MAX_BIOME_TYPE
27,598,2,掩埋的机械,31,120,0,0,0,100,4,10,116,MAX_BIOME_TYPE
28,404,2,钨金矿,0,30,3,2,0,8,3,5,116,MAX_BIOME_TYPE
