id,特效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=烟雾 2=爆炸 3=光效 4=粒子 5=火焰 6=环境 7=提示）,特效类型（1=ent类型 2=emo类型 3=两者都有）,播放模式（1=循环播放，2=播放后结束，3=播放后停留）,播放时长（单位秒，对非循环生效）(弃用),特效路径,音效名称,图标名字
ID,Name,,AtkEffectTypeSID,TriggerType,Type,TypesSpecialEffects,PlayMode,Time,EffectName,SoundName,IconName
1000,紫焰上升1(循环),,0,1,5,3,1,10,408lan,,particles03
1001,绿色瘴气(循环),,0,1,1,3,1,10,408lv,,particles01
1002,紫焰上升2(循环),,0,1,5,3,1,10,409lv,,particles03
1003,紫焰上升3(循环),,0,1,5,3,1,10,449huang,,particles03
1004,紫焰上升4(循环),,0,1,5,3,1,10,450zi,,particles03
1005,上升光环,,0,1,3,3,2,10,1001,,particles02
1006,复活,,0,1,3,3,2,10,1002,,particles02
1007,爆炸1,,0,1,2,3,2,10,1003,,particles04
1008,爱心,,0,1,3,3,2,10,1004,,particles02
1009,爆炸2,,0,1,2,3,2,10,1005,,particles04
1010,火焰(循环),,0,1,5,3,1,10,1017,,particles03
1011,烟尘火花(循环),,0,1,5,3,1,10,1018,,particles03
1012,喷射火焰1,,0,1,5,3,2,10,1019,,particles03
1013,灰色烟雾(循环),,0,1,1,3,1,10,1020,,particles01
1014,水花,,0,1,4,3,2,10,1024,,particles08
1015,泡泡(循环),,0,1,4,3,1,10,1025,,particles08
1016,光点1,,0,1,4,3,2,10,1026,,particles08
1017,灼烧1（循环),,0,1,5,3,1,10,1028,,particles03
1018,大火团（循环）,,0,1,5,3,1,10,1029,,particles03
1019,蓝色粒子（循环）,,0,1,4,3,1,10,1030,,particles08
1020,闪烁（循环）,,0,1,4,3,1,10,1031,,particles08
1021,曝光,,0,1,2,3,2,10,1031_2,,particles04
1022,黑洞（循环）,,0,1,4,3,1,10,1032,,particles08
1023,金色光芒（循环）,,0,1,3,3,1,10,1034,,particles02
1024,目标（循环）,,0,1,7,3,1,10,1027,,particles05
1025,长按（循环）,ui特效,0,1,7,3,1,10,1035,,particles05
1026,绿色粒子（循环）,,0,1,4,3,1,10,1036,,particles08
1027,气泡（循环),,0,1,4,3,1,10,1037,,particles08
1028,绿色光环（循环）,,0,1,3,3,1,10,1038,,particles02
1029,环境光（循环）,,0,1,6,3,1,10,1101,,particles06
1030,落叶（循环）,未找到,0,0,6,,1,10,1102,,particles06
1031,气旋（循环）,,0,1,3,3,1,10,1103,,particles02
1032,桃花气旋（循环）,,0,1,3,3,1,10,1104,,particles02
1033,绿团（循环）,,0,1,5,3,1,10,3407_1,,particles03
1034,原爆点（蓝）,,0,1,2,3,2,10,3502_die,,particles04
1035,火海（循环）,,0,1,5,3,1,10,3503_body,,particles03
1036,混沌风暴,,0,1,2,3,2,10,3503_call,,particles04
1037,原爆点（红）,,0,1,2,3,2,10,3503_die,,particles04
1038,核心（循环）,,0,1,5,3,1,10,3503_lavaball,,particles03
1039,闪电风暴（循环）,,0,1,5,3,1,10,3504_body,,particles03
1040,混沌球（循环）,,0,1,5,3,1,10,3504_chaosball,,particles03
1041,原爆点（紫）,,0,1,2,3,2,10,3504_die,,particles04
1042,流火（循环）,,0,1,5,3,1,10,3508_lavaball,,particles03
1043,火焰扩散,,0,1,5,3,2,10,3508_lavaball_hit,,particles03
1044,烟雾10,,0,1,1,3,2,10,10021,,particles01
1045,笑脸烟花,,0,1,2,3,2,10,12750,,particles04
1046,爱心,,0,1,2,3,2,10,12830,,particles04
1047,烟花（绿）,,0,1,2,3,2,10,12831,,particles04
1048,烟花（黄）,,0,1,2,3,2,10,12832,,particles04
1049,烟花（蓝）,,0,1,2,3,2,10,12833,,particles04
1050,烟花（紫）,,0,1,2,3,2,10,12834,,particles04
1051,烟花（波纹）,,0,1,2,3,2,10,12835,,particles04
1052,点光效（循环）,,0,1,4,3,1,10,13802_1,,particles08
1053,烟雾1（循环）,,0,1,1,3,1,10,31021,,particles01
1054,雾点绿（循环）,,0,1,4,3,1,10,31051,,particles08
1055,灼烧2（循环）,,0,1,5,3,1,10,31051_1,,particles03
1056,火痕（循环）,,0,1,5,3,1,10,31052,,particles03
1057,蓝焰1（循环）,,0,1,1,3,1,10,31071,,particles01
1058,爆点-红,,0,1,1,3,1,10,31091,,particles01
1059,着火（循环）,,0,1,5,3,1,10,31301,,particles03
1060,蓝焰2（循环）,,0,1,5,3,1,10,35011,,particles03
1061,旋涡,,0,1,3,3,2,10,35021,,particles02
