宠物ID,阶段（同一个宠物的要连续）,宠物品质（0普通，1中等，2稀有中等，3珍贵，4传说，认阶段1的）,头像ID（填文件夹.文件名称，res/ui目录下）,生物ID（填monster表的ID）,合成碎片ID（弃用）,合成碎片数量（弃用）,分数,探险CD（秒）--疲劳,基础体力下限（基础的属性从上限和下限中随机）废弃,基础体力上限（废弃）,基础速度下限基础体力上限（废弃）,基础速度上限基础体力上限（废弃）,基础运气下限基础体力上限（废弃）,基础运气上限基础体力上限（废弃）,最大负重,最大耐力,最大速度,获取特性包ID（特性是随机获取的）,喂养食物偏好类型（修改）探险偏好食物类型,进化需要经验值,进化需要材料1,进化需要材料1数量,进化需要材料2,进化需要材料2数量,进化需要材料3,进化需要材料3数量,进化消耗类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）,进化消耗数值,进化增加角色经验,培养消耗道具ID1,培养消耗道具1数量,培养消耗道具ID2,培养消耗道具2数量,培养消耗道具ID3,培养消耗道具3数量,培养消耗道具ID4,培养消耗道具4数量,培养消耗类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）,培养消耗数值,培养增加角色经验,放生获得物品ID,放生获得物品数量,特效,脚印
PetID,Stage,PetQuality,HeadIcon,MonsterID,PatchItemID,PatchItemNum,HandBookScore,RiskCD,BaseStaminaMin,BaseStaminaMax,BaseSpeedMin,BaseSpeedMax,BaseLuckMin,BaseLuckMax,MaxLuck,MaxStamina,MaxSpeed,GetSkillPack,FeedLikeType,GrowExp,GrowItem1_ID,GrowItem1_Num,GrowItem2_ID,GrowItem2_Num,GrowItem3_ID,GrowItem3_Num,GrowCostType,GrowCostNum,GrowPlayerEXP,ResetItem1_ID,ResetItem1_Num,ResetItem2_ID,ResetItem2_Num,ResetItem3_ID,ResetItem3_Num,ResetItem4_ID,ResetItem4_Num,ResetCostType,ResetCostNum,ResetPlayerEXP,ReleaseItem_ID,ReleaseItem_Num,SpecialEffects,Footprint
10001,1,0,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,51,40,42,7,6003,300,68101,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10001,2,0,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,81,63,67,7,6003,1000,68101,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10001,3,0,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,113,89,94,7,6003,2400,68101,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10001,4,0,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,148,116,122,7,6003,5000,68101,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10001,5,0,roleicons.10003,10003,68301,10,10,300,10,15,10,15,10,15,184,144,152,7,6003,0,68101,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10001,1,1,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,75,59,62,"7,2",6003,300,68101,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_1,
10001,2,1,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,120,94,99,"7,2",6003,1000,68101,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_1,
10001,3,1,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,168,132,139,"7,2",6003,2400,68101,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_1,
10001,4,1,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,221,173,183,"7,2",6003,5000,68101,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_1,
10001,5,1,roleicons.10003,10003,68301,10,10,300,10,15,10,15,10,15,276,216,228,"7,2",6003,0,68101,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_1,
10001,1,2,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,106,83,88,"7,2,3",6003,300,68101,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_1,
10001,2,2,roleicons.10001,10001,68301,10,10,300,10,15,10,15,10,15,171,134,141,"7,2,3",6003,1000,68101,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_1,
10001,3,2,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,239,187,197,"7,2,3",6003,2400,68101,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_1,
10001,4,2,roleicons.10002,10002,68301,10,10,300,10,15,10,15,10,15,313,245,259,"7,2,3",6003,5000,68101,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_1,
