事件ID,类型（0好1坏2特殊）,类型图标（填文件夹.文件名 ui目录下）,通过后显示图标,描述,关卡效果数量,关卡效果,效果值1,效果值2,效果值3,效果值4,关卡效果数量,通过事件效果,效果值1,效果值2,效果值3,效果值4
EventID,Type,Icon,Icon1,Desc,MissionFunctionNum,MissionFunction1_ID,MissionFunction1_Val1,MissionFunction1_Val2,MissionFunction1_Val3,MissionFunction1_Val4,PassFunctionNum,PassFunction1_ID,PassFunction1_Val1,PassFunction1_Val2,PassFunction1_Val3,PassFunction1_Val4
1,0,aiicons.1001,aiicons.1002,35011,1,1,,10,,,,,,,,
2,0,aiicons.1001,aiicons.1002,35012,1,1,10,,,,,,,,,
3,0,aiicons.1001,aiicons.1002,35013,1,1,10,10,,,,,,,,
4,0,aiicons.1001,aiicons.1002,35021,1,1,,-10,,,,,,,,
5,0,aiicons.1001,aiicons.1002,35022,1,1,-10,,,,,,,,,
6,0,aiicons.1001,aiicons.1002,35023,1,1,-10,-10,,,,,,,,
7,1,aiicons.1001,aiicons.2001,35031,1,2,,10,10,,,,,,,
8,1,aiicons.1001,aiicons.2001,35032,1,2,10,,10,,,,,,,
9,1,aiicons.1001,aiicons.2001,35033,1,2,10,10,10,,,,,,,
10,1,aiicons.1001,aiicons.2001,35041,1,2,,-10,10,,,,,,,
11,1,aiicons.1001,aiicons.2001,35042,1,2,-10,,10,,,,,,,
12,1,aiicons.1001,aiicons.2001,35043,1,2,-10,-10,10,,,,,,,
13,1,aiicons.1001,aiicons.2001,35051,1,4,10,60,,,,,,,,
14,1,aiicons.1001,aiicons.2001,35052,1,5,10,60,,,,,,,,
15,1,aiicons.1001,aiicons.2001,35053,1,7,100,,,,,,,,,
16,1,aiicons.1001,aiicons.2001,35054,1,8,6,1,,,,,,,,
17,1,aiicons.1001,aiicons.2001,35055,1,8,7,1,,,,,,,,
18,1,aiicons.1001,aiicons.2001,35056,1,8,8,1,,,,,,,,
19,1,aiicons.1001,aiicons.2001,35057,1,8,9,1,,,,,,,,
20,1,aiicons.1001,aiicons.2001,35058,1,8,10,1,,,,,,,,
21,1,aiicons.1001,aiicons.2001,35059,1,8,8,10,,124540,,,,,,
22,1,aiicons.1001,aiicons.2001,35066,1,8,12,1,,,,,,,,
23,1,aiicons.1001,aiicons.2001,35067,1,8,13,1,,,,,,,,
24,1,aiicons.1001,aiicons.2001,35071,1,8,14,1,,,,,,,,
25,1,aiicons.1001,aiicons.2001,35072,1,8,15,1,,,,,,,,
