特性包ID,特性1ID,特性1等级,特性1几率（万分率）,特性2ID,特性2等级,特性2几率,特性3ID,特性3等级,特性3几率,特性4ID,特性4等级,特性4几率,特性5ID,特性5等级,特性5几率,特性6ID,特性6等级,特性6几率,特性7ID,特性7等级,特性7几率,特性8ID,特性8等级,特性8几率,特性9ID,特性9等级,特性9几率,特性10ID,特性10等级,特性10几率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackID,Skill1_ID,Skill1_Lv,Skill1_Prob,Skill2_ID,Skill2_Lv,Skill2_Prob,Skill3_ID,Skill3_Lv,Skill3_Prob,Skill4_ID,Skill4_Lv,Skill4_Prob,Skill5_ID,Skill5_Lv,Skill5_Prob,Skill6_ID,Skill6_Lv,Skill6_Prob,Skill7_ID,Skill7_Lv,Skill7_Prob,Skill8_ID,Skill8_Lv,Skill8_Prob,Skill9_ID,Skill9_Lv,Skill9_Prob,Skill10_ID,Skill10_Lv,Skill10_Prob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1250,2,1,625,3,1,1250,4,1,625,5,1,1250,6,1,625,7,1,1250,8,1,1250,9,1,625,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1250,2,1,625,3,1,1250,4,1,625,5,1,1250,6,1,625,7,1,1250,8,1,1250,9,1,625,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1250,2,1,625,3,1,1250,4,1,625,5,1,1250,6,1,625,7,1,1250,8,1,1250,9,1,625,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,1250,2,1,625,3,1,1250,4,1,625,5,1,1250,6,1,625,7,1,1250,8,1,1250,9,1,625,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,8,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,1,1000,2,1,1000,3,1,1000,4,1,1000,5,1,1000,6,1,1000,7,1,1000,8,1,1000,9,1,1000,10,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
