部件类型（0=框架，1=移动装置[2=车轮]，2=动力装置[2=引擎]，3=座位，4=武器，5=辅助装置，6=关节部件）,子类型（根据部件类型不同有不同含义，1=全部）,图标路径（图标地址）,类型名称（stringID）,数量限制（-1表示不限制数量）,名称（备注）,最大连出数,最大连入数
PartsType,SubType,Icon,NameID,NumLimit,,MaxOutNum,MaxInNum
0,0,vehicle/ico_ve_cate05,12051,1500,结构部件,,
1,0,,12081,-1,移动部件,,
1,1,vehicle/ico_ve_cate02,12082,20,车轮,,1
1,2,,12083,-1,机械脚,,
1,3,,12084,-1,螺旋桨,,
1,4,,12085,-1,机翼,,
1,5,,12086,-1,漂浮器,,
2,0,,12111,-1,动力部件,,
2,1,vehicle/ico_ve_cate03,12112,1,引擎,8,1
2,2,vehicle/icon_propeller,12113,10,推进器,,4
2,3,vehicle/icon_tank,12114,10,能源,,
2,4,vehicle/icon_propeller,12115,24,螺旋推进器,,4
3,0,,12141,40,座位,,
3,1,vehicle/ico_ve_cate01,12142,1,驾驶座,40,
3,2,vehicle/ico_ve_cate04,12143,39,乘客座,40,
3,1,vehicle/ico_ve_cate01,12144,2,船舵,40,
4,0,,12171,-1,武器,,
4,1,,12172,-1,近战武器,,
4,2,,12173,-1,机枪,,
4,3,,12174,-1,大炮,,
4,4,,12175,-1,榴弹炮,,
4,5,,12176,-1,火箭弹,,
4,6,,12177,-1,火焰喷射器,,
4,7,,12178,-1,燃烧弹,,
4,8,,12179,-1,电磁炮,,
4,9,,12180,-1,弩箭,,
5,0,vehicle/ico_ve_cate06,12201,-1,功能部件,,
5,1,vehicle/icon_energy,12202,40,电路电源,8,4
5,2,vehicle/icon_carryout,12203,40,电路执行,,4
5,3,vehicle/icon_order,12204,20,控制装置,8,4
5,4,vehicle/ico_ve_cate07,12205,20,关节,,4
5,5,,12206,40,辅助装置,,4
