资源ID,备注,模型路径,模型文件[如果是程序生成的模型，这里需要配置模型的枚举，否则配置模型的文件名字。0.立方体、1.球体、2.圆柱、3.圆锥、4.三角斜面、5.胶囊体、6.多边形],"资源类型[1.程序生成, 2.obj 3.omod]",名称,图标,一级分类(1.生物 2.),二级分类[1.基础 2.装饰 3.玩法],是否合并SUBMESH
ID,Note,Path,File,ResourceType,Name,Icon,Type,SubType,IfCombineSubmesh
11000000,立方体,,0,1,立方体,cube,,1,1
11000001,球体,,1,1,球体,sphere,,1,0
11000002,圆柱体,,2,1,圆柱体,cylinder,,1,0
11000003,圆锥,,3,1,圆锥,cone,,1,0
11000004,楔形,,4,1,楔形,wedge,,1,0
11000005,空心半球,ugcModel,11000005,2,碗,bowl,,2,0
11000006,星星,ugcModel,11000006,2,星星,star,,2,0
11000007,半圆柱,ugcModel,11000007,2,半圆柱,halfround,,2,0
11000008,桌子,ugcModel,11000008,2,桌子,desk,,2,0
11000009,板凳,ugcModel,11000009,2,板凳,stool,,2,0
11000010,木板,ugcModel,11000010,2,木板,plank,,2,0
11000011,半球,ugcModel,11000011,2,半球,hemisphere,,2,0
11000012,泳圈,ugcModel,11000012,2,泳圈,annular,,2,0
11000013,圆饼,ugcModel,11000013,2,圆饼,cake,,2,0
11000014,树,ugcModel,11000014,2,树,tree,,2,0
11000015,阀门,ugcModel,11000015,2,阀门,valve,,2,0
11000016,长凳,ugcModel,11000016,2,长凳,bench,,2,0
11000017,方块,ugcModel,11000017,2,方块,block,,2,0
11000018,花,ugcModel,11000018,2,花,flower,,2,0
11000019,小树,ugcModel,11000019,2,面包树,smalltree,,2,0
11000020,栅栏,ugcModel,11000020,2,栅栏,fence,,2,0
11000021,雨伞,ugcModel,11000021,2,雨伞,umbrella,,2,0
11000022,长棍,ugcModel,11000022,2,长棍,stick,,2,0
11000023,锤子,ugcModel,11000023,2,锤子,hammer,,2,0
11000024,甜甜圈,ugcModel,11000024,2,甜甜圈,donut,,2,0
11000025,威化饼,ugcModel,11000025,2,威化饼,waffle,,2,0
11000026,三叶草,ugcModel,11000026,2,三叶草,clover,,2,0
11000027,红水管,ugcModel,11000027,2,红水管,red_water_pipe,,2,0
11000028,红苹果,ugcModel,11000028,2,红苹果,red_apple,,2,0
11000029,蓝转盘,ugcModel,11000029,2,蓝转盘,blue_turntable,,2,0
11000030,跨栏,ugcModel,11000030,2,跨栏,hurdle,,2,0
11000031,叶子,ugcModel,11000031,2,叶子,leaf,,2,0
11000032,黄蘑菇,ugcModel,11000032,2,黄蘑菇,yellow_mushroom,,2,0
11000033,彩虹,ugcModel,11000033,2,彩虹,rainbow,,2,0
11000035,X标志,ugcModel,11000035,2,X标志,x_mark,,2,0
11000036,粉心,ugcModel,11000036,2,粉心,pink_heart,,2,0
11000037,滑梯,ugcModel,11000037,2,滑梯,slide,,2,0
11000038,货车,ugcModel,11000038,2,货车,truck,,2,0
11000039,拖车,ugcModel,11000039,2,拖车,trailer,,2,0
11000040,卡车,ugcModel,11000040,2,卡车,truck1,,2,0
11000041,蓝色轿车,ugcModel,11000041,2,蓝色轿车,blue_car,,2,0
11000042,面包车,ugcModel,11000042,2,面包车,van,,2,0
11000043,雨棚,ugcModel,11000043,2,雨棚,awaning,,2,0
11000044,披萨店招牌,ugcModel,11000044,2,披萨店招牌,pizza_sign,,2,0
11000045,扶梯,ugcModel,11000045,2,扶梯,escalator,,2,0
11000046,吊钩,ugcModel,11000046,2,吊钩,hook,,2,0
11000047,通风管,ugcModel,11000047,2,通风管,ventilation,,2,0
11000048,拱门,ugcModel,11000048,2,拱门,arch,,2,0
11000049,礼盒,ugcModel,11000049,2,礼盒,gift,,2,0
11000050,木马,ugcModel,11000050,2,木马,trojan_horse,,2,0
11000051,热气球,ugcModel,11000051,2,热气球,balloon,,2,0
11000052,电视机,ugcModel,11000052,2,电视机,tv,,2,0
11000054,月亮,ugcModel,11000054,2,月亮,moon,,2,0
11000055,花洒,ugcModel,11000055,2,花洒,shower,,2,0
11000056,勺子,ugcModel,11000056,2,勺子,spoon,,2,0
11000057,书本,ugcModel,11000057,2,书本,book,,2,0
11000058,小刀,ugcModel,11000058,2,小刀,knife,,2,0
11000059,螺丝刀,ugcModel,11000059,2,螺丝刀,screwdriver,,2,0
11000060,瓶子,ugcModel,11000060,2,瓶子,bottle,,2,0
11000061,钻石,ugcModel,11000061,2,钻石,diamond,,1,0
11000062,心形,ugcModel,11000062,2,心形,heart,,1,0
11000063,齿轮,ugcModel,11000063,2,齿轮,gear,,1,0
11000064,弯箭头,ugcModel,11000064,2,弯箭头,curved_arrow,,1,0
11000065,直箭头,ugcModel,11000065,2,直箭头,straight_arrow,,1,0
11000066,圆筒,ugcModel,11000066,2,圆筒,tube,,1,0
11000067,圆台,ugcModel,11000067,2,圆台,round_platform,,1,0
11000068,圆环,ugcModel,11000068,2,圆环,ring,,1,0
11000069,圆弧,ugcModel,11000069,2,圆弧,arc,,1,0
11000070,拱形,ugcModel,11000070,2,拱形,square_arc,,1,0
11000071,方环,ugcModel,11000071,2,方环,square_ring,,1,0
11000072,三棱柱,ugcModel,11000072,2,三棱柱,triangular_prism,,1,0
11000073,六棱柱,ugcModel,11000073,2,六棱柱,hexagonal_prism,,1,0
11000074,扇形柱,ugcModel,11000074,2,扇形柱,fan-shaped_column,,1,0
11000075,凸圆柱,ugcModel,11000075,2,凸圆柱,convex_cylinder,,1,0
11000076,凹圆柱,ugcModel,11000076,2,凹圆柱,concave_cylinder,,1,0
11000077,四棱锥,ugcModel,11000077,2,四棱锥,quad_pyramid,,1,0
11000078,六棱锥,ugcModel,11000078,2,六棱锥,hexagonal_pyramid,,1,0
11000079,滑道,ugcModel,11000079,2,滑道,slide_base,,1,0
