角色ID,角色名称,角色模型/路径：bin\res\ui\roleicons,角色描述,天赋等级,天赋名称,天赋描述,天赋升级描述,天赋类型,天赋值1,天赋值2,天赋值3,解锁消耗类型/1道具可用迷你币代替2只迷你币3只道具,解锁消耗道具ID,解锁消耗值,高度,宽度,厚度,受击高度,受击宽度,受击厚度,解锁道具跟迷你币比例,解锁提示类型（1前往家园和取消 2只有确定）,解锁提示,举野人高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）
ID,Name,Model,Desc,GeniusLv,GeniusName,GeniusDesc,GeniusLvDesc,GeniusType,GeniusValue1,GeniusValue2,GeniusValue3,ULConsumeType,ULConsumeID,ULConsumeValue,Height,Width,Thickness,HitHeight,HitWidth,HitThickness,Ratio,BuyTipsType,BuyTips,CarryingHeight,Arbody,
1,酋长,1,原始人部落的首领，喜欢到处冒险，开辟部落领地。,0,强壮,增加基础伤害（未激活）,,,,,,1,12950,30,180,60,60,220,120,120,1,,,160,1,1
2,酋长,1,原始人部落的首领，喜欢到处冒险，开辟部落领地。,1,强壮1,基础伤害增加5点,,0,5,,,1,12950,150,180,60,60,220,120,120,1,,,160,1,1
3,酋长,1,原始人部落的首领，喜欢到处冒险，开辟部落领地。,2,强壮2,基础伤害增加10点,,0,10,,,1,12950,300,180,60,60,220,120,120,1,,,160,1,1
4,酋长夫人,7,彪悍的原始人母亲，是部落里面狩猎的一把好手。,0,狩猎能手,增加狩猎收获（未激活）,,,,,,1,12951,150,180,60,60,220,120,120,1,,,160,1,
5,酋长夫人,7,彪悍的原始人母亲，是部落里面狩猎的一把好手。,1,狩猎能手1,打怪有25%几率获得2倍掉落,,17,0.25,,,1,12951,400,180,60,60,220,120,120,1,,,160,1,
6,酋长夫人,7,彪悍的原始人母亲，是部落里面狩猎的一把好手。,2,狩猎能手2,打怪有25/15%几率获得2/3倍掉落,,17,0.25,0.15,,1,12951,800,180,60,60,220,120,120,1,,,160,1,
7,卡卡,2,从小生活在原始部落里，拥有一身野外生存的本领。,0,倔强,降低受到的远程伤害（未激活）,,,,,,1,12952,100,180,60,60,220,120,120,1,,,160,1,1
8,卡卡,2,从小生活在原始部落里，拥有一身野外生存的本领。,1,倔强1,受到的远程伤害降低20%,,10,0.2,,,1,12952,200,180,60,60,220,120,120,1,,,160,1,1
9,卡卡,2,从小生活在原始部落里，拥有一身野外生存的本领。,2,倔强2,受到的远程伤害降低40%,,10,0.4,,,1,12952,400,180,60,60,220,120,120,1,,,160,1,1
