皮肤id,动作id,动作名称,动作特效,播放次数,还原时间,预览高度,预览位置,模型偏转角度,取消特效
ID,SeqId,SeqName,SeqEffect,ShowTime,RestoreTime,Height,Location,Angle,StopEffect
251,100100,站立动作,,1,10,,-180,,
251,100101,跑步动作,140260_101,1,10,,-180,-50,
251,100107,受击动作,140260_107,1,0,,-180,-50,
251,100130,休闲动作,140260_130,1,2,,-180,,
251,100155,胜利动作,140260_155,1,2,,-180,,
251,100102,睡觉动作,140260_102,1,10,,-130,-90,
251,100109,跳跃动作,140260_101,1,0,,-180,-50,
251,100104,游泳动作,140260_104,1,10,100,-180,-50,
251,100131,感谢动作,140260_131,1,0,,-180,,
251,100140,打招呼,,1,2,,-180,,
251,100859,复活动作,140260_859,1,2,,-180,,BUFF_DAMAGED_3
251,100860,出场动作,140260_860,1,2,,-180,,
269,100100,站立动作,,1,10,,-180,,
269,100101,跑步动作,140267_101,1,10,,-180,-50,
269,100107,受击动作,140267_107,1,0,,-180,-50,
269,100130,休闲动作,140267_130,1,2,,-180,,
269,100155,胜利动作,140267_155,1,2,,-180,,
269,100102,睡觉动作,140267_102,1,10,,-130,-90,
269,100109,跳跃动作,140267_101,1,0,,-180,-50,
269,100104,游泳动作,140267_104,1,10,100,-180,-50,
269,100131,感谢动作,140260_131,1,0,,-180,,
269,100140,打招呼,,1,2,,-180,,
269,100859,复活动作,140267_859,1,2,,-180,,BUFF_DAMAGED_3
269,100860,出场动作,140267_860,1,2,,-180,,
306,100927,花瓣雨,140272_4,1,3,,-180,,
307,100927,花瓣雨,140272_4,1,3,,-180,,
