控件ID【控件大类(1=事件|2=条件|3=动作|4=局部事件)_子类（01~17）_序号（0001~）】,名称,控件大类,子类型,子类名称,显示过滤【①全局（1=显示（默认）|0=隐藏），②局部（1=显示（默认）|0=隐藏），③道具类型（0=通用|1=方块|2=杂物|3=工具|4=一组物品|5=怪物|6=账号物品|7=弓|8=投掷物/弹药|9=装备|10=枪械|11=食物|12=石矛|15=包裹|16=机械）(子类型=6时才读)（兼用多种道具类型时，数字用‘|’隔开），④使用仅供学习的模板地图时禁用（0=不禁用，1=禁用）】,描述,描述备注,备注,事件传参备注,事件传参,参数1,参数默认值1,参数2,参数默认值2,参数3,参数默认值3,参数4,参数默认值4,参数5,参数默认值5,参数6,参数默认值6,参数7,参数默认值7,参数8,参数默认值8,参数9,参数默认值9,参数10,参数默认值10,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,触发器提示版本号（填写版本号的第二位）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Type,ChildType,ChildName,DisplayFilter,Desc,,Remarks,,TriggerEventParams,Param1,DefaultParam1,Param2,DefaultParam2,Param3,DefaultParam3,Param4,DefaultParam4,Param5,DefaultParam5,Param6,DefaultParam6,Param7,DefaultParam7,Param8,DefaultParam8,Param9,DefaultParam9,Param10,DefaultParam10,Display,Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010001,天气改变时,1,1,世界,"1,0,0,0",任意天气发生改变时,任意天气发生改变时,天气从晴天变为雨天，雨天变为晴天时,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010002,地形组的天气改变时,1,1,世界,"1,0,0,0",指定|@1|的天气改变时,,常见组：平原/森林/峭壁/丛林/盆地/空岛/河流；海洋组：沙滩/深海/浅海/岛屿；沙漠组：沙漠/绿洲；普通寒带：针叶林/冰原；高峰寒带：冰山；火山组：火山；湿地组：雨林/沼泽；平坦、空岛,,,"1137,1",5|990001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020001,游戏创建时,1,2,游戏逻辑,"1,0,0,0",游戏创建时触发,游戏创建时触发,"进入游戏倒计时3,2,1结束后，开始游戏时",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020002,游戏内时间,1,2,游戏逻辑,"1,0,0,0",游戏内时间处于|@1|点,游戏内时间处于【数值】点,游戏当前时刻处在指定时间点上时,,,"1005,1",1|5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020003,游戏运行时间,1,2,游戏逻辑,"1,0,0,0",游戏运行时间|@1|秒后,游戏运行时间【数值】秒后,进入游戏后运行指定时间后,,,"1005,1",1|5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020004,游戏胜利,1,2,游戏逻辑,"1,0,0,0",任意玩家触发胜利时,任意玩家触发胜利时,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020005,游戏失败,1,2,游戏逻辑,"1,0,0,0",任意玩家触发失败时,任意玩家触发失败时,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020007,玩家进入游戏,1,2,游戏逻辑,"1,0,0,0",任意玩家进入游戏时,任意玩家进入游戏时,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020008,玩家离开游戏,1,2,游戏逻辑,"1,0,0,0",任意玩家离开游戏时,任意玩家离开游戏时,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020009,计时器变化,1,2,游戏逻辑,"1,0,0,0",任意计时器发生变化时,任意计时器发生变化时,变量库中任意计时器变量发生变化时,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020010,指定计时器变化,1,2,游戏逻辑,"1,0,0,0",@1|发生变化时,【计时器】发生变化时,变量库中指定计时器变量发生变化时,,,"1040,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020011,每当游戏运行时间（循环）,1,2,游戏逻辑,"1,0,0,0",游戏每运行|@1|秒,游戏每运行【数值】秒,"1.最小取值为0.05秒,0.01-0.09都会取0.05
2.游戏每运行指定时间后就会触发（循环）",,,"1005,1",1|2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020012,地图接受到信息时,1,2,游戏逻辑,"1,0,0,0",地图接受到任意字符串信息时,地图接受到任意字符串信息时,,事件中的字符串,550001,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030001,玩家被击败,1,3,玩家,"1,0,0,0",任意玩家被击败时,任意玩家死亡,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030002,复活,1,3,玩家,"1,0,0,0",任意玩家复活,任意玩家复活,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030003,属性改变,1,3,玩家,"1,0,0,0",任意玩家|@1|改变,任意玩家【玩家属性】变化,当玩家某个属性，如血量变化时,触发事件的玩家|事件中的位置,250001|240001,"1020,1",5|140001,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030004,击败目标,1,3,玩家,"1,0,0,0",任意玩家击败其他玩家或任意生物,任意玩家打败其他玩家或生物,当玩家打败其他玩家、生物时。被打败的玩家、生物为事件中的目标玩家、生物,触发事件的玩家|事件中的位置|事件中的目标玩家|事件中的目标生物|事件中的目标生物类型,250001|240001|250002|300002|440002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
