参数ID,素材库类型:（1方块类型 2道具类型 3投掷物类型 4生物类型 5状态 6动画表情 7特效）,"分类(1,2,3...连续)",类名(对应stringdef表的id),备注1,分类备注
ID,Type,Class,NameId,,
1,1,1,15351,方块,植物方块
2,1,2,15352,方块,液体方块
3,1,3,15353,方块,自然方块
4,1,4,15354,方块,装饰方块
5,1,5,15355,方块,功能方块
6,1,6,4544,方块,自定义
50,7,1,15379,特效,烟雾
51,7,2,15380,特效,爆炸
52,7,3,15381,特效,光效
53,7,4,15382,特效,粒子
54,7,5,15383,特效,火焰
55,7,6,15384,特效,环境
56,7,7,15385,特效,提示
100,8,1,15389,音效,脚步
101,8,2,15390,音效,行为
102,8,3,15391,音效,受击
103,8,4,15392,音效,待机
104,8,5,15393,音效,技能
105,8,6,15394,音效,环境
106,8,7,15395,音效,背景音乐
107,8,8,15385,音效,提示
108,8,9,15399,音效,其它
109,8,10,16159,音效,音频库
