iD,唯一id（=id*1000+Tunestonelevel）,名字,权重,符文石等级（1低级，2中级，3高级）,符文石类型（1攻击，2防御，4效率，3攻击+防御，5攻击+效率，6防御+效率，7攻击+防御+效率）,分类类型(同类型的符文互斥，不会出现在同一装备上),效果类型,效果数值1最小值,效果数值1最大值,效果数值2最小值,效果数值2最大值,"攻击类型: -1不限, 0:近程,1:远程,2:爆炸, 3:火,4:毒,5:暗,6:电,7:冰","目标类型:-1不限,0玩家npc,1野兽、2野人、3精英、4虚空、6外星、7水生",冲突类型（默认0，不冲突）,属性描述,显示类型（0/不填：正常数值&使用数值1，1：显示buff等级&使用数值2，2：显示百分数&使用数值1&需要程序*100，3：显示百分数&使用数值1，4：直接显示描述，5显示小数&需要程序/100）,工具类型1（对应tooldef.csv中的Type字段）,工具类型2,工具类型3,工具类型4,工具类型5,工具类型6,工具类型7,工具类型8,工具类型9,工具类型10,工具类型11,工具类型12,图标特效颜色, 基础特效, 基础特效2,图标（脚本ID库使用，引用IconBank表图标id）,,繁体属性描述,英文属性描述,激活道具
ID,keyid,Name,Weight,Tunestonelevel,Tunestone,Category,EnchantType,EnchantValue1Min,EnchantValue1Max,EnchantValue2Min,EnchantValue2Max,AttackType,TargetType,ConflictID,AttrDesc,DisplayType,ToolType1,ToolType2,ToolType3,ToolType4,ToolType5,ToolType6,ToolType7,ToolType8,ToolType9,ToolType10,ToolType11,ToolType12,Color,effect,effect2,Icon,,TWAttrDesc,ENAttrDesc,ActivateItemID
5,5001,击飞,100,1,5,1,KNOCKUP,1,4,0.1,0.1,0,-1,,有10%概率击飞+,,6,,,,,,,,,,,,ff8033CD,magic_impact,,DAMAGED_FALLING_ADD,,擊飛+,knockup+,11080
5,5002,击飞,100,2,5,1,KNOCKUP,1,4,0.2,0.2,0,-1,,有20%概率击飞+,,6,,,,,,,,,,,,ff8033CD,magic_impact,,DAMAGED_FALLING_ADD,,擊飛+,knockup+,11080
5,5003,击飞,100,3,5,1,KNOCKUP,1,4,0.3,0.3,0,-1,,有30%概率击飞+,,6,,,,,,,,,,,,ff8033CD,magic_impact,,DAMAGED_FALLING_ADD,,擊飛+,knockup+,11080
6,6001,锐利,0,1,5,2,SHARP,6,12,,,0,-1,,近战攻击+,,6,1,2,3,4,,,,,,,,ff8033CD,magic_sharp,,attack_punch_add,,近戰攻擊+,Melee attack+,
6,6002,锐利,0,2,5,2,SHARP,13,22,,,0,-1,,近战攻击+,,6,1,2,3,4,,,,,,,,ff8033CD,magic_sharp,,attack_punch_add,,近戰攻擊+,Melee attack+,
6,6003,锐利,0,3,5,2,SHARP,23,35,,,0,-1,,近战攻击+,,6,1,2,3,4,,,,,,,,ff8033CD,magic_sharp,,attack_punch_add,,近戰攻擊+,Melee attack+,
7,7001,人类猎手,0,1,5,3,SHARP,8,20,,,0,0,,人类猎手+,,6,1,2,3,4,7,,,,,,,ff8033CD,magic_hunter,,attack_player_add,,對人近戰傷害+,Melee attack damage to humans+,
7,7002,人类猎手,0,2,5,3,SHARP,21,37,,,0,0,,人类猎手+,,6,1,2,3,4,7,,,,,,,ff8033CD,magic_hunter,,attack_player_add,,對人近戰傷害+,Melee attack damage to humans+,
7,7003,人类猎手,0,3,5,3,SHARP,38,60,,,0,0,,人类猎手+,,6,1,2,3,4,7,,,,,,,ff8033CD,magic_hunter,,attack_player_add,,對人近戰傷害+,Melee attack damage to humans+,
