道具ID,解锁类型,解锁数量
ID,Type,Num
20000,5,
20001,5,
20002,10,
20003,10,
20004,5,
20005,2,
20006,10,
20007,5,
20008,2,
20009,3,
20010,5,
20011,8,
20012,3,
20013,5,
20014,10,
20015,2,
20016,2,
20017,5,
20018,12,
20019,4,
20020,8,
20021,3,
20022,10,
20023,10,
20024,2,
20025,5,
20026,3,
20027,10,
20028,10,
20054,2,
20055,5,
20056,15,
12950,30,
12950,150,
12950,300,
12952,100,
12952,200,
12952,400,
12959,100,
12959,200,
12959,400,
12955,100,
12955,300,
12955,600,
12957,100,
12957,200,
12957,400,
12954,250,
12954,300,
12954,600,
12951,150,
12951,400,
12951,800,
12953,100,
12953,200,
12953,400,
12956,100,
12956,300,
12956,600,
12958,200,
12958,400,
12958,800,
20029,400,
20060,500,
20061,500,
20031,300,
20031,600,
