序号,任务标题(维护用),标题String,任务描述(维护用),任务String,跳转（部分任务不可跳转，如登陆，在线等。主要用来区分跳转按钮是否存在）,图标,积分显示,功能(维护用),任务分类,次数
ID,Name,Title,Des,Mission,Jump,Icon,Integral,Fuction,FuctionDec,Times
number,string,number,string,number,number,string,number,string,number,number
1,初见,70023,登录1次,70040,0,1,12,【组队】,300,1
2,欢声笑语,70024,加入联机房间,70041,11,2,20,【组队】,301,1
3,我的地盘听我的,70025,创建房间,70042,11,3,20,【加成】,302,1
4,我的联系方式,70026,实名制,70043,92,4,150,【加成】,303,1
5,帅气,70027,手机号认证,70044,303,5,150,【组队】,304,1
6,一起玩吧,70028,邮箱认证,70045,301,6,150,【组队】,305,1
7,浇水园丁,70029,帮好友浇水一次,70046,6,7,35,【加成】,306,1
8,广告之王,70030,观看广告,70047,302,8,50,【加成】,307,1
9,开天辟地,70031,玩一局从创造模式30分钟,70048,11,9,70,【组队】,308,1
10,其乐无穷,70032,玩一局对战模式并取得胜利,70049,11,10,75,【加成】,309,1
11,收集者,70033,收藏一张地图,70050,15,11,50,【组队】,310,1
12,消费一下,70034,给地图投块,70051,15,12,50,【加成】,311,1
13,侦察者,70035,查看他人勋章,70052,307,13,25,【组队】,312,1
14,团结友爱,70036,添加一位好友,70053,12,14,40,【加成】,313,1
15,妮妮！永远的神,70037,使用妮妮玩一盘游戏,70054,308,15,20,【组队】,314,1
16,木材大亨,70038,挖取40块木头,70055,11,16,50,【加成】,315,40
17,晒一晒,70039,发表一次动态,70056,309,17,40,【组队】,316,1
