唯一索引ID,语言码(小写),语言名,是否可选,字体,"PC语言码(CID,10进制)","支持语言标识列表(以,间隔)",说明(仅阅读)
ID,Code,Name,Optional,Font,CID,Flags,Desc
0,cn,简体中文 ,0,,-1,"zh_cn,zh-cn,zh-Hans",简体中文
1,en,English,1,,9,en,英语
2,tw,繁体中文 ,1,,31748,"zh_tw,zh_mo,zh-Hant,zh-HK,zh-TW,zh_MO,zh-mo,zh,zh_cn,zh-cn,zh-Hans",繁体中文
3,tha,ภาษาไทย ,1,,30,th,泰文
4,esn,Español ,1,,10,es,西班牙
5,ptb,Português ,1,,22,pt,巴西葡萄牙
6,fra,Français ,1,,12,fr,法文
7,jpn,日本语 ,1,,17,ja,日文
8,ara,العربية,1,,1 ,"ar,ar_EG",阿拉伯文
9,kor,한국어 ,1,,18,ko,韩语
10,vie,Tiếng Việt ,1,,42,"vi,vi_VN",越南
11,rus,русский ,1,,25,"ru,ru_RU",俄语
12,tur,Türkçe ,1,,31,"tr,tr_TR",土耳其
13,ita,Italiano ,1,,16,"it,it_CH",意大利
14,ger,Deutsch ,1,,7,"de,de_AT",德语
15,ind,Indonesia ,1,,33,"in,id,hi_IN",印尼语
16,msa,Malaysia ,1,,62,"ms,msa,may",马来语
