分类,资源ID,文件路径,是否询问后下载[0=手动下载，1=询问后下载，2=用到再下载]
,ID,strPathName,IsAsk
装扮,8,res/entity/140002/body.omod,1
装扮,9,res/entity/140002/male.ktx,2
装扮,10,res/entity/140002/male.png,1
装扮,11,res/entity/140002/male.pvr,2
装扮,12,res/entity/140003/body.omod,1
装扮,13,res/entity/140003/male1.ktx,2
装扮,14,res/entity/140003/male1.png,1
装扮,15,res/entity/140003/male1.pvr,2
装扮,16,res/entity/140004/body.omod,1
装扮,17,res/entity/140004/male.ktx,2
装扮,18,res/entity/140004/male.png,1
装扮,19,res/entity/140004/male.pvr,2
装扮,20,res/entity/140005/body.omod,1
装扮,21,res/entity/140005/male.ktx,2
装扮,22,res/entity/140005/male.png,1
装扮,23,res/entity/140005/male.pvr,2
装扮,24,res/entity/140005/male_alpha.ktx,2
装扮,25,res/entity/140006/body.omod,1
装扮,26,res/entity/140006/male.ktx,2
装扮,27,res/entity/140006/male.png,1
装扮,28,res/entity/140006/male.pvr,2
装扮,29,res/entity/140007/body.omod,1
装扮,30,res/entity/140007/face.ktx,2
装扮,31,res/entity/140007/face.png,1
装扮,32,res/entity/140007/face.pvr,2
装扮,33,res/entity/140007/female.ktx,2
装扮,34,res/entity/140007/female.pvr,2
装扮,35,res/entity/140007/male.ktx,2
装扮,36,res/entity/140007/male.png,1
装扮,37,res/entity/140007/male.pvr,2
装扮,38,res/entity/140008/body.omod,1
装扮,39,res/entity/140008/male.ktx,2
装扮,40,res/entity/140008/male.png,1
装扮,41,res/entity/140008/male.pvr,2
装扮,42,res/entity/140009/body.omod,1
装扮,43,res/entity/140009/male.ktx,2
装扮,44,res/entity/140009/male.png,1
装扮,45,res/entity/140009/male.pvr,2
装扮,46,res/entity/140009/male_alpha.ktx,2
装扮,47,res/entity/140010/body.omod,1
装扮,48,res/entity/140010/female.ktx,2
装扮,49,res/entity/140010/female.png,1
装扮,50,res/entity/140010/female.pvr,2
装扮,51,res/entity/140010/female_alpha.ktx,2
装扮,52,res/entity/140011/body.omod,1
装扮,53,res/entity/140011/male.ktx,2
装扮,54,res/entity/140011/male.png,1
装扮,55,res/entity/140011/male.pvr,2
装扮,56,res/entity/140011/ying.ktx,2
装扮,57,res/entity/140011/ying.png,1
装扮,58,res/entity/140011/ying.pvr,2
装扮,59,res/entity/140012/body.omod,1
装扮,60,res/entity/140012/deng.ktx,2
装扮,61,res/entity/140012/deng.png,1
装扮,62,res/entity/140012/deng.pvr,2
装扮,63,res/entity/140012/female.ktx,2
装扮,64,res/entity/140012/female.png,1
装扮,65,res/entity/140012/female.pvr,2
装扮,66,res/entity/140012/female_alpha.ktx,2
装扮,67,res/entity/140013/body.omod,1
装扮,68,res/entity/140013/male.ktx,2
装扮,69,res/entity/140013/male.png,1
装扮,70,res/entity/140013/male.pvr,2
装扮,71,res/entity/140014/body.omod,1
装扮,72,res/entity/140014/face_100100.ktx,2
装扮,73,res/entity/140014/face_100100.png,1
装扮,74,res/entity/140015/body.omod,1
装扮,75,res/entity/140015/face.ktx,2
装扮,76,res/entity/140015/face.png,1
装扮,77,res/entity/140015/face.pvr,2
装扮,78,res/entity/140015/face_100100.ktx,2
装扮,79,res/entity/140015/face_100100.png,1
装扮,80,res/entity/140015/face_100100.pvr,2
装扮,81,res/entity/140015/face_100108.ktx,2
装扮,82,res/entity/140015/face_100108.png,1
装扮,83,res/entity/140015/face_100108.pvr,2
装扮,84,res/entity/140015/lanqiu.ktx,2
装扮,85,res/entity/140015/lanqiu.png,1
装扮,86,res/entity/140015/lanqiu.pvr,2
装扮,87,res/entity/140015/male.ktx,2
装扮,88,res/entity/140015/male.png,1
装扮,89,res/entity/140015/male.pvr,2
装扮,90,res/entity/140016/body.omod,1
装扮,91,res/entity/140016/face.ktx,2
装扮,92,res/entity/140016/face.png,1
装扮,93,res/entity/140016/face.pvr,2
装扮,94,res/entity/140016/face_100100.ktx,2
装扮,95,res/entity/140016/face_100100.png,1
装扮,96,res/entity/140016/face_100100.pvr,2
装扮,97,res/entity/140016/face_100108.ktx,2
装扮,98,res/entity/140016/face_100108.png,1
装扮,99,res/entity/140016/face_100108.pvr,2
装扮,100,res/entity/140016/face_100130.ktx,2
装扮,101,res/entity/140016/face_100130.png,1
装扮,102,res/entity/140016/face_100130.pvr,2
装扮,103,res/entity/140016/male.ktx,2
装扮,104,res/entity/140016/male.png,1
装扮,105,res/entity/140016/male.pvr,2
装扮,106,res/entity/140017/body.omod,1
装扮,107,res/entity/140017/face.ktx,2
装扮,108,res/entity/140017/face.png,1
装扮,109,res/entity/140017/face.pvr,2
装扮,110,res/entity/140017/face_100100.ktx,2
装扮,111,res/entity/140017/face_100100.png,1
装扮,112,res/entity/140017/face_100100.pvr,2
装扮,113,res/entity/140017/face_100108.ktx,2
装扮,114,res/entity/140017/face_100108.png,1
装扮,115,res/entity/140017/face_100108.pvr,2
装扮,116,res/entity/140017/male.ktx,2
装扮,117,res/entity/140017/male.png,1
装扮,118,res/entity/140017/male.pvr,2
装扮,119,res/entity/140018/body.omod,1
装扮,120,res/entity/140018/face.ktx,2
装扮,121,res/entity/140018/face.png,1
装扮,122,res/entity/140018/face.pvr,2
装扮,123,res/entity/140018/face_100100.ktx,2
装扮,124,res/entity/140018/face_100100.png,1
装扮,125,res/entity/140018/face_100100.pvr,2
装扮,126,res/entity/140018/face_100108.ktx,2
装扮,127,res/entity/140018/face_100108.png,1
装扮,128,res/entity/140018/face_100108.pvr,2
装扮,129,res/entity/140018/male.ktx,2
装扮,130,res/entity/140018/male.png,1
装扮,131,res/entity/140018/male.pvr,2
装扮,132,res/entity/140019/body.omod,1
装扮,133,res/entity/140019/ditu.ktx,2
装扮,134,res/entity/140019/ditu.png,1
装扮,135,res/entity/140019/ditu.pvr,2
装扮,136,res/entity/140019/ditu_alpha.ktx,2
装扮,137,res/entity/140019/face.ktx,2
装扮,138,res/entity/140019/face.png,1
装扮,139,res/entity/140019/face.pvr,2
装扮,140,res/entity/140019/female.ktx,2
装扮,141,res/entity/140019/female.png,1
装扮,142,res/entity/140019/female.pvr,2
装扮,143,res/entity/140020/body.omod,1
装扮,144,res/entity/140020/face.ktx,2
装扮,145,res/entity/140020/face.png,1
装扮,146,res/entity/140020/face.pvr,2
装扮,147,res/entity/140020/face_100100.ktx,2
装扮,148,res/entity/140020/face_100100.png,1
装扮,149,res/entity/140020/face_100100.pvr,2
装扮,150,res/entity/140020/face_100108.ktx,2
装扮,151,res/entity/140020/face_100108.png,1
装扮,152,res/entity/140020/face_100108.pvr,2
装扮,153,res/entity/140020/male.ktx,2
装扮,154,res/entity/140020/male.png,1
装扮,155,res/entity/140020/male.pvr,2
装扮,156,res/entity/140021/body.omod,1
装扮,157,res/entity/140021/face.ktx,2
装扮,158,res/entity/140021/face.png,1
装扮,159,res/entity/140021/face.pvr,2
装扮,160,res/entity/140021/face_100100.ktx,2
装扮,161,res/entity/140021/face_100100.png,1
装扮,162,res/entity/140021/face_100100.pvr,2
装扮,163,res/entity/140021/face_100108.ktx,2
装扮,164,res/entity/140021/face_100108.png,1
装扮,165,res/entity/140021/face_100108.pvr,2
装扮,166,res/entity/140021/hulu.ktx,2
装扮,167,res/entity/140021/hulu.png,1
装扮,168,res/entity/140021/hulu.pvr,2
装扮,169,res/entity/140021/male.ktx,2
装扮,170,res/entity/140021/male.png,1
装扮,171,res/entity/140021/male.pvr,2
装扮,172,res/entity/140022/body.omod,1
装扮,173,res/entity/140022/cat.ktx,2
装扮,174,res/entity/140022/cat.png,1
装扮,175,res/entity/140022/cat.pvr,2
装扮,176,res/entity/140022/face.ktx,2
装扮,177,res/entity/140022/face.png,1
装扮,178,res/entity/140022/face.pvr,2
装扮,179,res/entity/140022/face_100100.ktx,2
装扮,180,res/entity/140022/face_100100.png,1
装扮,181,res/entity/140022/face_100100.pvr,2
装扮,182,res/entity/140022/face_100108.ktx,2
装扮,183,res/entity/140022/face_100108.png,1
装扮,184,res/entity/140022/face_100108.pvr,2
装扮,185,res/entity/140022/face_100155.ktx,2
装扮,186,res/entity/140022/face_100155.png,1
装扮,187,res/entity/140022/face_100155.pvr,2
装扮,188,res/entity/140022/male.ktx,2
装扮,189,res/entity/140022/male.png,1
装扮,190,res/entity/140022/male.pvr,2
装扮,191,res/entity/140023/baozi.ktx,2
装扮,192,res/entity/140023/baozi.png,1
装扮,193,res/entity/140023/baozi.pvr,2
装扮,194,res/entity/140023/body.ktx,2
装扮,195,res/entity/140023/body.omod,1
装扮,196,res/entity/140023/body.png,1
装扮,197,res/entity/140023/body.pvr,2
装扮,198,res/entity/140023/face.ktx,2
装扮,199,res/entity/140023/face.png,1
装扮,200,res/entity/140023/face.pvr,2
装扮,201,res/entity/140023/face_100100.ktx,2
装扮,202,res/entity/140023/face_100100.png,1
装扮,203,res/entity/140023/face_100100.pvr,2
装扮,204,res/entity/140023/face_100108.ktx,2
装扮,205,res/entity/140023/face_100108.png,1
装扮,206,res/entity/140023/face_100108.pvr,2
装扮,207,res/entity/140023/face_100130.ktx,2
装扮,208,res/entity/140023/face_100130.png,1
装扮,209,res/entity/140023/face_100130.pvr,2
装扮,210,res/entity/140023/yusan.ktx,2
装扮,211,res/entity/140023/yusan.png,1
装扮,212,res/entity/140023/yusan.pvr,2
装扮,213,res/entity/140024/body.ktx,2
装扮,214,res/entity/140024/body.omod,1
装扮,215,res/entity/140024/body.png,1
装扮,216,res/entity/140024/body.pvr,2
装扮,217,res/entity/140024/face.ktx,2
装扮,218,res/entity/140024/face.png,1
装扮,219,res/entity/140024/face.pvr,2
装扮,220,res/entity/140024/face_100108.ktx,2
