功能ID,子ID（0=整个功能，其余=子功能ID）,海外LITE（字段名：LITE+渠道号，目前的数字是随便填的，0=保留资源，1=去除资源）,教育版LITE（同左）,盒子版LITE（同左）,功能名称,子功能名称
FunctionID,SubID,LITE375,LITE501,LITE406,备注用,备注用
1,0,,,,进入游戏界面,
2,0,,1,1,主界面,
3,0,,1,1,开始游戏,
4,0,,1,1,迷你工坊,
5,0,,1,1,联机大厅,
6,0,,1,1,家园,
7,0,1,1,1,商店,
8,0,1,1,1,好友,
9,0,,1,1,公告福利活动,
10,0,1,1,1,邮件,
11,0,,1,1,个人中心,全部
11,1,,1,,个人中心,地图
11,2,,1,,个人中心,动态
11,3,,1,,个人中心,相册
11,4,1,1,1,个人中心,勋章
11,5,1,1,1,个人中心,设置
11,6,,1,,个人中心,头像设置
12,0,,1,,系统公告,
13,0,,,,设置菜单,
14,0,,,,账号设置,
15,0,,1,1,游戏设置,
16,0,,,,SDK,
17,0,,1,1,分享,
18,0,,1,1,进入地图loading界面,
19,0,,,,社区,
20,0,1,1,1,直播,
21,0,1,1,1,订阅,
22,0,1,1,1,迷你豆显示,
23,0,1,1,1,迷你币显示,
24,0,1,1,1,买烟花,
25,0,1,1,1,开多人房间,
26,0,,1,,录像,
27,0,,1,1,data,全部
27,1,,,,data,avatar
27,2,1,1,1,data,公告图片
