皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移
ID,Name,Model,TextureID,Head,EffectType,Effect,EffectType2,Effect2,ShowTimeEffect,UseDays1,MoneyType1,ItemID1,Price1,UseDays2,MoneyType2,ItemID2,Price2,UseDays3,MoneyType3,ItemID3,Price3,Desc,BuyTipsType,BuyTips,Tag,LimitBeginTime,LimitEndTime,OpenApiId,Sound,Height,Width,Thickness,HitHeight,HitWidth,HitThickness,FeatureType1,EffectIcon1,EffectDesc1,FeatureType2,EffectIcon2,EffectDesc2,FeatureType3,EffectIcon3,EffectDesc3,FeatureType4,EffectIcon4,EffectDesc4,FeatureType5,EffectIcon5,EffectDesc5,FeatureType6,EffectIcon6,EffectDesc6,BackgroundPic,BackgroundAnim,Backanim_x,GifLogo,ChangeType,ChangeContact,ChangeLogo,Window,CarryingHeight,Arbody,,PreSkin,HeadFrames,Animact,UnlockItem,Pitcure,ActID,ChangeSkinID,FrontID,ChangeOrder,ShowType,SoundScope,ShowSound,Interval1,FirstTime1,IdleTime,Interval2,FirstTime2,DeathSound,Interval3,SocialTime,Interval4,FirstTime3,LightCondition,IllusionEffect,IllusionPre,Specification,ActOrder,SummonID,ChangeCondition,ChangeEffect,ChangeTime,Geniusbuff,JumpScence,ShopTabBkg,AvtPartType,ItemShowInfo
1,胖哒,140002,,31,1,140002,,,,7,12960,,90,30,2,,180,-1,2,,300,傲娇的熊猫男孩，最爱嘎嘣脆的竹子！,,装扮卡片可在家园果实中获得！（适度娱乐理性消费）,,,,0,skin1,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下熊猫脚印。,,headicon,头像：解锁胖哒头像。,,,,,,,,,,,,,,,0,,,,,,180,,1,,,,13021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,齐天小圣,140003,,32,1,140003,,,,,,,,,,,,-1,2,,200,猴年春节限量发售，齐天小圣陪你欢度新春！,,装扮卡片可在家园果实中获得！（适度娱乐理性消费）,1,1464537600,1465833600,0,skin3,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下祥云。,,headicon,头像：解锁齐天小圣头像。,,,,,,,,,,,,,dtxx_beijingtu07,,0,,,,,,180,,,,,,13022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,兔美美,140001,,30,1,140001,,,,7,12960,,90,30,2,,180,-1,2,,300,萌萌哒兔女孩，走过的地方会留下萝卜脚印。,,装扮卡片可在家园果实中获得！（适度娱乐理性消费）,,,,0,skin2,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下萝卜脚印。,,headicon,头像：解锁兔美美头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,迷斯拉,140004,,33,1,140004,,,,7,12960,,150,30,2,,180,-1,2,,300,哗哗哗！在原始世界要小心迷斯拉！,,装扮卡片可在家园果实中获得！（适度娱乐理性消费）,,,,0,skin4,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下恐龙爪印。,,headicon,头像：解锁迷斯拉头像。,,,,,,,,,,,,,,,0,,,,,,180,,1,,,,13024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,琉璃酱,140005,,34,1,140005,,,,,,,,,,,,-1,3,20029,400,叮！呤~欢迎来到喵喵咖啡厅！,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,,,,0,skin5,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下猫咪脚印。,,headicon,头像：解锁琉璃酱头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,乔治,140006,,35,1,140006,,,,,,,,,,,,-1,3,20060,500,喜欢运动和音乐的阳光少年。,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,,,,0,skin6,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下蓝色爱心。,,headicon,头像：解锁乔治头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,安妮,140007,,36,1,140007,,,,,,,,,,,,-1,3,20061,500,喜欢跳舞和点心的元气少女。,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,,,,0,skin7,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下红色爱心。,,headicon,头像：解锁安妮头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,墨家小飞,140008,,37,1,140008,2,shin_8_back,,,,,,,,,,-1,2,,600,古老的墨家一员，是制作机关的高手。,2,暂未开放获得。,,1443628800,1444406400,0,skin8,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下风之翼。,,headicon,头像：解锁机关师头像。,,flyaction,创造模式特殊飞行动作,,flyeffect,创造模式飞行特效,,,,,,,,,0,,,,,,180,,,,,,13028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,德古拉六世,140009,,38,3,140009,,,140009_1,,,,,,,,,-1,2,,256,接受了初拥的王室后裔，永远高雅、冷酷。,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,1478102400,1478275200,0,skin9,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着血雾与黑色蝙蝠。,,headicon,头像：解锁伯爵头像。,,,,,,,,,,,,,,,0,,,,,1.7,180,,,,,,13029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
