ID,名称
ID,Name
10001,أيقونة 2
10002,أيقونة 1
10003,
10004,
10005,أيقونة 169
10006,أيقونة 170
10007,أيقونة 171
10008,أيقونة 26
10009,أيقونة 172
10010,أيقونة 27
10011,العلامة 2
10012,العلامة 1
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,زر 3
10022,اللوح الأساس 49
10023,اللوح الأساسي 78
10024,الزر 46
10025,الزر 47
10026,زر 48
10027,التسمية 61
10028,زر 4
10029,زر 5
10030,زر 6
10031,اللوح الأساس 30
10032,اللوح الأساس 40
10033,اللوح الأساس 41
10034,اللوح الأساس 42
10035,اللوح الأساسي 43
10036,اللوح 44
10037,اللوح الأساس 45
10038,اللوح الأساس 46
10039,اللوح الأساسي 47
10040,اللوح الأساسي 48
10041,التسمية 11
10042,خلفية الغلاف 1
10043,اللوح 59
10044,خلفية الغلاف 2
10045,خلفية الغلاف 3
10046,خلفية الغلاف 4
10047,اللوح 97
10048,خلفية الغلاف 5
10049,خلفية 6
10050,اللوح 60
10051,
10052,
10053,
10054,
10055,
10056,
10057,
10058,
10059,
10060,
10061,
10062,
10063,
10064,
10065,
10066,أيقونة 173
10067,أيقونة 174
10068,أيقونة 28
10069,أيقونة 175
10070,أيقونة 176
10071,أيقونة 29
10072,أيقونة 177
10073,أيقونة 178
10074,أيقونة 30
10075,أيقونة 179
10076,أيقونة 31
10077,أيقونة 32
10078,أيقونة 33
10079,أيقونة 34
10080,أيقونة 35
10081,أيقونة 36
10082,أيقونة 37
10083,أيقونة 38
10084,أيقونة 39
10085,أيقونة 180
10086,أيقونة 181
10087,أيقونة 182
10088,أيقونة 183
10089,أيقونة 40
10090,أيقونة 156
10091,أيقونة 157
10092,أيقونة 41
10093,أيقونة 42
10094,أيقونة 184
10095,أيقونة 43
10096,أيقونة 44
10097,أيقونة 45
10098,أيقونة 46
10099,أيقونة 47
10100,أيقونة 48
10101,أيقونة 49
10102,أيقونة 50
10103,أيقونة 51
10104,أيقونة 52
10105,أيقونة 53
10106,أيقونة 54
10107,أيقونة 55
10108,أيقونة 56
10109,أيقونة 57
10110,أيقونة 58
10111,أيقونة 59
10112,أيقونة 60
10113,أيقونة 61
10114,أيقونة 104
10115,أيقونة 105
10116,أيقونة 15
10117,التسمية 12
10118,التسمية 13
10119,التسمية 14
10120,العلامة 15
10121,العلامة 16
10122,التسمية 17
10123,التسمية 18
10124,التسمية 19
10125,العلامة 20
10126,التسمية 21
10127,العلامة 22
10128,التسمية 23
10129,التسمية 24
10130,العلامة 25
10131,التسمية 26
10132,التسمية 27
10133,التسمية 28
10134,التسمية 29
10135,التسمية 30
10136,التسمية 31
10137,التسمية 32
10138,العلامة 33
10139,التسمية 34
10140,زر 7
10141,زر 8
10142,زر 9
10143,زر 10
10144,الزر 11
10145,الزر 12
10146,الزر 13
10147,الزر 49
10148,التسمية 62
10149,التسمية 63
10150,زر 50
10151,زر 51
10152,زر 52
10153,زر 53
10154,اللوح 61
10155,زر 67
10156,زر 68
10157,زر 69
10158,زر 70
