ID,名字
ID,EnumName
100101,"السرعة الأساسية "
100102,سرعة الركض
100103,سرعة السباحة
100104,"سرعة الغوص "
100201,HP
100202,درجة الجوع
100203,درجة الحرارة
100301,ضرر الاشتباك
100302,ضرر الاشتباك البعيد
100303,"ضرر التفجر "
100304,"ضرر الاحتراق "
100305,ضرر التسمم
100306,ضرر الفوضى
100307,الضرر للنخبة
100308,الضرر للحيوانات
100309,الضرر المتسبب للاعبين
100310,الضرر المتسبب للرجل البري
100311,جميع أنواع الضرر
100313,أضرار التجميد
100401,ضرر الاشتباك
100402,الضرر عن بعد
100403,"ضرر الانفجار "
100404,"ضرر الاحتراق "
100405,ضرر التسمم
100406,ضرر الفوضى
100407,الضرر من النخبة
100408,الضرر الناتج عن الحيوانات البرية
100409,"الضرر القادم من اللاعبين "
100410,الضرر القادم من الرجل البري
100411,أضرار السقوط
100412,"كل الأضرار "
100413,أضرار التجميد
100501,دفاع الاشتباك
100502,الدفاع عن بعد
100503,الدفاع عن الانفجار
100504,مقاومة النار
100505,مقاومة السموم
100506,مقاومة الالتباس
100507,كل أنواع الدفاع
100508,المقاومة للتجمد
100601,الحفر
100602,القنص
100701,كل الجسد
100702,الرأس
100801,"تحت الماء "
100802,"في الفضاء "
100901,الهجوم القريب
100902,الهجوم عن بعد
100903,هجوم انفجار
100904,هجوم حرق
100905,هجوم سام
100906,هجوم الفوضى
100907,كل أنواع الهجوم
100908,هجوم التجميد
101001,الضرر عن قرب
101002,الضرر عن بعد
101003,"ضرر الانفجار "
101004,"ضرر الاحتراق "
101005,ضرر التسمم
101006,"ضرر الفوضى "
101007,ضرر حقيقي
101008,أضرار التجميد
101101,نقاط الطاقة
101102,تطوير طاقة الجسد
101201,كل مجهود بدني
101202,الركض
101203,السباحة
101204,القفز ركضا
101205,"احفر الكتل "
101206,الشحن بالأدوات
101301,كل حالة استعادة القدرة على التحمل
101302,عاطل
101303,المشي
101304,الغوص
101401,رياضة شرسة
101402,الركض
101403,"حفر الكتل "
101404,استخدم الأدوات للشحن
101405,"القفز للمرة الثانية "
101406,الهجوم
101501,درجة حرارة منخفضة
101502,درجة حرارة عالية
101601,كل
101602,كتلة المياه
101603,كتلة الرمال المتحركة
101604,كتلة العسل
101605,كتلة الحمم
101701,لا شيء
101702,الخام
101703,مشوي
101704,المغلي
101705,الطب
101801,الكل
101802,نقاط الصحة
101803,نقاط القدرة على البقاء
101804,الدروع
101805,يتم حل الخلاف
101806,أكسجين
