ID,名称
ID,name
11311,بولة
11423,أوراق جوز الهند العملاقة المغتربة
11603,رمز التعديل الضعيف
11604,رمز الهجوم المتوسط
11605,رمز الهجوم المتقدم
11606,الرمز التعريفي للدفاع المنخفض
11607,رمز وسطي للدفاع
11608,يرمز رمز الدفاع المتقدم
11609,رمز تعزيز الكفاءة المنخفضة
11610,الرمز التشغيلي الفائق المتوسط
11611,رمز تشغيل متقدم.
11657,عصا متوهجة
12615,عشب البحر الخام
12616,خريطة الكنز قارورة من الزجاج
13600,أسماك الفانوس
13602,شعاع
13604,أسماك جوجو زرقاء فاتحة
13605,أسمالك جوجو زرقاء غامقة
13606,سمكة جوجو السوداء
13607,سمكة غريبة زرقاء فاتح
13608,سمكة قبيحة ورية
13609,سمكة جوجو الذهبية
13610,سمكة غريبة ذهبية
13611,سمكة قبيحة ذهبية
13612,سمكة جوجو الوردية
13613,سمكة غربية صفراء
13614,سمكة قبيحة أرجوانية
13615,سمكة غربية خضراء
13616,سمكة قبيحة مخططة
13617,سمكة غربية حمراء
13618,سمكة جوجو الحمراء
13619,سمكة قبيحة برتقالية
13621,السلطعون
13623,فرس البحر
13624,فرس البحر الصغير
13626,قنديل البحر
13627,السمك الطائر
13628,القرش
13629,سمكة الشيطان
13630,أسماك الطحالب الفلورية
245,النباتات المائية
247,بتلات عائمة
248,لوح عائم
250,لوتس
27,زجاجة الانجراف البعيدة
295,جوز الهند الكبير
314,الطحالب الحمراء
486,قرن المرجان
487,قرن المرجان الأبيض
488,فقاعة المرجان
489,ابيض فقاعة المرجان
490,قرص المرجان
491,القرص الرجاني الأبيض
492,شجرة المرجان
493,ألبينو شجرة المرجان
