ID,名字,类型名称
ID,Name,TypeName
1,تحويل,تحرك
2,"يسار ",تحرك
3,الماء الساكن,تحرك
4,إلى الوراء,تحرك
5,القفز,تحرك
6,وشى,
9,تجاهل,المخزون
10,"شريط  ساحن ",المخزون
11,,المخزون
12,شريط ساخن 3,المخزون
13,شريط ساخن 4,المخزون
14,شريط ساحن 5,المخزون
15,شريط ساحن 6,المخزون
16,شريط ساحن 7,المخزون
17,شريط ساخن 8,المخزون
18,مخزون,المخزون
19,الشات,اللعب الجماعي
20,,اللعب الجماعي
21,"الاهداف ","اللعب الجماعي "
22,الانجازات,الوظائف
23,الخريطة,الوظائف
24,التعدد,الوظائف
25,اعدادات النموذج الحر,الوظائف
26,الحالة,الوظائف
27,المستودع,الوظائف
28,البشرة,الوظائف
29,شراء,الوظائف
30,اعادة تحميل,المخزون
31,تبديل الصوت,لعبة متعددة اللاعبين
32,تبديل الميكروفون,لعبة متعددة اللاعبين
33,مكتبة الموارد,وظيفة
34,نافذة عائمة للمطور,وظيفة
35,شريط سريع يسار الصفحة,وظيفة
36,شريط سريع الصفحة الصحيحة,وظيفة
37,واجهة الموارد,وظيفة
38,سكربت,وظيفة
39,محرر أول,وظيفة
40,الزناد,وظيفة
