ID,描述
ID,Desc
1000,الطقس
1001,المنطقة
1002,الموقع
1003,الوجهة
1004,الرؤية
1005,القيمة
1006,مكوّنات الاحدائيّة
1007,وحدة قياس الزاوية
1008,قاعدة لوغاريتم ثابتة
1009,تحويل الأعداد الصحيحة
1010,شريط الشخصيات
1011,نوع الضرر
1012,نعم/لا
1013,تبديل
1014,قيمة منطقية
1015,أقصى وأدنى حدّ
1016,عامل مقارنة
1017,عامل رياضيّات
1018,لاعب
1019,مجموعة لاعبين
1020,صفات اللاعب
1021,حالة الحركة
1022,اعداد اللاعب
1023,فريق
1024,صفات الفريق
1025,نوع الكتلة
1026,اعداد الكتلة
1027,عنصر
1028,نوع العنصر
1029,نوع القذيفة
1030,عنصر السقوط
1031,مخلوق
1032,نوع المخلوق
1033,مجموعة المخلوقات
1034,حالة حركة المخلوق
1035,صفة المخلوق
1036,اعداد المخلوق
1037,حالة
1038,تحفيز
1039,مجموعة تحفيزات
1040,مؤقّت
1041,ايموجي
1042,متغيّر خاص
1043,الدوال المثلّثية
1044,قذيفة
1045,نوع التأثير الخاصّ
1046,تأثير صوتيّ
1047,اتّجاه
1048,شيء
1049,نبرة
1050,سيناريو
1051,مفتاح
1052,شريط مختصر
1053,قيمة عشوائيّة
1054,شريط معدّات
1055,نوع المعدّات
1056,اللون
1057,عرض المعلومات
1058,نوع عرض المعلومات
1059,منتج
1060,نوع الظهور
1061,أيّ مجموعة
1062,موقع المجموعة
1063,منطقة المجموعة
1064,مجموعة رقميّة
1065,مجموعة الشرائط
1066,مجموعة منطقيّة
1067,مجموعة نوع الكتل
1068,مجموعة نوع العنصر
1069,مجموعة نوع المخلوق
1070,مجموعة المؤقّت
1071,مجموعة نوع التأثير الخاصّ
1072,تصنيف
1073,رابط الفيديو
1074,واجهه المستخدم
1075,عنصر
1076,قالب النمط
1077,طريقة النقل
1078,وحدة الوقت
1079,حالة الصفحة
1080,موسيقى
1081,إيقاف مؤقت لاستئناف
1082,عرض نافذة
1083,كائن عالمي
1084,ليدربورد
1085,جدول
1086,وضع اللعب
1101,تحديد الصفحة
1137,مجموعة التضاريس
