ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,I need some wood,"Collect wood, get a wood block #r (long press the trunk to collect)",Collect #cfa7a0fWood Block
1001,Craft!,"Use any wood to make planks, and use 4 planks to make 1 toolbox #r (open the backpack first, and choose to make by the label on the left)",Make #cfa7a0fToolbox
1002,Boarman must die!,Make wood stick with wood boards and sticks #r(Need the toolbox. Beginner weapon.),Make #cfa7a0fWooden Stick
1003,Junior Miner,Make wood mining pickaxe with wood boards and sticks #r(Need the toolbox. Dig a hole for hiding before sunset),Make #cfa7a0fWooden Pickaxe
1004,Farming lifestyle!,Make wooden hoes with wood boards and sticks #r(Need the toolbox. Turn soil into cultivated land),Make #cfa7a0fWooden Hoe
1005,First fight,A savage is defeated. He seems to wear a beast head #r(Savages are dangerous and they appear at night),Defeat #cfa7a0fBoarman
1006,Barbecue time!,Make a smelting furnace with 8 stones @1#r(Needs toolbox. Can melt minerals),Make #cfa7a0fSmelting Furnace
1007,Blessing,Weed and get wheat seeds @1#r (Long press weed and you have a chance to get wheat seeds),Obtain #cfa7a0fWheat Seed
1008,Charcoal burner,Burn wood with wooden materials to get charcoals@1#r(Need the smelting furnace. Can be used to make torch for lighting),Make #cfa7a0fCharcoal
1009,Iron ingots,Smelt iron ores to get iron ingots @1#r(Smelting furnace is required),Make #cfa7a0fIron Ingot
1010,Senior Miner,Make an iron mining pickaxe with iron ingots and wood stick #r(the iron mining pickaxe can collect diamond mine),Make #cfa7a0fIron Pickaxe
1011,I am rich!,Collect gold ores with the iron mining pickaxe or diamond pickaxe #r(Deep in the earth),Collect #cfa7a0fGold Ore
1012,"Wow, diamonds!",Collect diamond ores with iron mining pickaxe or diamond pickaxe #r(deep in the earth),Collect #cfa7a0fDiamond Ore
1013,First electric shock,Collect carbide ores with iron mining pickaxe or diamond pickaxe #r(deep in the earth),Collect #cfa7a0fLithium Ores
1014,Hard tool,Collect black spars with the diamond pickaxe #r (May appear near the magma),Collect #cfa7a0fBlack Crystal
1015,Magician,Make a fusion enchanting box #r (Need the toolbox. Can enchant tools),Make #cfa7a0fEnchantment Box
1016,It's looking at me,Defeat the Fantom and get the Eye of Earth Core#r (Eye of Earth Core seems to fly to somewhere),Obtain #cfa7a0fEye Of The Earth Core
1017,Ancient gems,"Obtain ancient gems from the dungeon, throw them away and pick them up, because it exudes ancient magic...",Obtain #cfa7a0fAncient Gems
1018,Portal Frame Stone,"Ancient gems and black spar, etc. #L#cfa7a0f Portal Frame Stone #n",Craft #cfa7a0fPortal Frame Stone
1022,Coreworld Portal,Make a portal block and fill the door frame of the portal to open the portal#r (2*3 space in the center),Craft #cfa7a0fPortal Frame Stone
1023,Another world,Enter the earth core and defeat the lava giant @1#r (the world is full of flames),Defeat #cfa7a0fMagma Monster
1024,Dragon Slayer,Defeat Ancient Black Dragon on Flamas @1,Defeat #cfa7a0fAncient Black Dragon
1025,Souvenir,Pick up #L#cfa7a0f Black Dragon Statue #n@1#r (it seems that the boarman are afraid of the black dragon statue),Pick up #cfa7a0fblack dragon statue
1026,The unknown world,Is this the end? This is just the beginning! #r (Someone: I will be back),The unknown #cfa7a0fworld
1027,Iron bucket,Make 1 #L#cfa7a0f iron bucket #n to fetch water#r (1 grid of water to irrigate the surrounding 4 grids of farmland),Make #cfa7a0firon bucket
1028,Sowing season,Use #L#cfa7a0f wheat seeds #n to plant #r on farmland (can only be planted on farmland),Plant #cfa7a0fwheat seed
1029,Harvest season,Obtain #L#cfa7a0f wheat #n#r (Wheat can only be obtained after the crops grow and mature),Harvest #cfa7a0fWheat
1030,Bake bread,"Make 1 #L#cfa7a0f wheat bread #n@1#r (eat one at any time, you won’t be hungry)",Make #cfa7a0fBread
1031,Baker,Make 1 #L#cfa7a0f long bread#n@1,Make #cfa7a0fLong Bread
1032,Cake Baker,Make #L#cfa7a0f cake #n@1,Make a #cfa7a0fcake
1033,Matador,"Defeat the cow to get #L#cfa7a0f raw steak #n@1#r (the cow eats the grass, moo moo)",Get #cfa7a0fraw beef
1034,Leather,Defeat the cow to get #L#cfa7a0f soft leather #n@1,Get #cfa7a0f leather
1035,Roast steak,Use a smelting furnace to make #L#cfa7a0f roasted steak #n@1,Roast #cfa7a0fsteak
1036,Run! Chicks,"Defeat chicken to get #L#cfa7a0f raw chicken #n@1#r (chicken eats wheat seeds, chirp chirp)",Get #cfa7a0fraw chicken
1037,Gold eggs & silver eggs,Pick up #L#cfa7a0f eggs #n@1,Get #cfa7a0feggs
1038,Roast chicken,Use a smelting furnace to make #L#cfa7a0f roasted chicken #n@1,Roast #cfa7a0fchicken
