id,地形名称
id,Name
-1,Attempts
1000,Shallow Sea
1001,Grassland
1002,Desert
1003,Forest
1004,Cliff
1005,Swamp
1006,Coniferous Forest
1007,Jungle
1008,Icefield
1009,Frozen Ocean
1010,Frozen River
1011,Red Clay
1012,Red Clay Coast
1013,Desert Hill
1014,Forest Hill
1015,Coniferous Hill
1016,Iceberg
1017,Jungle Hill
1018,River
1019,Beach
1020,Cliff Edge
1021,Lava Land
1022,Floating Island
1023,Basin
1024,Basin Edge
1025,Bamboo Forest Basin
1026,Peach Basin
1027,Plain
1028,Hills
1029,Altar Plain
1030,Mountain
1031,Terrain
1032,Planet Floating Island
1033,Planet Floating Island
1034,Planet Floating Island
1035,Planet  Floating Island
1036,Planet  Floating Island
1037,Planet  Floating Island
1038,Floating Island Edge
1039,Rainforest
1040,Floating Island Plain
1041,Grassland Floating Island
1042,Volcanic Peak
1043,Volcanic Plain
1044,Volcanic Mountain
1045,Volcanic Lava River
1046,Crater
1047,Oasis
1048,Desert Lake
1049,Deep Sea
1050,Desert Island Coast
1051,Desert Island Center
1052,Red Clay Island Coast
1053,Red Clay Island Center
1054,Coral Island Coast
1055,Coral Island Center
1056,Snow Coniferous Forest
1057,Snow Mountain Peak
1058,Snow Mountain Secondary Peak
1059,Snow Mountain Ridge
1060,Snow Mountain Central Range
1061,Snow Mountain Base
1062,Snow Mountain Secondary Peak Central Range
1063,Frozen Lake
1064,Valley
1065,Valley Edge
