ID,名称
ID,Name
1000,Weather
1001,Area
1002,Location
1003,Orientation
1004,View
1005,Value
1006,Coordinate Component
1007,Angle Unit
1008,Fixed Base Logarithm
1009,Rounding Method
1010,String
1011,Damage Type
1012,Yes/No
1013,Switch
1014,Boolean Value
1015,Max and Min
1016,Comparison Operator
1017,Math Operator
1018,Player
1019,Player Group
1020,Player Attributes
1021,Motion Status
1022,Player Settings
1023,Team
1024,Team Attribute
1025,Block Type
1026,Block Settings
1027,Item
1028,Item Type
1029,Projectile Type
1030,Drops
1031,Creature
1032,Creature Type
1033,Creature Group
1034,Creature Action Status
1035,Creature Attribute
1036,Creature Settings
1037,Status
1038,Trigger
1039,Trigger Group
1040,Timer
1041,Emote
1042,Private Variable
1043,Trigonometry
1044,Projectile
1045,Special Effect Type
1046,Sound Effect
1047,Direction
1048,Object
1049,Tone
1050,Script
1051,Key
1052,Quick Bar Key
1053,Any Value
1054,Equipment Bar
1055,Equipment Type
1056,Color
1057,Display Info
1058,Display Info Type
1059,Item
1060,Appearance Type
1061,Any Group
1062,Location Group
1063,Area Group
1064,Numerical Group
1065,String Group
1066,Boolean Group
1067,Block Type Group
1068,Item Type Group
1069,Creature Type Group
1070,Timer Group
1071,Special Effect Type
1072,Sort
1073,Video Link
1074,Interface
1075,Unit
1076,Pattern Template
1077,Movement Mode
1078,Time Unit
1079,Page Status
1080,Music
1081,Pause Restoration
1082,Display Panel
1083,Global Object
1084,Ranking List
1085,Table
1086,Play Mode
1087,Condition
1088,Stop Logic
1089,Action Block Slot
1090,Message
1091,Integer
1092,Victory Status
1093,Display Status
1094,Similarity Detection Mode
1095,Block Detection Mode
1096,Parameter Detection Mode
1097,Programming Object
1098,Block Answer
1099,Item Attribute
1100,Drop Method
1101,Specify Page
1102,Action Play Mode
1103,Item Library
1104,Item Bar
1105,Backpack Item Bar
1106,Object Type
1107,Blueprint
1108,Angle
1109,Mirror Image
1110,Coverage Rules
1111,Play Mode Ranking List
1112,Easing Curve
1113,Width & Height
1114,0
1115,Display Animations
1116,Hide Animation
1117,Animation
1118,Select Text Animation
1119,2D Coordinate Component
1120,Increase/Decrease
1121,Unit Animation
1122,Text Animation
1123,Unit Smooth Motion
1124,Skybox Time
1125,Skybox Textures
1126,Skybox Color
1127,Skybox Parameter
1128,Environmental Particle Parameters
1129,Filter Parameter
1130,Camera Settings
1131,Rotation Mode
1132,Camera Attribute
1133,Axial
1134,Skybox Template
1135,Color Correction
1136,Filter Template
1137,Terrain Group
1138,Skin Item
1139,Skybox Switch
1140,Filter Switch
1201,Object Group
1203,Break Rules — Triggered when condition changes
1204,Parallel Success Rules
1205,Parallel Failure Rules
1206,Team relation
1207,Actual team
1208,Team
1209,Direction
1210,Rate Map
