ID,名字
ID,EnumName
100101,Basic Speed
100102,Running Speed
100103,Swimming Speed
100104,Stealth Speed
100201,HP
100202,Hunger
100203,Temperature
100301,Melee Damage
100302,Ranged Damage
100303,Blast Damage
100304,Burning Damage
100305,Poison Damage
100306,Chaos Damage
100307,Damage to Elites
100308,Damage to Beasts
100309,Damage to Players
100310,Damage to Boarmen
100311,All Damage
100313,Freezing Damage
100401,Melee Damage
100402,Ranged Damage
100403,Blast Damage
100404,Burning Damage
100405,Poison Damage
100406,Chaos Damage
100407,Damage from Elites
100408,Damage from Beasts
100409,Damage from Players
100410,Damage from Boarmen
100411,Falling Damage
100412,All Damage
100413,Freezing Damage
100501,Melee Defense
100502,Ranged Defense
100503,Blast Defense
100504,Burning Resistance
100505,Poison Resistance
100506,Chaos Resistance
100507,All Defense
100508,Frozen Resistance
100601,Dig
100602,Hunt
100701,Body
100702,Head
100801,Underwater
100802,Space
100901,Melee Attack
100902,Ranged Attack
100903,Blast Attack
100904,Burning Attack
100905,Poison Attack
100906,Chaos Attack
100907,All Attack
100908,Freezing Attack
101001,Melee Damage
101002,Ranged Damage
101003,Blast Damage
101004,Burning Damage
101005,Poison Damage
101006,Chaos Damage
101007,True Damage
101008,Freezing Damage
101101,Stamina
101102,Increase Stamina
101201,All Stamina-depleting Actions
101202,Run
101203,Swim
101204,Running Jump
101205,Dig Block
101206,Charging with Tools
101301,All Stamina Recovery Status
101302,Static
101303,Walk
101304,Stealth
101401,Intense Exercise
101402,Running Jump
101403,Swim
101404,Running Jump
101405,Dig Block
101406,Charging with Tools
101501,Low Temperature
101502,High Temperature
101601,All
101602,Water
101603,Quicksand
101604,Honey Block
101605,Lava
101701,All
101702,Raw
101703,Roasted
101704,Boiled
101705,Medicine
101801,All
101802,HP
101803,Stamina
101804,Shield
101805,Firmness
101806,Oxygen
