ID,名字,属性描述
ID,Name,AttrDesc
5,Knockup,The Melee Attack will knock up the target by 12 grids upward.
6,Sharp,Melee Attack damage +35
7,Human Hunter,Melee Attack damage to Humans +60
8,Animal Hunter,Melee Attack damage to Animals +60
9,Monster Hunter,Melee Attack damage to Sulfur Archers and Lava Giants +60
10,Burning,The attack will burn the target for 3 sec and deal 25 damage per sec.
11,Knockback,The attack will knock back the target by 10 grids.
12,Lucky Hunting,There's a 20%/15%/15% chance to get double/triple/quadruple drops when defeating creatures.
13,Powerful Shoot,Increases Arrow Shooting damage by 125%.
14,Unlimited Shot,You'll be able to shoot without arrows. Each shot consumes 1 extra Durability.
15,Durability,Increases the item Durability by 320%.
16,Melee Resistance,Melee Resistance increases by 15.
17,Ranged Resistance,Ranged Resistance increases by 15.
18,Blast Resistance,Blast Resistance increases by 15.
19,Burning Resistance,Flame Resistance increases by 15.
20,Poison Resistance,Poison Resistance increases by 15.
21,Chaos Resistance,Chaos Resistance increases by 15.
22,Counterstrike,There's a 50% chance to deal 25 damage to the attacker when taking Melee Damage.
23,Knockback Resistance,Reduces the knockback distance by 5 grids when being attacked.
24,Precise Collection,"When you collect Blocks, they will drop."
25,Speed,Increases the Collection Speed by 250%.
26,Lucky Digging,Pickaxe: There's a 20%/10%/4% chance to get double/triple/quadruple ores when mining.
27,Blast Shot,The target will blast when hit by a Bow or an Arrow.
28,Dragon's Fall,Falling Damage reduces by 150 and Falling Speed reduces.
29,Spear Goblin,Melee Attack damage to Boarmen +60
30,Downhill (Greaves),Holding the Shift button when falling can increase the Falling Speed by 60% and reduce the Falling Damage by 25.
31,Wall Climbing (Shoes),You'll be able to climb on any side and consume 1 Durability every 2 sec.
32,Speed,Increases the Collection Speed by 30%.
