海外-英文敏感词（第3行=无效汉字过滤，第4行=无效数字过滤，第5行汉字拆分）,中文特殊检测[0=不检测，1=乱序检测，2=同音字检测，4=字母检测(如xjp/习近平），8=社交检测]（多种检测则将数字相加，命中几个加几个）,
FilterString,filtertype,filternum
十卝口和谐河蟹【】（），。、‘’“”{}-——：“|《》？·~；,,
1234567890一二三四五六七八九壹贰叁肆伍陆柒捌玖拾佰仟万亿零①②③④⑤⑥⑦⑧⑨〇壹貳參肆伍陸柒捌玖拾佰仟萬億零,,
强奸法轮功权輪,弓虽女干氵去车仑土力木又車侖,
{第二章,,
愛操,,
挨操,,
爱操,,
愛車轉讓,,
爱的10个条件,,
爱的家庭,,
爱的十个条件,,
愛迪,,
愛爾蘭共和軍,,
爱尔兰共和军,,
愛國運動,,
愛國者同盟,,
爱国者同盟,,
愛國者同盟網站,,
愛姐妹,,
艾可米来,,
埃裏克蘇特勤,,
艾麗絲,,
艾买提,,
艾呢美女图片,,
艾呢美女圖片,,
愛女人,,
爱女人,,
挨球,,
愛色cc,,
爱色cc,,
艾森豪威尔,,
艾森豪威爾,,
愛色吧,,
爱色吧,,
艾山买合苏木,,
艾斯海提,,
埃斯萬,,
艾司唑侖,,
愛他死,,
爱他死,,
愛田由,,
爱田由,,
愛液,,
爱液,,
愛幼閣,,
爱幼阁,,
愛幼人士,,
爱幼人士,,
愛滋,,
爱滋,,
艾滋,,
愛滋病,,
愛滋村裡的愛,,
爱滋村里的爱,,
艾孜来提,,
垵,,
安-眠-藥,,
肮脏美学,,
骯髒美學,,
安倍,,
安倍晉三,,
安倍晋三,,
安定片,,
安非他命,,
暗黑法師,,
安魂網,,
安拉,,
安拉&劫持&飛機,,
安拉&劫持&飞机,,
安立敏,,
安眠酮,,
安眠藥,,
按摩服務,,
按摩中心,,
安南,,
安全局,,
俺去也QVOD伦理资源站,,
俺去也QVOD倫理資源站,,
按照馬雅曆法,,
按照马雅历法,,
嶴,,
奥巴马,,
奧巴馬,,
奧克拉,,
奧拉德,,
奧利弗,,
奧倫,,
奧魯奇,,
奥马尔,,
奧馬爾,,
澳門國,,
澳门国,,
奥你媽的運,,
奧你媽的運,,
奧特蘭,,
凹暈,,
奥孕,,
奥暈,,
奧孕,,
奧暈,,
懊孕,,
懊運,,
奥運愛國t恤衫,,
奧運愛國t恤衫,,
澳洲光明網,,
澳洲光明网,,
阿扁,,
阿扁當心褲襠,,
啊扁濤哥,,
阿扁万岁,,
阿扁萬歲,,
阿波罗网,,
阿波羅網,,
阿波罗新闻网,,
阿波羅新聞網,,
阿不都艾尼,,
阿不都吉力力,,
阿卜杜勒,,
阿布都米吉提,,
阿不都热合曼,,
阿不來提,,
阿共,,
阿嬌艷照下載,,
阿拉,,
阿萊娜,,
阿拉伯,,
阿拉法特,,
阿罗约,,
阿羅約,,
阿魯納恰爾邦,,
阿鲁纳恰尔邦,,
阿弥陀佛,,
阿彌陀佛,,
阿塔汗,,
阿旺晉美,,
阿旺晋美,,
啊無卵,,
阿修罗,,
阿修羅,,
阿西尔白克,,
阿姨的偷窺,,
阿姨誘奸,,
阿姨誘姦,,
八96四,,
八9事件&坦克,,
掰B,,
白春礼,,
白春禮,,
百度空間有獎活動,,
白粉,,
白虎嫩B,,
白虎女,,
白虎少妇,,
白虎少婦,,
白虎阴穴,,
白虎陰穴,,
白軍,,
白莲教,,
白蓮教,,
白立朴,,
白立樸,,
白夢,,
百年祸国,,
白鳥櫻,,
白鸟樱,,
白鳥智香子,,
白鸟智香子,,
摆平胡锦涛,,
白皮書,,
白求恩,,
白色恐怖,,
白石日和,,
白石瞳,,
摆脱党文化,,
摆脱中共附体,,
擺脫中共附體,,
百万群众挺薄,,
百萬群眾挺薄,,
掰穴,,
白液四溅,,
白液四濺,,
白衣行动,,
