ID,名字,描述
ID,Name,Desc
1,Baby Mount,Can give birth to 1 baby mount after spending some time on the map. It can be sent to other players in the room.
2,Sprint,Movement Speed increases by 30% while charging.
3,Water Walking,"You'll be able to walk fast on water, but can't jump."
4,Hyperjump,Grants you superior jumping ability.
5,Gliding,You'll be able to fly and glide in the air.
6,Lava Walk,You'll be able to walk on surface covered with lava.
7,Dash,Press [Jump] after jumping to sprint forward.
9,Two-player Mount,It can carry two players. Invite your friend to mount it with you!
10,Air Leap,"You'll be able to leap in the air as you wish by pressing [Jump], but this will make you drop faster than ever."
11,Tenacious,Grants you high HP.
12,Drifting,You'll be able to float on water.
13,Dive,You'll be able to dive into the water.
14,Torrent,Press [Jump] in the water to sprint forward.
15,Autobot Attack,Sprint and smash forward.
16,Decepticon Cannon,Fire Cannons in straight lines.
17,Bumblebee Thrust,Sprint forward for a while.
18,Pounce,Long press [Jump] to charge to the full and apply a Slow debuff to creatures in front when landing on the ground.
19,Overawe,Long press [Jump] to charge to the full and knock back creatures in front at a short distance when landing on the ground.
20,Float,You'll be able to float in the air and travel short distances with no HP loss while falling.
21,Fly,You'll be able to fly in the air and travel short distances with no HP loss while falling.
22,Two-player Mount,It can carry two players. Invite your friend to mount it with you!
23,Energy Shield,An Energy Shield will be formed to protect you and your friends.
24,Single Mount,It can carry one player.
25,Air Alert,You'll be able to fly in the air and travel short distances with no HP loss while falling.
26,Red Lightning,Sprint forward for a while.
27,Fusion Laser,Fire Cannons in straight lines.
28,Inferno Fire,"Tap [Attack] to shoot out flames, inflicting a burning debuff on creatures in front."
29,Abyss Fire,"Tap [Attack] to shoot out flames, inflicting a burning debuff on creatures in front."
30,Flutter,Long press [Jump] to fly for a short distance in the air with no HP loss while falling.
31,Spread Wings,Long press [Jump] to fly for a long distance in the air with no HP loss while falling.
32,Dragon Roar,Tap [Attack] to roar and apply a Slow debuff to creatures in front.
33,Swift Wing,Long press [Jump] to fly for a short distance in the air with no HP loss while falling.
34,Bone Sweep,"Tap [Attack] to shake the tail, dealing 3 damage to creatures in the sector area in the back."
35,Starlight,Shoot stars upwards for illumination with a cooldown of 15 sec.
36,Moonlight,Long press [Jump] to fly for a short distance in the air with no HP loss while falling.
37,Hurry up,Run fast forward for a while.
38,Two-player Mount,It can carry two players. Invite your friend to mount it with you!
39,Snowy Tour,You'll be able to step on the snow and walk in the air with no HP loss while falling.
40,Tuk-tuk Go!,Allows you to use the car horns and flash the front lights.
41,Bumper Harvest,Throw ingots and coins around after use.
42,Four-player Mount,It can carry four players. Invite your friends to mount it with you!
43,Space Drifter,You'll be able to fly in the air and travel short distances with no HP loss while falling.
44,Leviathan Island,You'll be able to dive into the water.
45,Shock of the Bull,Long press [Jump] to charge to the full and apply a Slow debuff to creatures in front when landing on the ground.
46,Strike of the Bull,Long press [Jump] to charge to the full and knock back creatures in front at a short distance when landing on the ground.
47,Flying Petals,You'll be able to fly in the air and travel short distances with no HP loss while falling.
48,Fleeting Petals,You'll be able to fly in the air and travel short distances with no HP loss while falling.
49,Leaf Dance,There will be floating leaves around you after use.
50,Solar Reborn,Use it to get a shield that will absorb 20 damage.
51,Holy Ray,Use it to increase the player's damage by 5%.
52,Magic Fireworks,"After charging, it will be triggered when landing on the ground after jumping. Fireworks will be set off around the Mount with Sound Effects."
53,Glamorous Fireworks,"After charging, it will be triggered when landing on the ground after jumping. Exquisite Fireworks will be set off around the Mount with Sound Effects."
54,Charge,Charge forward.
55,Impact,Charge forward and knock back creatures in front of you.
56,Hover,The character will be hovering from the ground and the propeller spinning sound effect will be played automatically.
