ID,名字,类型名称
ID,Name,TypeName
1,Forward,Move
2,Left,Move
3,Right,Move
4,Backward,Move
5,Jump,Move
6,Stealth,Move
7,Sprint,Move
8,Backpack,Item Bar
9,Discard,Item Bar
10,Quick Bar 1,Item Bar
11,Quick Bar 2,Item Bar
12,Quick Bar 3,Item Bar
13,Quick Bar 4,Item Bar
14,Quick Bar 5,Item Bar
15,Quick Bar 6,Item Bar
16,Quick Bar 7,Item Bar
17,Quick Bar 8,Item Bar
18,Sort,Item Bar
19,Chat Bar,Multiplayer
20,UI,Multiplayer
21,Score Interface,Multiplayer
22,Achievement,Feature
23,Minimap,Feature
24,Mount,Feature
25,Play Mode Settings,Feature
26,Status,Feature
27,Warehouse,Feature
28,Skin,Feature
29,Top-up,Feature
30,Reload,Item Bar
31,Voice On/Off,Multiplayer
32,Microphone On/Off,Multiplayer
33,Resource Library,Feature
34,Developer Window,Feature
35,Left Page,Feature
36,Right Page,Feature
37,Resource,Feature
38,Script,Feature
39,Advanced Edit,Feature
40,Trigger,Feature
