ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Air,You cannot see me,@Null@
1,Flamas Ultra Stone,"Located in the deepest region of Flamas. Super hard, it cannot be shaken.",
2,Functional Block,Magic Block with unknown power,@Null@
3,Static Water,Static Water Block,@Null@
4,Active Water,Flowing water,
5,Static Lava,"Static lava block. Look out, it is very hot!",
6,Flowing Lava,"Flowing lava block. Look out, it is very hot. You might be burnt!",
7,Teleport Effect,It seems like a Magic Block,@Null@
8,Embossed Brick,Embossed building block. It's very hard.,
9,Speedup Block,Passing this block will give you a forward push.,
10,Celesthium Block,Place it to output #c0aba1dcelesthium signals#n continuously.,
11,Static Honey,Static Honey,@Null@
12,Active Honey,Flowing honey,
13,Static Quicksand,"The ""river"" made of fine sand is dangerous!",
14,Active Quicksand,"The ""river"" made of fine sand is dangerous!",
15,Curse Stone,Rock with a strange feel. What will happen to it after contacting the #c0aba1dquicksand#n? You'll gain a Bleed Curse when digging.,Outer Wall of the Oasis underground ruins
16,Curse Stone-Activated,Rock with a strange feel. What will happen to it after contacting the #c0aba1dquicksand#n? You'll gain a Bleed Curse when digging.,Outer Wall of the Oasis underground ruins
17,Static Poison,Keep away from liquids that exude dangerous smell as much as possible.,
18,Active Poison,Keep away from liquids that exude dangerous smell as much as possible.,
19,Aeolian Rock,A desert rock eroded by strong winds. It’s somewhat fragile.,
20,Horas Air,Go download the latest game version!,
21,unavailable in this version,Please upgrade your game to the most recent version!,@Null@
22,unavailable in this version,Please upgrade your game to the most recent version!,@Null@
23,Contourite,A laminated construction formed in the deep sea from thousands of years of pressure. It's very nutritious for Fluorescent Algae and Red Algae.,Obtained by destroying Contourite.
24,Mn Nodule Ore,Used to #c0aba1denhance diving equipment and craft @item_1206##n to resist the high pressure in the deep sea.,A mineral produced by the continuous aggregation of manganese in @item_23#. It can only be found in the deep sea and will produce @item_12614# once destroyed.
25,Reef,"Very suitable for growing corals. When the corals mature, the reef also changes color.",
