序号,英文名称
No,Name
1,Please enter your UID
2,Password
3,pluginres\btn_text_en.png
4,Remember UID
5,I agree to the
6,pluginres\btn_policy_en.png
7,Please select questions
8,Please enter your answer
9,pluginres\btn_num_en.png
10,Most impressive person
11,Your favourite food
12,Your favourite animal
13,The most eager visit place
14,Your first gift
15,Your lucky number
16,Quick Play
17,Incorrect Password
18,Connecting
19,pluginres\btn_orange_e1_en.png
20,pluginres\btn_quickplay_en_h.png
21,pluginres\btn_quickplay_en_n.png
22,pluginres\option1_1_en.png
23,pluginres\option1_2_en.png
24,pluginres\option1_3_en.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID is not correct
29,Please enter your password
30,Please check User Policy
31,Please enter your answer
32,MiniWorld is Updating: %d%%
33,pluginres\btn_orange_e1_en_h.png
34,pluginres\btn_orange_e1_en_s.png
35,14
36,Notification
37,"Your Account:%s has set the Password, to keep your account security, please login with your Password."
38,Login
39,Login Verification
40,Mobile phone
41,Email
42,Verification code
43,Mobile Verification
44,Email Verification
45,Send
46,Please verify the login to make sure your account is safe.
47,Verification failed. Please check your email and verification code.
48,Verification failed. Please check your mobile number and verification code.
49,Send（%d）
50,Verification code is sent
51,Sorry，you cannot login the account in this platform.（Cross-platform errors）
