ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,Yes,@Null@
2,No,@Null@
3,7:00:00,@Null@
4,9:00:00,@Null@
5,12:00:00,@Null@
6,18:00:00,@Null@
7,24:00:00,@Null@
8,Custom,Custom $Num Points
9,Default,@Null@
10,Sunny only,@Null@
11,Rainy and Snowy only,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,10% Gravity,@Null@
19,40% Gravity,@Null@
20,60% Gravity,@Null@
21,100% Gravity (Default),@Null@
22,500% Gravity,@Null@
23,Custom 0.1-10,Custom $Num
24,First-person View,@Null@
25,Third-person View,@Null@
26,Front View,@Null@
27,Lock First-person View,@Null@
28,Lock Third-person View,@Null@
29,Lock Front View,@Null@
30,Opened by the host,@Null@
31,When enough players joined,@Null@
32,None,@Null@
33,Unlimited Time,@Null@
34,2 min,@Null@
35,5 min,@Null@
36,10 min,@Null@
37,Custom (1-999 minutes),Custom $Num Minute
38,10 min,@Null@
39,50 min,@Null@
40,100 min,@Null@
41,Custom (1-999 minutes),Custom $Num Minute
42,Respawn Now,@Null@
43,5 seconds countdown,@Null@
44,Custom (1-999 seconds),Custom $Num sec
45,5 sec,@Null@
46,10 sec,@Null@
47,Unlimited,@Null@
48,No music,@Null@
49,BGM 1 (Speed-up World),@Null@
50,BGM 2 (Whimsical),@Null@
51,BGM 3 (Chinese Style),@Null@
52,BGM 4 (Fight!),@Null@
53,BGM 5 (Lonely God),@Null@
54,BGM 6 (Puzzle Time),@Null@
55,BGM 7 (Bomb!),@Null@
56,BGM 8 (Soccer Field),@Null@
57,Free Attack,@Null@
58,Attacking players are not allowed,@Null@
59,Team Battle,@Null@
60,Sunny or Rainy (default),@Null@
61,No score required,@Null@
62,Default Map Settings,@Null@
63,Random Spawn Point,@Null@
64,Respawn at the nearest Spawn Point,@Null@
65,Visible,@Null@
66,Invisible,@Null@
67,Normal Drops,@Null@
68,Empty Backpack,@Null@
69,Keep Item,@Null@
70,Auto Start,@Null@
71,Visible to All,@Null@
72,Only visible to your team,@Null@
73,Only visible to enemy teams,@Null@
74,Invisible to all,@Null@
75,Default (By score),@Null@
76,Victory for All,@Null@
77,Failure for All,@Null@
78,Lock Top-down View,@Null@
79,Unlimited,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,Custom (1-99),Custom $Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,Custom (1-40),Custom $Num
88,Lock Custom View,@Null@
89,0,@Null@
90,120,@Null@
91,Free Spectate,@Null@
92,Follow the Screen,@Null@
93,Switchable,@Null@
94,Drop Chest,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
97,,
98,,
99,,
100,,
101,,
102,,
103,,
105,Top-down View,
106,Custom View,
107,Bad Weather,
108,Snow,
109,Dust Storm,
110,Tempest,
111,Blizzard,
112,Drop Jar,
