接口ID,英文,英文,英文,英文,英文,英文,英文
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Game ,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,End the game,local result = Game:doGameEnd()
10002,Game ,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Set the script's attribute for custom ,"local result = Game:setScriptVar(index, val)"
10003,Game ,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Receive script attribute for custom,local result = Game:getScriptVar(index)
10004,Game ,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Upload the script's attribute,local result = Game:sendScriptVars2Client()
10005,Game ,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",New global effect,local result = Game:addRenderGlobalEffect(path)
10006,Game ,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Clear global effect,local result = Game:removeRenderGlobalEffect(effectid)
10007,Game ,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Set the position of global effect,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Game ,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Set global zoom effect,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Game ,msgBox,Game:msgBox(msg),,,messagebox,local result = Game:msgBox(msg)
20001,World ,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Whether it is daytime,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,World ,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Whether it is customize game,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,World ,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Whether it is creation mode,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,World ,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Multiplayer creation mode or customized edit mode,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,World ,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,World ,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Survival mode - Free mode,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,World ,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Single mode or Survival mode - Free mode,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,World ,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Survival mode turned from creation mode,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,World ,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Customized edit mode,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,World ,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Customized operate mode,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,World ,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Current time(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,World ,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Obtain view editing state ,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,World ,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Set view editing state ,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,World ,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Obtain customized camera configuration,local result = World:getCustomCameraConfig()
20015,World ,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Obtain the range of block(chunk) ,"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,World ,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Obtain actor in designated area,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,World ,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Obtain all the players. Can control their survival situation,local result = World:getPlayerTotal(alive)
20018,World ,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Obtain all the players. Can control their survival situation,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,World ,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Random Player,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,World ,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Remove actor,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
