ID,购买提示
ID,BuyTips
1,Unlocking items can be obtained from Garden Fruits.
2,Unlocking items can be obtained from Garden Fruits.
3,Unlocking items can be obtained from marketing events.
4,Unlocking items can be obtained from marketing events.
5,Unlocking items can be obtained from Garden Fruits.
6,Unlocking items can be obtained from Garden Fruits.
7,It can be obtained when your Garden reaches Lvl 10.
8,Unlocking items can be obtained from Garden Fruits.
9,Unlocking items can be obtained from Garden Fruits.
10,Unlocking items can be obtained from marketing events.
11,Unlocking items can be obtained from marketing events.
12,@Null@
13,@Null@
14,@Null@
15,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
16,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
17,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
18,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
19,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
20,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
21,@Null@
22,@Null@
23,@Null@
24,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
25,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
26,@Null@
27,@Null@
28,@Null@
29,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
30,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
31,@Null@
32,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
33,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
34,Unlocking items can be redeemed in the Ad Shop.
35,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
36,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
37,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
38,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
39,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
40,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
45,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
46,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
47,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
48,Purchase to unlock
49,Unlocking items can be obtained from marketing events.
50,Unlocking items can be obtained from marketing events.
51,Unlocking items can be obtained from marketing events.
52,Unlocking items can be obtained from marketing events.
53,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
54,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
55,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
56,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
57,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
58,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
59,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
60,Unlocking items can be obtained from marketing events.
61,Unlocking items can be obtained from marketing events.
62,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
63,Unlocking items can be obtained from marketing events.
64,Unlocking items can be obtained from marketing events.
65,Unlocking items can be obtained from marketing events.
66,Unlocking items can be obtained from marketing events.
67,Unlocking items can be obtained from marketing events.
68,Purchase to unlock
69,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
70,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
71,Purchase to unlock
72,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
73,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
74,Unlocking items can be obtained from purchasing packs in the Shop-Special Offer.
75,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
76,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
77,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
78,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
79,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
80,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
81,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
82,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
83,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
84,Purchase to unlock
85,Purchase to unlock
86,Purchase to unlock
87,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
88,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
89,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
90,@Null@
91,@Null@
92,Unlocking items can be obtained from Garden Fruits Event.
93,Unlocking items can be obtained from Garden Fruits Event.
94,Unlocking items can be obtained from Garden Fruits Event.
95,Unlocking items can be obtained from Garden Fruits.
96,Unlocking items can be obtained from Garden Fruits.
97,Unlocking items can be obtained from Garden Fruits.
98,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
99,"Unlocking items can be obtained from Garden Fruits Event, not available in Golden Fruits or Ordinary Fruits."
100,Purchase to unlock
101,Unlocking items can be obtained from the Mount Card Drawer.
102,Unlocking items can be obtained from the Mount Card Drawer.
103,Purchase to unlock
104,Unlocking items can be obtained from the Mount Card Drawer.
105,Purchase to unlock
106,Unlocking items can be obtained from the Mount Card Drawer.
107,Unlocking items can be obtained from the Mount Card Drawer.
108,Purchase to unlock
109,Unlocking items can be obtained from the Mount Card Drawer.
110,Unlocking items can be obtained from the Mount Card Drawer.
111,Unlocking items can be obtained from special packs.
114,Unlock after purchase (Moderate entertainment and rational consumption)
115,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
116,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
117,Unlock after purchase (Moderate entertainment and rational consumption)
118,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
119,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
120,Unlock after purchase (Moderate entertainment and rational consumption)
121,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
122,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
123,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
124,Unlocking props can be obtained from the Mount Card Drawer. (Moderate entertainment and rational consumption)
126,Unlocking items can be obtained from the Mount Drawer.
127,Unlocking items can be obtained from the Mount Drawer.
128,Unlocking items can be obtained from the Mount Drawer.
129,Unlocking items can be obtained from the Mount Drawer.
130,Obtain from purchasing
131,Unlocking items can be obtained from the Mount Drawer.
132,Unlocking items can be obtained from the Mount Drawer.
133,Unlocking items can be obtained from the Mount Drawer.
134,Unlocking items can be obtained from the Mount Drawer.
135,
136,
137,Unlocking items can be obtained from events.
138,Unlocking items can be obtained from events.
139,Unlocking items can be obtained from marketing events.
140,Unlocking items can be obtained from marketing events.
141,Unlocking items can be obtained from events.
142,Unlocking items can be obtained from events.
143,
144,
145,Unlocking items can be obtained from events.
146,Obtain from purchasing (Please be rational with the game and your spending.)
147,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
148,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
149,Obtain from purchasing (Please be rational with the game and your spending.)
150,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
151,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
152,Obtain from purchasing (Please be rational with the game and your spending.)
153,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
154,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
155,
156,Obtain from purchasing
157,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
158,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
159,Obtain from purchasing
160,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
161,Unlocking items can be obtained from the Mount Drawer. (Please be rational with the game and your spending.)
162,Unlocking items can be obtained from events.
163,Unlocking items can be obtained from events.
164,Unlocking items can be obtained from events.
165,
166,
