购买ID,道具ID,英文描述
ProductID,ID,Desc
1,24601,Use after purchasing: Can use most Custom DIY Skins for 30 days
4,12856,Use after purchasing: Rename once
8,12965,Contains 3 scrolls which can teleport you back home instantly. Very convenient.
13,10025,"Contains 3 tickets that can be used to instantly teleport back to the current planet’s home location, which is very convenient"
10,1055,Small Code Case for host. Guests input password to open.
11,1056,Big Code Case for host. Guests input password to open.
5,845,Host Only. Very hard. Strong enough to protect you from bears.
6,846,Host Only. Very hard. Strong enough to protect you from bears.
2,12751,"After use, fire a firework with Gashapon pattern into the sky (purchase and get #c0AAA1A  Gashapon Ticket*1#n)"
3,12752,"After use, fire a firework with Fruit pattern into the sky (purchase and get #c0AAA1A  Event Ticket*1#n)"
7,12831,Shoot fireworks into the sky to get EXP drops!
9,12750,"Can shoot smiling face fireworks into the sky.
(Get 300 #c5aea0aMini Beans#nx for any purchase))"
12,10023,"After use, you can get the Season Pass points"
