ID,描述
ID,Desc
1,Cannot sleep in current status
2,Can’t sleep here. You need a bed
3,Can’t sleep during the day
4,Too far from the sleeping bag
5,It's too hot to pour water here
6,The sleeping bed is unavailable in the Flamas
7,Need More Ammo
8,Uploading/Downloading map. Please try again later
9,Downloading map. Please try again later
10,Archive limit reached. Please delete some unused maps.
11,Your map is shared successfully. Tell your friends to download it!
12,Network interrupted. Sharing function is stopped. Please reconnect and try again
13,Please select the map to enter!
14,Your request is being processed. You cannot enter the map until you finish uploading it.
15,The map has not been downloaded. You cannot enter it
16,Remove the map you are downloading now?
17,Are you sure you want to permanently delete this map?#cef2d2d (The backup of the map will also be deleted and you cannot undo this action)#n
18,Network Disconnected. Please share the map via WIFI
19,Network Disconnected. Please download the map via WIFI
20,Network Disconnected. Please update the map via WIFI
21,You’re currently using mobile data. Playing the game or use voice chat uses cellular data. Do you wish to continue?
22,Download interrupted due to an unstable network. Please reconnect and try again.
23,Seems like there’re no more maps. Come and share yours.
24,No more followed maps
25,Max number of follows reached. Unfollow some maps before following new ones
26,Map added successfully. View in My Follows
27,Do you wish to unfollow?
28,Max download number reached. Please delete some saved maps before adding new ones
29,Map download failed. Please check your network connection and try again
30,You have already rated this map today. You can rate once per day
31,You used all your Likes for today. Please try again tomorrow
32,"Limited map: create a fixed-size random terrain map, suitable for devices with average performance"
33,"Ultra-large map: create an infinite-size terrain map, suitable for higher performance devices"
34,"Flat terriain map: create a flat-terrain map, suitable for building buildings"
35,Select an item to craft.
36,Are you sure you want to remove your friend?
37,Poor network connection. Please try again later
38,Already friends
39,Max number of friends reached
40,You cannot add yourself
41,Failed to add friend. Please try again later
42,Friend removed successfully
43,The archived map cannot be downloaded in the game. Please try again at the main menu
44,No friends nearby. Please try again later
45,Enter name (can be numbers. letters or characters)
46,Name already exists (Tap the text to enter)
47,High-end
48,Mid-range
49,Low-end
50,Third Person
51,Back View
52,First Person
53,Vision
54,Vision
55,Vision (Near)
56,Storage is full!
57,Task points:
58,None
59,(Survival)
60,(Creation)
61,need @1
62,created @1×@2
63,Remove friend
64,@1 became your friend
65,Left the enchantment menu
66,Need more stars to enchant
67,No enchantment properties
68,Random Property
69,This item is enchanted
70,Sub-item will disappear after fusion
71,Please put in the sub-items
72,Select the item you want to enchant
73,Stars
74,Mini Coins
75,Available to enchant:
76,Available as the main items
77,Available as the sub-items
78,No suitable properties
79,@1 is successfully enchanted
80,Please put in items to enchant
81,Placed in the backpack from the enchantment screen
82,"Collect resources, build tools, shelters and explore the world"
83,You have infinite resources to build anything you can think of
84,Create a new save\n Start your adventure now
