ID,任务名
ID,Name
1001,Defeat the Void
1002,For Morning Glory
1003,New Explorer
1004,Learning is Endless
1005,Skilled Explorer
1006,Starlink Engineer
1007,Rainforest Mystery
1008,Eternal Trial
1009,Interdimensional Rescue
2001,Tool Craftsman
2002,Forest Guard
2003,Flower Whisperer
2004,Farmland Watchman
2005,Livestock Story
2006,Tamer Master
2007,Junior Chef
2008,Senior Chef
2009,Epic Chef
2010,Great Artist
2011,Angling Legend
2012,Mineral Expert
3001,Weaponsmith
3002,Defense Craftsman
3003,Rune Power Aspirant
3004,Wild Battle
3005,Wilderness Hunter
4001,Reliable Partner
4002,Traces of my presence
4003,Sandplain Traveler
4004,"30,000 Miles Under the Sea"
4005,Polar Expedition
4006,Celesthium (Reserved)
4007,Mechanical Vehicle (Reserved)
