ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Convert Location to Area,General,"Set |@1| as center, area with dimensions (|@2|, |@3|, |@4|)"
10002,Area Offset,General,"@1| shifts along the coordinate axis (|@2|, |@3|, |@4|)"
10003,Expand Area,General,"Expand |@1|'s coordinate axis by X|@2|, Y|@3|, Z|@4| grids"
10005,Specified Coordinate Location,General,The position of X|@1|Y|@2|Z|@3
10006,Location offset(Original location changes),General,"@1| shifts along the coordinate axis (|@2|, |@3|, |@4|)"
10007,Central Location of the Area,General,@1|'s central location
10008,Random Location of Area,General,@1|'s random location
10009,Timer Time,General,@1|'s time
10010,Ray length in the specified direction,General,"Start with |@1|, project a ray of |@3| grids to |@2|, return ray length between start to block"
10011,String Concatenation,General,@1| and |@2
10012,Convert Value to String,General,Convert |@1| to String
10013,Boolean Value Comparison,General,@1||@2||@3
10014,Numerical Comparison,General,@1||@2||@3
10015,Block type hit by the ray,General,"Start with |@1|, shoot towards |@2| for |@3| grids, show block type that block rays"
10016,Relative direction to the three-axis coordinate system,General,"@1| is facing X|@2|, Y|@3|, Z|@4"
10017,Relative direction to the spherical coordinate system,General,"@1| is facing azimuth |@2|, elevation|@3"
10018,Select Player's Object,General,Select |@1
10019,Select Creature's Object,General,Select |@1
10020,Select projectile,General,Select |@1
10021,Select Drops Target,General,Select |@1
10022,Tone turns into value,General,@1| converts to value
10023,String Comparison,General,@1||@2||@3
10024,Location Offset (Original location fixed),General,"@1| shifts along the coordinate axis (|@2|, |@3|, |@4|)"
10025,Boolean Value,General,|@1
10026,Value,General,|@1
10027,String,General,|@1
10028,Appearance type,General,|@1
10029,Boolean group,General,|@1
10030,Numerical Group,General,|@1
10031,String group,General,|@1
10032,Obtain the value count in any group,General,Obtain the value count in |@1|
10033,Obtain the number of any value in any group,General,Obtain the number of |@2| in |@1|
10034,Obtain the ID of any value in any group,General,Obtain ID of |@2| in |@1|
10035,Determine if a value exists in a group,General,@2| exists in |@1
10036,Determine if a specific ID exists in a group,General,Location ID |@2| in |@1| exists
10037,Extract String,General,Intercept the |@2|-|@3| bit of text of |@1|
10038,Convert string to value,General,@1| converts to value
10039,Obtain main device time,General,Obtain device's |@1| time
10040,Obtain full main device time,General,Obtain full device time
10041,Random block type,General,Random block type
10042,Split String,General,"Split |@1|, the separator is |@2|, intercept |@3| after split"
10043,Obtain the string of the specified mark,General,Obtain |@1| with the key name |@2|
10044,Obtain game server time,General,Obtain game server's |@1| time
10045,Convert timestamp to time unit,General,Convert timestamp |@1| to |@2
10046,Obtain full server time,General,Obtain full server time
10047,Convert timestamp to full time,General,Convert timestamp |@1| to full time
20001,Numerical Operation,Math,@1||@2||@3
20002,Remainder,Math,@1| Mod |@2
20003,Random Number,Math,Generate random number between |@1| and |@2
20004,Max,Math,@1| and |@2|'s |@3
20005,Exact Division,Math,@1| divides |@2
20006,Coordinate of Location,Math,@1|'s |@2| coordinate value
20007,Horizontal Angle Between Locations,Math,Horizontal Angle Between |@1| and |@2
20008,Vertical Angle Between Locations,Math,Vertical Angle Between |@1| and |@2
20009,Exponentiation,Math,@1| to the power of |@2
20010,Radication,Math,@1|'s |@2|-th root
20011,Absolute Value,Math,@1|'s absolute value
20012,Trigonometry,Math,@1||@2||@3
20013,Fixed Base Log Function,Math,@1||@2
20014,Any Base Log Function,Math,Log|@1||@2
20015,Round,Math,"The round number of |@1|, in form of |@2"
20016,Convert Angle to Radian,Math,Convert |@1| to |@2
20017,.and.,Math,@1| and |@2
20018,.or.,Math,@1| or |@2
20019,exclusive or,Math,@1| or |@2
20020,.not.,Math,Not |@1
20021,Any value comparison,Math,@1||@2||@3
30001,Current Game Time,Game,Current game time
30002,Team with a specified ranking,Game,The team ranked |@1|
30003,Current Gravity Multiples,Game,Current gravity multiples
40001,Team Attribute,Team,@1|'s |@2
40002,Team Comparison,Team,@1||@2||@3
50001,Player Location,Player,@1|'s location
50002,Obtain player's Front Sight,Player,@1|'s Front Sight
50003,Player Attritube,Player,@1|'s |@2
50004,Number of Items Owned,Player,@1|'s number of |@2
50006,Player's Orientation,Player,@1|'s facing angle
50007,Player's Name,Player,@1|'s name
50008,Determine Individual,Player,@1||@2||@3
50009,Determine Player Group,Player,@1||@2| is in |@3|
50010,Determine Area,Player,@1||@2| is in |@3|
50011,Determine Status,Player,@1||@2| obtains |@3| effect
50012,Host,Player,Host
50018,Player's Team,Player,@1|'s team
50019,Player's Private Variable(Area),Player,@1|'s |@2| (Area)
