ID,描述
ID,Desc
1000,Weather
1001,Area
1002,Location
1003,Orientation
1004,View
1005,Value
1006,Coordinate Component
1007,Angle Unit
1008,Fixed Base Logarithm
1009,Rounding Method
1010,String
1011,Damage Type
1012,Yes/No
1013,Switch
1014,Boolean Value
1015,Max and Min
1016,Comparison Operator
1017,Mathematical Operator
1018,Player
1019,Player Group
1020,Player Attributes
1021,Motion Status
1022,Player Settings
1023,Team
1024,Team Attribute
1025,Block Type
1026,Block Settings
1027,Item
1028,Item Type
1029,Projectile Type
1030,Drops
1031,Creature
1032,Creature Type
1033,Creature Group
1034,Creature Action Status
1035,Creature Attribute
1036,Creature Settings
1037,Status
1038,Trigger
1039,Trigger Group
1040,Timer
1041,Emote
1042,Private Variable
1043,Trigonometry
1044,Projectile
1045,Special Effect Type
1046,Sound effect
1047,Direction
1048,Object
1049,Tone
1050,Script
1051,Key
1052,Quick Bar Key
1053,Any Value
1054,Equipment Bar
1055,Equipment Type
1056,Color
1057,Display Info
1058,Display Info Type
1059,Item
1060,Appearance Type
1061,Any group
1062,Location group
1063,Area Group
1064,Numerical group
1065,String group
1066,Boolean Group
1067,Block Type Group
1068,Item Type Group
1069,Creature Type Group
1070,Timer Group
1071,Special Effect Type
1072,Sort
1073,Video Link
1074,Interface
1075,Unit
1076,Pattern Template
1077,Movement mode
1078,Time Unit
1079,Page Status
1080,Music
1081,Pause Restoration
1082,Display Panel
1083,Global Object
1084,Ranking List
1085,Table
1086,Play Mode
1101,Specify Page
1137,Terrain Group
